id,catalog_number,description
130854,23187,DODGE 023187 P2B-K-308R 3 1/2^ BORE
130853,23206,DODGE 023206 P2B-K-300RE 3^ BORE
130852,23181,DODGE 023181 P2B-K-211R 2 11/16^ BORE
130851,23174,DODGE 023174 P2B-K-112R 1 3/4^ BORE
130850,23220,DODGE 023220 F4B-K-200R 2^ BORE
130849,23292,DODGE 023292 S1U-K-315R
130848,23274,DODGE 023274 S1U-K-107R
130847,23230,DODGE 023230 F4B-K-307R 3 7/16^ BORE
130846,38119,DODGE 038119 NS-415X18-TUFR
130844,89028,DODGE 089028 HD-250X36-TUFR
130843,33977,DODGE 033977 P2B-LT10-012
130842,33621,DODGE 033621 INS-LT10-112
130841,33266,DODGE 033266 F4B-LT7-104
130840,33260,DODGE 033260 F4B-LT7-012
130839,33085,DODGE 033085 F2B-LT7-012
130838,33347,DODGE 033347 P2B-MM10-307
130837,33677,DODGE 033677 P2B-LT7-107
130836,33595,DODGE 033595 INS-LT7-111
130835,33586,DODGE 033586 INS-LT7-014
130834,33585,DODGE 033585 INS-LT7-012
130833,33274,DODGE 033274 F4B-LT7-203
130832,33697,DODGE 033697 F4B-LM8-100
130831,33093,DODGE 033093 F2B-LT7-107
130818,4116,DODGE 004116 P4B-BAR-800
130817,36182,DODGE 036182 TUA-103-TUBRG
130816,12219,DODGE 012219 TP-H-307 USE FRAME: TP-50 FR
130815,6019,DODGE 006019 P2B-BASP-101
130814,6148,DODGE 006148 P2B-BASO-303
130813,36270,DODGE 036270 TUB-015-TUBRG
130812,37011,DODGE 037011 F4B-BAP-104
130811,4081,DODGE 004081 P4B-BAR-215
130810,6082,DODGE 006082 P2B-BASP-315
130809,6061,DODGE 006061 P2B-BASP-204
130808,35032,DODGE 035032 F4B-BO-010
130807,35028,DODGE 035028 P2B-BO-014
130796,135185,Dodge 135185 WSTU-SCM-208 BORE DIAMETER: 2-1/2 INCH HOUSING: TAKE UP UNIT WIDE SLOT LOCKING: SET SCREW
130795,126170,Dodge 126170 FC-SCM-107 BORE DIAMETER: 1-7/16 INCH HOUSING: PILOTED FLANGE LOCKING: SET SCREW
130794,126184,Dodge 126184 FC-SCM-308 BORE DIAMETER: 3-1/2 INCH HOUSING: PILOTED FLANGE LOCKING: SET SCREW
130793,126177,Dodge 126177 FC-SCM-204 BORE DIAMETER: 2-1/4 INCH HOUSING: PILOTED FLANGE LOCKING: SET SCREW
130792,64681,DODGE 064681 F4B-SCM-103-FF 4-BOLT FLANGE MEDIUM DUTY
130791,126840,DODGE 126840 P2B-SCMAH-203 2 3/16^ BORE
130790,126284,Dodge 126284 F2B-SCM-100 BORE DIAMETER: 1 INCH HOUSING: 2-BOLT FLANGE LOCKING: SET SCREW
130789,49462,DODGE 049462 F4B-SC-104S-HT 4-BOLT FLANGE STANDARD DUTY SETSCREW
130788,125362,Dodge 125362 WSTU-SC-112 BORE DIAMETER: 1-3/4 INCH HOUSING: TAKE UP UNIT WIDE SLOT LOCKING: SET SCREW
130787,125114,Dodge 125114 WSTU-SC-107 BORE DIAMETER: 1-7/16 INCH HOUSING: TAKE UP UNIT WIDE SLOT LOCKING: SET SCREW
130786,59954,DODGE 059954 F2B-SC-203-HT 2-BOLT FLANGE STANDARD DUTY SETSCREW
130785,59916,DODGE 059916 P2B-SCAH-100-FF 1^ BORE
130784,125051,Dodge 125051 NSTU-SC-015 BORE DIAMETER: 15/16 INCH HOUSING: TAKE UP UNIT NARROW SLOT LOCKING: SET SCREW
130783,124299,Dodge 124299 SCHB-SC-112 BORE DIAMETER: 1-3/4 INCH HOUSING: SCREW CONVEYOR HANGER LOCKING: SET SCREW
130782,124240,DODGE 124240 HNG-SC-103  1-3/16 INCH BORE
130781,65644,Dodge 065644 FC-SC-110L BORE DIAMETER: 1-5/8 INCH HOUSING: PILOTED FLANGE LOCKING: SET SCREW
130780,124098,Dodge 124098 F4B-SC-008L BORE DIAMETER: 1/2 INCH HOUSING: 4-BOLT FLANGE LOCKING: SET SCREW
130779,124277,Dodge 124277 F2B-SC-106 BORE DIAMETER: 1-3/8 INCH HOUSING: 2-BOLT FLANGE LOCKING: SET SCREW
130778,123960,DODGE 123960 P2B-SCBAH-100 1^ BORE
130777,123171,DODGE 123171 P2B-SCB-104S 1 1/4^ BORE
130776,123987,Dodge 123987 P2B-SC-207-NL BORE DIAMETER: 2-7/16 INCH HOUSING: PILLOW BLOCK LOCKING: SET SCREW
130775,62676,DODGE 062676 P2B-SC-112-HT PILLOW BLOCK STANDARD DUTY SETSCREW
130774,125370,Dodge 125370 NSTU-SC-110 BORE DIAMETER: 1-5/8 INCH HOUSING: TAKE UP UNIT NARROW SLOT LOCKING: SET SCREW
130773,125153,Dodge 125153 NSTU-SC-103 BORE DIAMETER: 1-3/16 INCH HOUSING: TAKE UP UNIT NARROW SLOT LOCKING: SET SCREW
130772,125162,Dodge 125162 NSTU-SC-207 BORE DIAMETER: 2-7/16 INCH HOUSING: TAKE UP UNIT NARROW SLOT LOCKING: SET SCREW
130771,50169,DODGE 050169 F4B-SC-200-FF 4-BOLT FLANGE STANDARD DUTY
130770,65565,DODGE 065565 F2BZ-SC-107  1-7/16 INCH BORE
130769,123734,DODGE 123734 F2B-SCAH-107 1 7/16^ BORE
130766,128133,DODGE 128133 P2B-SLX-100
130764,63362,DODGE 063362 SP4B-AS-307
130763,66294,DODGE 066294 S1U-SD-207
130761,66319,DODGE 066319 B1U-SD-207
130759,104032,DODGE 104032 F4B-SD-115E
130758,66254,DODGE 066254 P2B-SD-115E
130757,66300,DODGE 066300 P2B-SD-108
130756,66234,DODGE 066234 P2B-SD-307
130755,66304,DODGE 066304 P2B-SD-211
130754,66289,DODGE 066289 DU-SD-407
130752,104043,DODGE 104043 F4B-C-203 2 3/16^ BORE
130751,87200,DODGE 087200 S1U-C-111
130750,87187,DODGE 087187 P2B-C-307E 3 7/16^ BORE
130749,65244,DODGE 065244 P2B-C-214 2 7/8^ BORE
130748,65295,DODGE 065295 P2B-C-211 2 11/16^ BORE
130747,87210,DODGE 087210 S1U-C-315
130746,61083,DODGE 061083 HNG-C-203
130745,104046,DODGE 104046 F4B-C-307 3 7/16^ BORE
130744,65271,DODGE 065271 DU-C-300
130743,65284,DODGE 065284 DU-C-115
130742,65303,DODGE 065303 P4B-C-307 3 7/16^ BORE
130741,87264,DODGE 087264 P2B-C-108E 1 1/2^ BORE
130740,65289,DODGE 065289 P2B-C-103 1 3/16^ BORE
130739,69065,DODGE 069065 B1U-C-215
130738,23353,DODGE 023353 P4B-DI-208R 2 1/2^ BORE
130737,23394,DODGE 023394 P2B-DI-303RE
130736,23702,DODGE 023702 S1U-DI-045M
130735,23491,DODGE 023491 DU-DI-207R
130734,23532,DODGE 023532 S1U-DI-407R
130733,23523,DODGE 023523 S1U-DI-212R
130732,60793,DODGE 060793 P4B-DI-415E WD 4 15/16^ BORE
130731,23364,DODGE 023364 P4B-DI-407R 4 7/16^ BORE
130730,23345,DODGE 023345 P2B-DI-215R
130729,23571,DODGE 023571 B1U-DI-500R
130728,23331,DODGE 023331 P2B-DI-107R
130727,23462,DODGE 023462 F4B-DI-203RE
130726,23501,DODGE 023501 DU-DI-315R
130725,23146,DODGE 023146 FC-E-408R
130724,23153,DODGE 023153 TP-E-203R
130723,23693,DODGE 023693 P4B-E-408R IRON--023073 IS STEEL 4 1/2^ BORE
130722,23001,DODGE 023001 P2B-E-104R
130721,23106,DODGE 023106 F4B-E-207R
130720,23011,DODGE 023011 P2B-E-203R
130712,13514,DODGE 013514 TPHU-150X30-TUFR
130711,13901,DODGE 013901 TPHU-120X18-TUFR
130677,38229,DODGE 038229 WS-608X30-TUFR
130676,38219,DODGE 038219 WS-502X18-TUFR
130670,64882,Dodge 064882 P2B-SXRU-103-NL BORE DIAMETER: 1-3/16 INCH HOUSING: PILLOW BLOCK HIGH BACK LOCKING: ECCENTRIC COLLAR
130669,131054,Dodge 131054 F2B-SXR-012 BORE DIAMETER: 3/4 INCH HOUSING: 2-BOLT FLANGE LOCKING: ECCENTRIC COLLAR
130668,131221,Dodge 131221 WSTU-SXR-111 BORE DIAMETER: 1-11/16 INCH HOUSING: TAKE UP UNIT WIDE SLOT LOCKING: ECCENTRIC COLLAR
130667,131217,Dodge 131217 WSTU-SXR-108 BORE DIAMETER: 1-1/2 INCH HOUSING: TAKE UP UNIT WIDE SLOT LOCKING: ECCENTRIC COLLAR
130666,131834,Dodge 131834 P2B-SXRB-101 BORE DIAMETER: 1-1/16 INCH HOUSING: PILLOW BLOCK LOW BACKING LOCKING: ECCENTRIC COLLAR
130665,131820,Dodge 131820 P2B-SXR-204 BORE DIAMETER: 2-1/4 INCH HOUSING: PILLOW BLOCK LOCKING: ECCENTRIC COLLAR
130664,62639,DODGE 062639 P2B-SXR-111-FF 1 11/16^ BORE
130663,68215,DODGE 068215 F2B-SXR-112-FF
130662,131065,Dodge 131065 F2B-SXR-106 BORE DIAMETER: 1-3/8 INCH HOUSING: 2-BOLT FLANGE LOCKING: ECCENTRIC COLLAR
130661,131809,Dodge 131809 P2B-SXR-104 BORE DIAMETER: 1-1/4 INCH HOUSING: PILLOW BLOCK LOCKING: ECCENTRIC COLLAR
130660,68202,DODGE 068202 P2B-SXRB-108-FF
130659,131185,DODGE 131185 NSTU-SXR-207
130658,131132,Dodge 131132 F4B-SXR-204 BORE DIAMETER: 2-1/4 INCH HOUSING: 4-BOLT FLANGE LOCKING: ECCENTRIC COLLAR
130657,131121,Dodge 131121 F4B-SXR-111 BORE DIAMETER: 1-11/16 INCH HOUSING: 4-BOLT FLANGE LOCKING: ECCENTRIC COLLAR
130656,71421,DODGE 071421 EP2B-S2-307L
130655,71431,DODGE 071431 EP2B-S2-300LE
130654,71417,DODGE 071417 EP2B-S2-207L
130653,71424,DODGE 071424 EP2B-S2-111LE
130652,71401,DODGE 071401 EP2B-S2-107RE
130651,71472,DODGE 071472 EF4B-S2-115R
130650,71454,DODGE 071454 EP4B-S2-315L
130649,71458,DODGE 071458 EP4B-S2-211LE
130648,71441,DODGE 071441 EP4B-S2-207RE
130647,71438,DODGE 071438 EP4B-S2-315R
130646,71480,DODGE 071480 EF4B-S2-315R
130645,71506,DODGE 071506 EF4B-S2-315L
130644,71515,DODGE 071515 EF4B-S2-211LE
130643,71355,DODGE 071355 EF4B-IP-303L
130642,71304,DODGE 071304 EF4B-IP-300R
130641,71325,DODGE 071325 EF4B-IP-208RE
130640,71347,DODGE 071347 EF4B-IP-203L
130639,71626,DODGE 071626 EP4B-IP-507L
130638,71220,DODGE 071220 EP4B-IP-500R
130637,71233,DODGE 071233 EP4B-IP-400RE
130636,71213,DODGE 071213 EP4B-IP-307R
130635,71226,DODGE 071226 EP4B-IP-215RE
130634,71260,DODGE 071260 EP4B-IP-215LE
130633,71240,DODGE 071240 EP4B-IP-208L
130632,71202,DODGE 071202 EP2B-IP-307LE
130631,71311,DODGE 071311 EF4B-IP-407R
130630,71361,DODGE 071361 EF4B-IP-407L
130629,71332,DODGE 071332 EF4B-IP-307RE
130628,71640,DODGE 071640 EP4B-IP-615LE
130627,71623,DODGE 071623 EP4B-IP-608RE
130626,71619,DODGE 071619 EP4B-IP-508RE
130625,71197,DODGE 071197 EP2B-IP-212LE
130624,71154,DODGE 071154 EP2B-IP-211RE
130623,71172,DODGE 071172 EP2B-IP-204L
130622,71189,DODGE 071189 EP2B-IP-114LE
130621,71165,DODGE 071165 EP2B-IP-110L
130620,71122,DODGE 071122 EP2B-IP-108R
130619,71581,DODGE 071581 EFC-IP-204RE
130618,71344,DODGE 071344 EF4B-IP-114L
130617,71340,DODGE 071340 EF4B-IP-108L
130616,71289,DODGE 071289 EF4B-IP-107R
130615,70791,DODGE 070791 WSTU-S2-211RE
130614,70756,DODGE 070756 WSTU-S2-111R
130613,70687,DODGE 070687 FC-S2-307RE
130612,70795,DODGE 070795 WSTU-S2-307RE
130611,70616,DODGE 070616 F4S-S2-307L
130610,70863,DODGE 070863 F4S-S2-207LE
130609,70357,DODGE 070357 P2B-S2-307LE 3 7/16^ BORE
130608,70005,DODGE 070005 INS-S2-115R
130607,70568,DODGE 070568 F4S-S2-111RE
130606,70363,DODGE 070363 P4B-S2-203R 2 3/16^ BORE
130605,70331,DODGE 070331 P2B-S2-215L 2 15/16^ BORE
130604,70274,DODGE 070274 P2B-S2-108R 1 1/2^ BORE
130603,70272,DODGE 070272 P2B-S2-106R 1 3/8^ BORE
130602,70708,DODGE 070708 FC-S2-207L
130601,70652,DODGE 070652 FC-S2-203R
130600,70450,DODGE 070450 F4R-S2-300R
130599,70478,DODGE 070478 F4R-S2-203RE
130598,70527,DODGE 070527 F4R-S2-111LE
130597,130851,Dodge 130851 WSTU-SXR-50M BORE DIAMETER: 50 MILLIMETER HOUSING: TAKE UP UNIT WIDE SLOT LOCKING: ECCENTRIC COLLAR
130596,130848,Dodge 130848 WSTU-SXR-35M BORE DIAMETER: 35 MILLIMETER HOUSING: TAKE UP UNIT WIDE SLOT LOCKING: ECCENTRIC COLLAR
130595,125712,DODGE 125712 P2B-SXV-20M 20MM BORE
130594,125687,DODGE 125687 P2B-VSC-25M 25MM BORE
130593,125935,Dodge 125935 P2B-SCM-85M BORE DIAMETER: 85 MILLIMETER HOUSING: PILLOW BLOCK LOCKING: SET SCREW
130592,59677,DODGE 059677 P2B-SC-70M-FF PILLOW BLOCK STANDARD DUTY
130591,130359,Dodge 130359 TB-SC-45M BORE DIAMETER: 45 MILLIMETER HOUSING: TAP BASED PILLOW BLOCK LOCKING: SET SCREW
130590,125942,Dodge 125942 FC-SCM-35M BORE DIAMETER: 35 MILLIMETER HOUSING: PILOTED FLANGE LOCKING: SET SCREW
130589,125971,Dodge 125971 F4B-SCM-55M BORE DIAMETER: 55 MILLIMETER HOUSING: 4-BOLT FLANGE LOCKING: SET SCREW
130588,51880,Dodge 051880 P2B-SCB-60M BORE DIAMETER: 60 MILLIMETER HOUSING: PILLOW BLOCK LOW BACKING LOCKING: SET SCREW
130587,53718,DODGE 053718 P2B-SCAH-25M 25MM BORE
130586,125903,Dodge 125903 NSTU-SC-35M BORE DIAMETER: 35 MILLIMETER HOUSING: TAKE UP UNIT NARROW SLOT LOCKING: SET SCREW
130585,125820,Dodge 125820 INS-SC-70M BORE DIAMETER: 70 MILLIMETER BEARING INSERT LOCKING: SET SCREW
130584,125669,Dodge 125669 F4B-SXR-30M BORE DIAMETER: 30 MILLIMETER HOUSING: 4-BOLT FLANGE LOCKING: ECCENTRIC COLLAR
130583,130831,DODGE 130831 F2BZ-SXR-20M
130582,53883,Dodge 053883 F2B-SC-60M BORE DIAMETER: 60 MILLIMETER HOUSING: 2-BOLT FLANGE LOCKING: SET SCREW
130579,69560,DODGE 069560 P4B-IP-212L 2 3/4^ BORE
130578,69871,DODGE 069871 FC-IP-104L
130577,69364,DODGE 069364 WSTU-IP-308R 3 1/2^ BORE
130576,69349,DODGE 069349 WSTU-IP-114R 1 7/8^ BORE
130575,69348,DODGE 069348 WSTU-IP-112R 1 3/4^ BORE
130574,69466,DODGE 069466 P2B-IP-115L 1 15/16^ BORE
130573,69406,DODGE 069406 P2B-IP-110R 1 5/8^ BORE
130572,69566,DODGE 069566 P4B-IP-308L 3 1/2^ BORE
130571,69589,DODGE 069589 P4B-IP-408LE 4 1/2^ BORE
130570,69497,DODGE 069497 P2B-IP-204LE 2 1/4^ BORE
130569,69853,DODGE 069853 FC-IP-208RE
130568,69914,DODGE 069914 FC-IP-204LE
130567,69719,DODGE 069719 F4S-IP-315R
130566,69443,DODGE 069443 P2B-IP-207RE 2 7/16^ BORE
130565,69910,DODGE 069910 FC-IP-114LE
130564,69388,DODGE 069388 WSTU-IP-300RE 3^ BORE
130563,69359,DODGE 069359 WSTU-IP-215R 2 15/16^ BORE
130562,69836,DODGE 069836 FC-IP-500R
130561,69829,DODGE 069829 FC-IP-308R
130560,69705,DODGE 069705 F4S-IP-203R
130559,69701,DODGE 069701 F4S-IP-112R
130558,69725,DODGE 069725 F4S-IP-107RE
130557,69709,DODGE 069709 F4S-IP-208R
130556,69650,DODGE 069650 F4R-IP-300RE
130555,69685,DODGE 069685 F4R-IP-204LE
130554,69601,DODGE 069601 F4R-IP-114R
130552,70918,DODGE 070918 INS-IP-110L
130551,70939,DODGE 070939 INS-IP-400L
130550,70899,DODGE 070899 INS-IP-215R
130538,68153,DODGE 068153 P2B-SXRH-35M-E
130537,53023,DODGE 053023 P2B-SCMH-45M-E 45MM BORE
130536,126451,DODGE 126451 P2B-DLH-107-E
130535,126494,DODGE 126494 INS-SCH-207
130534,126493,DODGE 126493 INS-SCH-203
130523,129725,DODGE 129725 F4B-GTEZ-103-SHCR
130522,129577,DODGE 129577 F2B-GTEZ-08-SHCR
130521,129262,DODGE 129262 P2B-GTEZ-100-SHCR
130520,136322,DODGE 136322 WSTU-GTEZ-107-PCR
130519,129300,DODGE 129300 TB-GTEZ-35M-PCR
130518,129292,DODGE 129292 TB-GTEZ-20M-PCR
130517,129719,DODGE 129719 F4B-GTEZ-115-PCR
130516,129711,DODGE 129711 F4B-GTEZ-104S-PCR
130515,129549,DODGE 129549 F2B-GTEZ-05-PCR
130514,129535,DODGE 129535 P2B-GTBEZ-08-PCR E8006
