id,catalog_number,sprocket_diameters
394966,2082A18,Outside Diameter:12.540 in|Pitch Diameter:11.518 in|Caliper Diameter:10.393 in
394976,140B11,Outside Diameter:7.010 in|Pitch Diameter:6.213 in|Caliper Diameter:5.148 in
394925,40B28FJ,Outside Diameter:4.740 in|Pitch Diameter:4.465 in|Caliper Diameter:4.153 in
394970,50B24F-1B,Outside Diameter:5.120 in|Pitch Sprocket Diameter:4.788 in|Caliper Diameter:4.388 in
394909,50B16F-1F,Outside Diameter:3.520 in|Pitch Sprocket Diameter:3.204 in|Caliper Diameter:2.804 in
394905,50B35F-1L,Outside Diameter:7.320 in|Pitch Sprocket Diameter:6.973 in|Caliper Diameter:6.565 in
394996,50B25FL,Outside Diameter:5.320 in|Pitch Sprocket Diameter:4.987 in|Caliper Diameter:4.577 in
395000,50B24FP,Outside Diameter:5.120 in|Pitch Sprocket Diameter:4.788 in|Caliper Diameter:4.388 in
395038,50B21F-1D,Outside Diameter:4.520 in|Pitch Sprocket Diameter:4.194 in|Caliper Diameter:3.782 in
395034,40B19F-1B,Outside Diameter:3.300 in|Pitch Diameter:3.038 in|Caliper Diameter:2.715 in
395025,60B38F-2G,Outside Diameter:9.500 in|Pitch Diameter:9.083 in|Caliper Diameter:8.614 in
395046,50B11FP,Outside Diameter:2.500 in|Pitch Sprocket Diameter:2.219 in|Caliper Diameter:1.796 in
395092,40B40F-1D,Outside Diameter:6.650 in|Pitch Diameter:6.373 in|Caliper Diameter:6.061 in
395042,50B22F-1C,Outside Diameter:4.720 in|Pitch Sprocket Diameter:4.392 in|Caliper Diameter:3.992 in
395054,50B20FP,Outside Diameter:4.320 in|Pitch Sprocket Diameter:3.995 in|Caliper Diameter:3.595 in
395030,50B18F-1H,Outside Diameter:3.920 in|Pitch Sprocket Diameter:3.599 in|Caliper Diameter:3.199 in
395076,40B35FL,Outside Diameter:5.860 in|Pitch Diameter:5.578 in|Caliper Diameter:5.260 in
395125,40B28FL,Outside Diameter:4.740 in|Pitch Diameter:4.465 in|Caliper Diameter:4.153 in
395121,40B32F-1B,Outside Diameter:5.380 in|Pitch Diameter:5.101 in|Caliper Diameter:4.788 in
394992,41B18FJ,Outside Diameter:3.140 in|Pitch Diameter:2.879 in|Caliper Diameter:2.573 in
395021,80B30F-1C,Outside Diameter:10.110 in|Pitch Diameter:9.567 in|Caliper Diameter:8.942 in
395159,40B34F-1C,Outside Diameter:5.700 in|Pitch Diameter:5.419 in|Caliper Diameter:5.107 in
395142,40B35F-1D,Outside Diameter:5.860 in|Pitch Diameter:5.578 in|Caliper Diameter:5.260 in
395171,50B12F-1B,Outside Diameter:2.710 in|Pitch Sprocket Diameter:2.415 in|Caliper Diameter:2.015 in
395194,41B14FH,Outside Diameter:2.490 in|Pitch Diameter:2.247 in|Caliper Diameter:1.941 in
395189,41B13F-1,Outside Diameter:2.330 in|Pitch Diameter:2.089 in|Caliper Diameter:1.768 in
395198,41B10FH,Outside Diameter:1.840 in|Pitch Diameter:1.618 in|Caliper Diameter:1.312 in
395163,40B60F-1H,Outside Diameter:9.840 in|Pitch Diameter:9.554 in|Caliper Diameter:9.241 in
395146,40B35F-1B,Outside Diameter:5.860 in|Pitch Diameter:5.578 in|Caliper Diameter:5.260 in
395216,60B48F-2C,Outside Diameter:11.890 in|Pitch Diameter:11.468 in|Caliper Diameter:10.999 in
395242,40B50FJ,Outside Diameter:8.250 in|Pitch Diameter:7.963 in|Caliper Diameter:7.650 in
395233,40B40FP,Outside Diameter:6.650 in|Pitch Diameter:6.373 in|Caliper Diameter:6.061 in
395220,2042A28,Outside Diameter:9.480 in|Pitch Diameter:8.931 in|Caliper Diameter:8.307 in
395259,40B48F-1D,Outside Diameter:7.930 in|Pitch Diameter:7.645 in|Caliper Diameter:7.332 in
395328,80B11F-1B,Outside Diameter:4.010 in|Pitch Diameter:3.550 in|Caliper Diameter:2.888 in
395251,40B48F-1B,Outside Diameter:7.930 in|Pitch Diameter:7.645 in|Caliper Diameter:7.332 in
395337,50B19FP,Outside Diameter:4.120 in|Pitch Sprocket Diameter:3.798 in|Caliper Diameter:3.384 in
395345,35B40FP,Outside Diameter:4.990 in|Pitch Diameter:4.780 in|Caliper Diameter:4.580 in
395373,60B60F-1J,Outside Diameter:14.760 in|Pitch Diameter:14.330 in|Caliper Diameter:13.861 in
395255,40B48F-1H,Outside Diameter:7.930 in|Pitch Diameter:7.645 in|Caliper Diameter:7.332 in
395299,50B27FP,Outside Diameter:5.720 in|Pitch Sprocket Diameter:5.384 in|Caliper Diameter:4.975 in
395369,80B18F-1C,Outside Diameter:6.270 in|Pitch Diameter:5.759 in|Caliper Diameter:5.134 in
395207,160B11,Outside Diameter:8.010 in|Pitch Diameter:7.100 in|Caliper Diameter:5.902 in
395357,80B21F-1J,Outside Diameter:7.240 in|Pitch Diameter:6.710 in|Caliper Diameter:6.066 in
395377,2062A12,Outside Diameter:6.500 in|Pitch Diameter:5.796 in|Caliper Diameter:4.921 in
395406,80B20F-1L,Outside Diameter:6.910 in|Pitch Diameter:6.392 in|Caliper Diameter:5.767 in
395468,160A40,Outside Diameter:26.610 in|Pitch Diameter:25.492 in|Caliper Diameter:24.367 in
395476,50B23FL,Outside Diameter:4.920 in|Pitch Sprocket Diameter:4.590 in|Caliper Diameter:4.179 in
395472,160A35,Outside Diameter:23.420 in|Pitch Diameter:22.312 in|Caliper Diameter:21.164 in
395500,180A21,Outside Diameter:16.280 in|Pitch Diameter:15.096 in|Caliper Diameter:13.648 in
395504,100A84,Outside Diameter:34.160 in|Pitch Diameter:33.430 in|Caliper Diameter:32.680 in
395521,35B26FL,Outside Diameter:3.310 in|Pitch Diameter:3.111 in|Caliper Diameter:2.911 in
395545,80B15F-1D,Outside Diameter:5.300 in|Pitch Diameter:4.810 in|Caliper Diameter:4.158 in
395496,2050B20,No. Teeth:20 |Outside Diameter:4.320 in|Pitch Diameter:4.045 in|Caliper Diameter:3.645 in
395517,60B54F-1G,Outside Diameter:13.330 in|Pitch Diameter:12.889 in|Caliper Diameter:12.430 in
395557,140A32,Outside Diameter:18.820 in|Pitch Diameter:17.854 in|Caliper Diameter:16.854 in
395553,50B55FL,Outside Diameter:11.310 in|Pitch Sprocket Diameter:10.948 in|Caliper Diameter:10.543 in
395525,140A25,Outside Diameter:14.900 in|Pitch Diameter:13.963 in|Caliper Diameter:12.935 in
395561,60B36F-1C,Outside Diameter:9.020 in|Pitch Diameter:8.606 in|Caliper Diameter:8.137 in
395549,160A14,Outside Diameter:9.960 in|Pitch Diameter:8.988 in|Caliper Diameter:7.863 in
395590,240A16,Outside Diameter:16.880 in|Pitch Diameter:15.377 in|Caliper Diameter:13.502 in
395529,35B30FJ,Outside Diameter:3.790 in|Pitch Diameter:3.588 in|Caliper Diameter:3.388 in
395626,50B20F-1D,Outside Diameter:4.320 in|Pitch Sprocket Diameter:3.995 in|Caliper Diameter:3.595 in
395586,2082A24,Outside Diameter:16.390 in|Pitch Diameter:15.323 in|Caliper Diameter:14.198 in
395594,80B13F-1F,Outside Diameter:4.660 in|Pitch Diameter:4.179 in|Caliper Diameter:3.523 in
395582,180A60,Outside Diameter:44.280 in|Pitch Diameter:42.992 in|Caliper Diameter:41.586 in
395630,200A13,Outside Diameter:11.640 in|Pitch Diameter:10.447 in|Caliper Diameter:8.808 in
395643,180A35,Outside Diameter:26.350 in|Pitch Diameter:25.101 in|Caliper Diameter:23.669 in
395573,240A19,Outside Diameter:19.780 in|Pitch Diameter:18.227 in|Caliper Diameter:16.289 in
395659,100A42,Outside Diameter:17.430 in|Pitch Diameter:16.728 in|Caliper Diameter:15.978 in
395647,80B15F-1R,Outside Diameter:5.300 in|Pitch Diameter:4.810 in|Caliper Diameter:4.158 in
395622,100A60,Outside Diameter:24.600 in|Pitch Diameter:23.884 in|Caliper Diameter:23.134 in
395668,200A26,Outside Diameter:22.090 in|Pitch Diameter:20.740 in|Caliper Diameter:19.178 in
395655,100A26,Outside Diameter:11.050 in|Pitch Diameter:10.370 in|Caliper Diameter:9.620 in
395677,60B33F-1L,Outside Diameter:8.300 in|Pitch Diameter:7.890 in|Caliper Diameter:7.412 in
395672,80B24F-2G,Outside Diameter:8.200 in|Pitch Diameter:7.661 in|Caliper Diameter:7.036 in
395685,100C60,Outside Diameter:24.600 in|Pitch Diameter:23.884 in|Caliper Diameter:23.134 in
395693,140B17,Outside Diameter:10.410 in|Pitch Diameter:9.524 in|Caliper Diameter:8.483 in
395727,100C70,Outside Diameter:28.580 in|Pitch Diameter:27.861 in|Caliper Diameter:27.111 in
395681,80B60F-2R,Outside Diameter:19.680 in|Pitch Diameter:19.107 in|Caliper Diameter:18.482 in
395664,2040B14,Outside Diameter:2.490 in|Pitch Diameter:2.305 in|Caliper Diameter:1.993 in
395706,160B22,Outside Diameter:15.110 in|Pitch Diameter:14.054 in|Caliper Diameter:12.929 in
395751,50B23F-1H,Outside Diameter:4.920 in|Pitch Sprocket Diameter:4.590 in|Caliper Diameter:4.179 in
395795,200B24,Outside Diameter:20.490 in|Pitch Diameter:19.152 in|Caliper Diameter:17.590 in
395811,35B11FH,Outside Diameter:1.500 in|Pitch Diameter:1.331 in|Caliper Diameter:1.117 in
395829,180B14,Outside Diameter:11.210 in|Pitch Diameter:10.111 in|Caliper Diameter:8.705 in
395834,180B17,Outside Diameter:13.390 in|Pitch Diameter:12.245 in|Caliper Diameter:10.787 in
395864,200B17,Outside Diameter:14.870 in|Pitch Diameter:13.605 in|Caliper Diameter:11.985 in
395873,200B11,Outside Diameter:10.020 in|Pitch Diameter:8.872 in|Caliper Diameter:7.219 in
395856,50B32FP,Outside Diameter:6.720 in|Pitch Sprocket Diameter:6.376 in|Caliper Diameter:5.976 in
395807,35B10FJ,Outside Diameter:1.380 in|Pitch Diameter:1.214 in|Caliper Diameter:1.014 in
395868,180B24,Outside Diameter:18.440 in|Pitch Diameter:17.238 in|Caliper Diameter:15.832 in
395917,2042B28,Outside Diameter:9.480 in|Pitch Diameter:8.931 in|Caliper Diameter:8.307 in
395950,60B16F-1R,Outside Diameter:4.220 in|Pitch Diameter:3.845 in|Caliper Diameter:3.375 in
396000,80B36F-1J,Outside Diameter:12.030 in|Pitch Diameter:11.474 in|Caliper Diameter:10.849 in
396004,60B21F-1H,Outside Diameter:5.430 in|Pitch Diameter:5.033 in|Caliper Diameter:4.549 in
395984,60B21F-1L,Outside Diameter:5.430 in|Pitch Diameter:5.033 in|Caliper Diameter:4.549 in
396008,100B26,Outside Diameter:11.050 in|Pitch Diameter:10.370 in|Caliper Diameter:9.620 in
396037,2050A25,No. Teeth:25 |Outside Diameter:5.320 in|Pitch Diameter:5.026 in|Caliper Diameter:4.616 in
395996,60B18F-1F,Outside Diameter:4.700 in|Pitch Diameter:4.319 in|Caliper Diameter:3.850 in
394492,40B20F-1B,Outside Diameter:3.460 in|Pitch Diameter:3.196 in|Caliper Diameter:2.883 in
394496,160A10,Outside Diameter:7.380 in|Pitch Diameter:6.472 in|Caliper Diameter:5.347 in
394486,40B19FJ,Outside Diameter:3.300 in|Pitch Diameter:3.038 in|Caliper Diameter:2.715 in
394476,180A17,Outside Diameter:13.390 in|Pitch Diameter:12.245 in|Caliper Diameter:10.787 in
395946,50B28F-1H,Outside Diameter:5.920 in|Pitch Sprocket Diameter:5.582 in|Caliper Diameter:5.182 in
394501,35B28FL,Outside Diameter:3.550 in|Pitch Diameter:3.349 in|Caliper Diameter:3.149 in
394505,40B19F-1C,Outside Diameter:3.300 in|Pitch Diameter:3.038 in|Caliper Diameter:2.715 in
394518,40B13F-1,Outside Diameter:2.330 in|Pitch Diameter:2.089 in|Caliper Diameter:1.761 in
394526,50B21F-1B,Outside Diameter:4.520 in|Pitch Sprocket Diameter:4.194 in|Caliper Diameter:3.782 in
394522,50B45F-1L,Outside Diameter:9.310 in|Pitch Sprocket Diameter:8.960 in|Caliper Diameter:8.554 in
394531,40B14FP,Outside Diameter:2.490 in|Pitch Diameter:2.247 in|Caliper Diameter:1.934 in
394535,40B12FP,Outside Diameter:2.170 in|Pitch Diameter:1.932 in|Caliper Diameter:1.620 in
394556,80B36F-1F,Outside Diameter:12.030 in|Pitch Diameter:11.474 in|Caliper Diameter:10.849 in
394572,35B11FF,Outside Diameter:1.500 in|Pitch Diameter:1.331 in|Caliper Diameter:1.117 in
394585,50B40F-1R,Outside Diameter:8.320 in|Pitch Sprocket Diameter:7.966 in|Caliper Diameter:7.566 in
394601,2062B14,Outside Diameter:7.470 in|Pitch Diameter:6.741 in|Caliper Diameter:5.866 in
394552,40B16FL,Outside Diameter:2.810 in|Pitch Diameter:2.563 in|Caliper Diameter:2.250 in
394589,2062B17,Outside Diameter:8.920 in|Pitch Diameter:8.163 in|Caliper Diameter:7.253 in
394605,60B31F-1B,Outside Diameter:7.830 in|Pitch Diameter:7.413 in|Caliper Diameter:6.935 in
394637,40B23FJ,Outside Diameter:3.940 in|Pitch Diameter:3.672 in|Caliper Diameter:3.351 in
