id,catalog_number,specifications
824196,PL095X135AE,d - Shaft O.D.:3.740 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:5.315 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:1.102 in|L:1.693 in|Lt:2.087 in|T1:0.217 in|T2:0.157 in|D1:5.709 in|Transmissible Torque:6719 ft·lb|Transmissible Thrust:43340 lb|P - Contact Pressure - Shaft:38726 psi|P' - Contact Pressure - Hub Bore:21901 psi|Weight:4.900 lb
824205,40A39,Stock Bore Diameter:0.594 in|Style:A |No. Teeth:39 |Outside Diameter:6.490 in|Pitch Diameter:6.214 in|Caliper Diameter:5.896 in|Weight:2.020 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes 
824200,PL040X065AD,d - Shaft O.D.:1.575 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.559 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:2.047 in|L:2.244 in|Lt:2.480 in|Transmissible Torque:1298 ft·lb|Transmissible Thrust:20007 lb|P - Contact Pressure - Shaft:20886 psi|P' - Contact Pressure - Hub Bore:12764 psi|Weight:1.800 lb
824172,PL065X095FL,d - Shaft O.D.:2.559 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:3.740 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:0.925 in|L:1.370 in|Lt:1.685 in|Transmissible Torque:2862 ft·lb|Transmissible Thrust:26751 lb|P - Contact Pressure - Shaft:40901 psi|P' - Contact Pressure - Hub Bore:22916 psi|Weight:2.100 lb
824176,PL085X125FL,d - Shaft O.D.:3.346 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:4.921 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|Transmissible Torque:5942 ft·lb|Transmissible Thrust:42712 lb|P - Contact Pressure - Shaft:40611 psi|P' - Contact Pressure - Hub Bore:23206 psi|Weight:4.400 lb
824209,80A18,Stock Bore Diameter:0.938 in|Style:A |No. Teeth:18 |Outside Diameter:6.270 in|Pitch Diameter:5.759 in|Caliper Diameter:5.134 in|Weight:3.700 lb|Tooth Nominal Width:0.575 in|Hardened Teeth :Yes 
824188,PL038X065AE,d - Shaft O.D.:1.496 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.559 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.807 in|L:1.224 in|Lt:1.461 in|T1:0.142 in|T2:0.118 in|D1:2.874 in|Transmissible Torque:658 ft·lb|Transmissible Thrust:10538 lb|P - Contact Pressure - Shaft:33069 psi|P' - Contact Pressure - Hub Bore:15084 psi|Weight:1.060 lb
824337,80H10,ANSI No.:80 |Strand:Tenfold |Pitch:1.000 in|L1:6.494 in|L2:6.597 in|D:0.312 in|R:0.625 in|W:0.625 in|h:0.819 in|H:0.949 in|C:1.283 in|T:0.156 in|Average Tensile Strength:209000 lb|Approx. Weight:20.630 lb/ft
824816,CS-C3,Chain Number:RS160 - RS240 
822895,PL065X073EF,d - Shaft O.D.:2.559 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:2.874 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.063 in|L2:1.339 in|L3:0.591 in|L4:0.138 in|Lt:2.244 in|D1:3.150 in|D2:3.583 in|D3:4.173 in|Transmissible Torque:2117 ft·lb|Transmissible Thrust:19895 lb|P - Contact Pressure - Shaft:29153 psi|P' - Contact Pressure - Hub Bore:25962 psi|Weight:2.400 lb
822907,PL070X110AE,d - Shaft O.D.:2.756 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.331 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|T1:0.177 in|T2:0.157 in|D1:4.724 in|Transmissible Torque:3540 ft·lb|Transmissible Thrust:30800 lb|P - Contact Pressure - Shaft:35825 psi|P' - Contact Pressure - Hub Bore:19145 psi|Weight:3.700 lb
822903,PL019X047AE,d - Shaft O.D.:0.748 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.850 in|t2 - Hub Counter ID Tolerance:+0.0013 in -0 |l:0.748 in|L:1.075 in|Lt:1.311 in|T1:0.098 in|T2:0.118 in|D1:2.087 in|Transmissible Torque:196 ft·lb|Transmissible Thrust:6314 lb|P - Contact Pressure - Shaft:41627 psi|P' - Contact Pressure - Hub Bore:13489 psi|Weight:0.620 lb
822891,PL048X055EF,d - Shaft O.D.:1.890 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.165 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:0.984 in|L2:1.240 in|L3:0.512 in|L4:0.118 in|Lt:2.067 in|D1:2.402 in|D2:2.835 in|D3:3.425 in|Transmissible Torque:1180 ft·lb|Transmissible Thrust:14904 lb|P - Contact Pressure - Shaft:33069 psi|P' - Contact Pressure - Hub Bore:28863 psi|Weight:1.500 lb
822915,PL150X200AE,d - Shaft O.D.:5.906 in|t1 - Shaft Dia. Tolerance:-0.0025 in +0 |D - Hub Counter I.D.:7.874 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.496 in|L:2.283 in|Lt:2.756 in|T1:0.315 in|T2:0.236 in|D1:8.465 in|Transmissible Torque:19914 ft·lb|Transmissible Thrust:80960 lb|P - Contact Pressure - Shaft:32054 psi|P' - Contact Pressure - Hub Bore:20306 psi|Weight:12.800 lb
824119,PL022X026EF,d - Shaft O.D.:0.866 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:1.024 in|t2 - Hub Counter ID Tolerance:+0.0013 in -0 |l:0.630 in|L2:0.787 in|L3:0.276 in|L4:0.079 in|Lt:1.260 in|D1:1.181 in|D2:1.496 in|D3:1.890 in|Transmissible Torque:137 ft·lb|Transmissible Thrust:3844 lb|P - Contact Pressure - Shaft:31619 psi|P' - Contact Pressure - Hub Bore:26687 psi|Weight:0.260 lb
824139,PL2FL,d - Shaft O.D.:2.000 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:3.150 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:0.925 in|L:|Lt:1.685 in|Transmissible Torque:1740 ft·lb|Transmissible Thrust:20884 lb|P - Contact Pressure - Shaft:39016 psi|P' - Contact Pressure - Hub Bore:21176 psi|Weight:1.800 lb
824123,PL032X036EF,d - Shaft O.D.:1.260 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:1.417 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.630 in|L2:0.827 in|L3:0.354 in|L4:0.098 in|Lt:1.378 in|D1:1.614 in|D2:1.929 in|D3:2.323 in|Transmissible Torque:304 ft·lb|Transmissible Thrust:5755 lb|P - Contact Pressure - Shaft:32489 psi|P' - Contact Pressure - Hub Bore:29008 psi|Weight:0.440 lb
824171,PL060X090FL,d - Shaft O.D.:2.362 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:3.543 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:0.925 in|L:1.370 in|Lt:1.685 in|Transmissible Torque:2348 ft·lb|Transmissible Thrust:23829 lb|P - Contact Pressure - Shaft:39451 psi|P' - Contact Pressure - Hub Bore:21466 psi|Weight:2.000 lb
824204,40A37,Stock Bore Diameter:0.594 in|Style:A |No. Teeth:37 |Outside Diameter:6.180 in|Pitch Diameter:5.896 in|Caliper Diameter:5.578 in|Weight:1.920 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes 
