id,catalog_number,chain_technical_data
395109,35JA30,Pitch:0.375 in|Chain Size:35 
395030,50B18F-1H,Pitch:0.625 in|Chain Size:50 
395076,40B35FL,Pitch:0.500 in|Chain Size:40 
394980,120A16,Pitch:1.500 in|Chain Size:120 
395125,40B28FL,Pitch:0.500 in|Chain Size:40 
395121,40B32F-1B,Pitch:0.500 in|Chain Size:40 
394992,41B18FJ,Pitch:0.500 in|Chain Size:41 
395021,80B30F-1C,Pitch:1.000 in|Chain Size:80 
395159,40B34F-1C,Pitch:0.500 in|Chain Size:40 
395142,40B35F-1D,Pitch:0.500 in|Chain Size:40 
395171,50B12F-1B,Pitch:0.625 in|Chain Size:50 
395194,41B14FH,Pitch:0.500 in|Chain Size:41 
395189,41B13F-1,Pitch:0.500 in|Chain Size:41 
395198,41B10FH,Pitch:0.500 in|Chain Size:41 
395167,50B13SS,Pitch:0.625 in|Chain Size:50 
395179,35B17SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395163,40B60F-1H,Pitch:0.500 in|Chain Size:40 
395146,40B35F-1B,Pitch:0.500 in|Chain Size:40 
395224,D40BTL21,Pitch:0.500 in|Chain Size:40-2 
395203,50SF96,Pitch:0.625 in|Chain Size:50 
395216,60B48F-2C,Pitch:0.750 in|Chain Size:60 
395242,40B50FJ,Pitch:0.500 in|Chain Size:40 
395247,40BTL84,Pitch:0.500 in|Chain Size:40 
395233,40B40FP,Pitch:0.500 in|Chain Size:40 
395220,2042A28,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
395259,40B48F-1D,Pitch:0.500 in|Chain Size:40 
395328,80B11F-1B,Pitch:1.000 in|Chain Size:80 
395251,40B48F-1B,Pitch:0.500 in|Chain Size:40 
395271,80A36,Pitch:1.000 in|Chain Size:80 
395337,50B19FP,Pitch:0.625 in|Chain Size:50 
395345,35B40FP,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395291,80A26,Pitch:1.000 in|Chain Size:80 
395267,80A35,Pitch:1.000 in|Chain Size:80 
395373,60B60F-1J,Pitch:0.750 in|Chain Size:60 
395255,40B48F-1H,Pitch:0.500 in|Chain Size:40 
395299,50B27FP,Pitch:0.625 in|Chain Size:50 
395369,80B18F-1C,Pitch:1.000 in|Chain Size:80 
395361,80A48,Pitch:1.000 in|Chain Size:80 
395207,160B11,Pitch:2.000 in|Chain Size:160 
395394,60A49,Pitch:0.750 in|Chain Size:60 
395357,80B21F-1J,Pitch:1.000 in|Chain Size:80 
395377,2062A12,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
395406,80B20F-1L,Pitch:1.000 in|Chain Size:80 
395402,D60B40,Pitch:0.750 in|Chain Size:60-2 
395422,60B72,Pitch:0.750 in|Chain Size:60 
395460,80A40,Pitch:1.000 in|Chain Size:80 
395480,80B13SS,Pitch:1.000 in|Chain Size:80.000 
395434,80A20,Pitch:1.000 in|Chain Size:80 
395468,160A40,Pitch:2.000 in|Chain Size:160 
395381,40B70,Pitch:0.500 in|Chain Size:40 
395476,50B23FL,Pitch:0.625 in|Chain Size:50 
395472,160A35,Pitch:2.000 in|Chain Size:160 
395492,120A10,Pitch:1.500 in|Chain Size:120 
395500,180A21,Pitch:2.250 in|Chain Size:180 
395504,100A84,Pitch:1.250 in|Chain Size:100 
395521,35B26FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395537,120A42,Pitch:1.500 in|Chain Size:120 
395513,D160B15,Pitch:2.000 in|Chain Size:160-2 
395545,80B15F-1D,Pitch:1.000 in|Chain Size:80 
395496,2050B20,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
395517,60B54F-1G,Pitch:0.750 in|Chain Size:60 
395557,140A32,Pitch:1.750 in|Chain Size:140 
395553,50B55FL,Pitch:0.625 in|Chain Size:50 
395525,140A25,Pitch:1.750 in|Chain Size:140 
395561,60B36F-1C,Pitch:0.750 in|Chain Size:60 
395533,50BTL24,Pitch:0.625 in|Chain Size:50 
