id,catalog_number,chain_technical_data
394953,41B24FJ,Pitch:0.500 in|Chain Size:41 
394916,60B40F-2G,Pitch:0.750 in|Chain Size:60 
396641,1.20E+18,Pitch:1.500 in|Chain Size:120 
394920,50SDS26,Pitch:0.625 in|Chain Size:50 
394941,50B48F-1B,Pitch:0.625 in|Chain Size:50 
394975,50B22FL,Pitch:0.625 in|Chain Size:50 
394957,41B11FH,Pitch:0.500 in|Chain Size:41 
394924,40B25FP,Pitch:0.500 in|Chain Size:40 
394965,35B24SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394995,60B48F-1G,Pitch:0.750 in|Chain Size:60 
394983,2082B10,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
395008,160A23,Pitch:2.000 in|Chain Size:160 
394979,50B23F-1B,Pitch:0.625 in|Chain Size:50 
394987,50B25F-1H,Pitch:0.625 in|Chain Size:50 
395012,50B19F-1F,Pitch:0.625 in|Chain Size:50 
394991,35B13SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395024,50B18F-1C,Pitch:0.625 in|Chain Size:50 
394999,40A38,Pitch:0.500 in|Chain Size:40 
395041,50B22F-1B,Pitch:0.625 in|Chain Size:50 
396612,1.00E+24,Pitch:1.250 in|Chain Size:100 
395033,60B32F-1R,Pitch:0.750 in|Chain Size:60 
395004,50B25F-1C,Pitch:0.625 in|Chain Size:50 
395020,240B12,Pitch:3.000 in|Chain Size:240 
395049,80B11F-1G,Pitch:1.000 in|Chain Size:80 
395037,50B21FL,Pitch:0.625 in|Chain Size:50 
395045,200A40,Pitch:2.500 in|Chain Size:200 
395071,40B36FJ,Pitch:0.500 in|Chain Size:40 
395028,60B28F-1H,Pitch:0.750 in|Chain Size:60 
395079,80B12F-1B,Pitch:1.000 in|Chain Size:80 
395091,60B25F-1F,Pitch:0.750 in|Chain Size:60 
395058,200B12,Pitch:2.500 in|Chain Size:200 
395100,40B38F-1G,Pitch:0.500 in|Chain Size:40 
395083,40B32F-1D,Pitch:0.500 in|Chain Size:40 
395095,60B38F-2C,Pitch:0.750 in|Chain Size:60 
395067,40B36FP,Pitch:0.500 in|Chain Size:40 
396670,80B14SS,Pitch:1.000 in|Chain Size:80.000 
396718,50B21F-1G,Pitch:0.625 in|Chain Size:50 
396678,50BTL25,Pitch:0.625 in|Chain Size:50 
396702,80BTL13,Pitch:1.000 in|Chain Size:80 
396751,60SK36,Pitch:0.750 in|Chain Size:60 
396743,50SK70,Pitch:0.625 in|Chain Size:50 
396767,80SF34,Pitch:1.000 in|Chain Size:80 
396763,80SF28,Pitch:1.000 in|Chain Size:80 
396723,2080A18,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
396739,60JA12,Pitch:0.750 in|Chain Size:60 
396657,60BTL21,Pitch:0.750 in|Chain Size:60 
396787,40A28,Pitch:0.500 in|Chain Size:40 
396735,50SF80,Pitch:0.625 in|Chain Size:50 
396771,80SF20,Pitch:1.000 in|Chain Size:80 
396747,60SK28,Pitch:0.750 in|Chain Size:60 
396775,80SF24,Pitch:1.000 in|Chain Size:80 
396783,35SH48,Pitch:0.375 in|Chain Size:35 
396731,50SH18,Pitch:0.625 in|Chain Size:50 
396653,60BTL24,Pitch:0.750 in|Chain Size:60 
396759,60SH15,Pitch:0.750 in|Chain Size:60 
396804,35JA20,Pitch:0.375 in|Chain Size:35 
396829,40SH28,Pitch:0.500 in|Chain Size:40 
396816,40B38FL,Pitch:0.500 in|Chain Size:40 
396824,40SH35,Pitch:0.500 in|Chain Size:40 
396820,50SDS28,Pitch:0.625 in|Chain Size:50 
396808,50SDS23,Pitch:0.625 in|Chain Size:50 
396837,100C54,Pitch:1.250 in|Chain Size:100 
396674,60BTL13,Pitch:0.750 in|Chain Size:60 
396833,50JA14,Pitch:0.625 in|Chain Size:50 
396859,35A25,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396854,60B23SS,Pitch:0.750 in|Chain Size:60 
396846,60B22F-1F,Pitch:0.750 in|Chain Size:60 
396842,80B10SS,Pitch:1.000 in|Chain Size:80.000 
396727,2040B24,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
396863,60B40SS,Pitch:0.750 in|Chain Size:60 
396867,100BTL35,Pitch:1.250 in|Chain Size:100 
396903,35B25F-1,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396920,35B9SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396911,2060B16,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in
396899,50A18,Pitch:0.625 in|Chain Size:50 
396948,D60B30,Pitch:0.750 in|Chain Size:60-2 
396883,35BTL20,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396891,200A19,Pitch:2.500 in|Chain Size:200 
396907,50SDS30,Pitch:0.625 in|Chain Size:50 
396932,40A30SS,Pitch:0.500 in|Chain Size:40 
396940,60B14SS,Pitch:0.750 in|Chain Size:60 
396895,120CTL60,Pitch:1.500 in|Chain Size:120 
396928,2060B20,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in
396924,35B30SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396936,50B24SS,Pitch:0.625 in|Chain Size:50 
824206,40A56,Pitch:0.500 in|Chain Size:40 
824210,80A39,Pitch:1.000 in|Chain Size:80 
395112,40B30FP,Pitch:0.500 in|Chain Size:40 
395132,50B18FJ,Pitch:0.625 in|Chain Size:50 
395116,40B30FJ,Pitch:0.500 in|Chain Size:40 
395149,40B32FL,Pitch:0.500 in|Chain Size:40 
395141,40B34FP,Pitch:0.500 in|Chain Size:40 
395128,40B21FJ,Pitch:0.500 in|Chain Size:40 
395157,60A14,Pitch:0.750 in|Chain Size:60 
395174,40B54F-1C,Pitch:0.500 in|Chain Size:40 
395166,40B60F-1C,Pitch:0.500 in|Chain Size:40 
395201,50B17F-1F,Pitch:0.625 in|Chain Size:50 
395206,40B36F-1D,Pitch:0.500 in|Chain Size:40 
395241,50B29F-1F,Pitch:0.625 in|Chain Size:50 
395246,40B28F-1G,Pitch:0.500 in|Chain Size:40 
395178,2052A12,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
395223,40B40F-1G,Pitch:0.500 in|Chain Size:40 
395170,D60BTL30,Pitch:0.750 in|Chain Size:60-2 
395237,240A10,Pitch:3.000 in|Chain Size:240 
395254,40B45FP,Pitch:0.500 in|Chain Size:40 
395153,40B32F-1H,Pitch:0.500 in|Chain Size:40 
395193,41B14F-1,Pitch:0.500 in|Chain Size:41 
395270,100A72,Pitch:1.250 in|Chain Size:100 
395197,50B50F-1L,Pitch:0.625 in|Chain Size:50 
395266,80A12,Pitch:1.000 in|Chain Size:80 
395162,40B60F-1G,Pitch:0.500 in|Chain Size:40 
395274,35B54F-1C,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395282,40B50F-1C,Pitch:0.500 in|Chain Size:40 
395286,80A27,Pitch:1.000 in|Chain Size:80 
395290,35B84,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395294,60B24F-1D,Pitch:0.750 in|Chain Size:60 
395231,40B42F-1D,Pitch:0.500 in|Chain Size:40 
395314,D140B26,Pitch:1.750 in|Chain Size:140-2 
395336,180B22,Pitch:2.250 in|Chain Size:180 
395360,2042A25,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
395306,35B72,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395319,25B32,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
395258,40B28F-1H,Pitch:0.500 in|Chain Size:40 
395380,60A80,Pitch:0.750 in|Chain Size:60 
395323,80A65,Pitch:1.000 in|Chain Size:80 
395393,60A50,Pitch:0.750 in|Chain Size:60 
395348,80A46,Pitch:1.000 in|Chain Size:80 
395397,60A44,Pitch:0.750 in|Chain Size:60 
395401,60A45,Pitch:0.750 in|Chain Size:60 
395385,200A60,Pitch:2.500 in|Chain Size:200 
395405,2050B28,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
395417,2062A24,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
395449,60A84,Pitch:0.750 in|Chain Size:60 
395425,40B38FJ,Pitch:0.500 in|Chain Size:40 
395429,80A22,Pitch:1.000 in|Chain Size:80 
395453,50SDS32,Pitch:0.625 in|Chain Size:50 
395421,80A15,Pitch:1.000 in|Chain Size:80 
395372,35BTL22,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395487,160A26,Pitch:2.000 in|Chain Size:160 
395467,120A21,Pitch:1.500 in|Chain Size:120 
395475,160A70,Pitch:2.000 in|Chain Size:160 
395503,180A19,Pitch:2.250 in|Chain Size:180 
395516,35B22FH,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395491,160A25,Pitch:2.000 in|Chain Size:160 
395499,180A20,Pitch:2.250 in|Chain Size:180 
395507,50B24F-1D,Pitch:0.625 in|Chain Size:50 
395471,160A30,Pitch:2.000 in|Chain Size:160 
395463,40BTL48,Pitch:0.500 in|Chain Size:40 
395520,140A21,Pitch:1.750 in|Chain Size:140 
395524,2062B22,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
395528,140A22,Pitch:1.750 in|Chain Size:140 
395458,80A13,Pitch:1.000 in|Chain Size:80 
395560,120F35,Pitch:1.500 in|Chain Size:120 
395548,160A13,Pitch:2.000 in|Chain Size:160 
395568,140A70,Pitch:1.750 in|Chain Size:140 
395544,120A32,Pitch:1.500 in|Chain Size:120 
395576,D40B54,Pitch:0.500 in|Chain Size:40-2 
395512,120A13,Pitch:1.500 in|Chain Size:120 
395540,140A13,Pitch:1.750 in|Chain Size:140 
395572,100A15,Pitch:1.250 in|Chain Size:100 
395495,50A28,Pitch:0.625 in|Chain Size:50 
395564,60BTL40,Pitch:0.750 in|Chain Size:60 
395556,140A26,Pitch:1.750 in|Chain Size:140 
395581,240A30,Pitch:3.000 in|Chain Size:240 
395585,100A22,Pitch:1.250 in|Chain Size:100 
395617,120C48,Pitch:1.500 in|Chain Size:120 
395589,100A20,Pitch:1.250 in|Chain Size:100 
395552,2060B30,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in
396968,D80ATL13,Pitch:1.000 in|Chain Size:80-2 
397001,40BTL20,Pitch:0.500 in|Chain Size:40 
397009,40BTL28,Pitch:0.500 in|Chain Size:40 
395593,240A13,Pitch:3.000 in|Chain Size:240 
396992,D60BTL16,Pitch:0.750 in|Chain Size:60-2 
397022,80B8,Pitch:1.000 in|Chain Size:80 
396988,D60BTL21,Pitch:0.750 in|Chain Size:60-2 
397030,60A26,Pitch:0.750 in|Chain Size:60 
397050,40BTL72,Pitch:0.500 in|Chain Size:40 
397058,50BTL45,Pitch:0.625 in|Chain Size:50 
397046,D140B17,Pitch:1.750 in|Chain Size:140-2 
397005,50BTL17,Pitch:0.625 in|Chain Size:50 
397034,160B25,Pitch:2.000 in|Chain Size:160 
397095,60B22F-1G,Pitch:0.750 in|Chain Size:60 
396984,60SH14,Pitch:0.750 in|Chain Size:60 
397091,100B48,Pitch:1.250 in|Chain Size:100 
397083,D40ATL17,Pitch:0.500 in|Chain Size:40-2 
397111,60B20F-1G,Pitch:0.750 in|Chain Size:60 
396964,D80ATL16,Pitch:1.000 in|Chain Size:80-2 
397115,50B29F-1C,Pitch:0.625 in|Chain Size:50 
397107,200C30,Pitch:2.500 in|Chain Size:200 
397123,60B25F-1L,Pitch:0.750 in|Chain Size:60 
397103,80B30F-2C,Pitch:1.000 in|Chain Size:80 
397135,D60B19,Pitch:0.750 in|Chain Size:60-2 
397127,60B25F-1B,Pitch:0.750 in|Chain Size:60 
397078,60BTL84,Pitch:0.750 in|Chain Size:60 
397119,60B21F-1G,Pitch:0.750 in|Chain Size:60 
397144,60B24F-1C,Pitch:0.750 in|Chain Size:60 
397070,50BTL72,Pitch:0.625 in|Chain Size:50 
397152,D40ATL16,Pitch:0.500 in|Chain Size:40-2 
397131,60B26F-1G,Pitch:0.750 in|Chain Size:60 
397148,80B60F-1C,Pitch:1.000 in|Chain Size:80 
397160,2052A22,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
397164,60B16F-1L,Pitch:0.750 in|Chain Size:60 
397156,35B32SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
397168,60B15F-1H,Pitch:0.750 in|Chain Size:60 
397200,160B17,Pitch:2.000 in|Chain Size:160 
397180,60B15FL,Pitch:0.750 in|Chain Size:60 
397229,60B36F-1F,Pitch:0.750 in|Chain Size:60 
397237,60B33F-1F,Pitch:0.750 in|Chain Size:60 
397250,60B40F-1G,Pitch:0.750 in|Chain Size:60 
397208,60B18F-1R,Pitch:0.750 in|Chain Size:60 
397212,100SDS11,Pitch:1.250 in|Chain Size:100 
397176,60B16F-1C,Pitch:0.750 in|Chain Size:60 
397263,60B38F-1H,Pitch:0.750 in|Chain Size:60 
397172,60B22F-1L,Pitch:0.750 in|Chain Size:60 
397196,60B19F-1L,Pitch:0.750 in|Chain Size:60 
397246,60B40F-1R,Pitch:0.750 in|Chain Size:60 
397254,40JA16,Pitch:0.500 in|Chain Size:40 
397258,41B19F-1,Pitch:0.500 in|Chain Size:41 
397297,60B26F-1J,Pitch:0.750 in|Chain Size:60 
397233,60B15F-1L,Pitch:0.750 in|Chain Size:60 
397268,60B38F-1C,Pitch:0.750 in|Chain Size:60 
397241,60B35F-1G,Pitch:0.750 in|Chain Size:60 
397293,60B27F-1B,Pitch:0.750 in|Chain Size:60 
397320,60B32F-1H,Pitch:0.750 in|Chain Size:60 
397311,60B31F-1G,Pitch:0.750 in|Chain Size:60 
397277,60B48F-1H,Pitch:0.750 in|Chain Size:60 
397306,60B27F-1J,Pitch:0.750 in|Chain Size:60 
397337,60B30F-1J,Pitch:0.750 in|Chain Size:60 
397332,60B26F-1F,Pitch:0.750 in|Chain Size:60 
397324,40B45F-1H,Pitch:0.500 in|Chain Size:40 
397341,50B34FL,Pitch:0.625 in|Chain Size:50 
397285,60B29F-1L,Pitch:0.750 in|Chain Size:60 
397328,60B30F-1B,Pitch:0.750 in|Chain Size:60 
397345,50B34F-1G,Pitch:0.625 in|Chain Size:50 
397289,60B29F-1F,Pitch:0.750 in|Chain Size:60 
397349,50B35F-1R,Pitch:0.625 in|Chain Size:50 
397372,80B18F-1D,Pitch:1.000 in|Chain Size:80 
397353,60BTL22,Pitch:0.750 in|Chain Size:60 
397362,50B33F-1D,Pitch:0.625 in|Chain Size:50 
397377,50B18F-1G,Pitch:0.625 in|Chain Size:50 
397410,50B28F-1C,Pitch:0.625 in|Chain Size:50 
397396,140B28,Pitch:1.750 in|Chain Size:140 
395642,180A54,Pitch:2.250 in|Chain Size:180 
395650,60B45F-1D,Pitch:0.750 in|Chain Size:60 
395625,200A10,Pitch:2.500 in|Chain Size:200 
397406,50B28F-1B,Pitch:0.625 in|Chain Size:50 
395634,120B22,Pitch:1.500 in|Chain Size:120 
395667,200A25,Pitch:2.500 in|Chain Size:200 
397368,50B33F-1R,Pitch:0.625 in|Chain Size:50 
395638,180A24,Pitch:2.250 in|Chain Size:180 
395700,T50B30,Pitch:0.625 in|Chain Size:50-3 
395713,40A72,Pitch:0.500 in|Chain Size:40 
395675,41A28,Pitch:0.500 in|Chain Size:41 
397391,50B35FP,Pitch:0.625 in|Chain Size:50 
395662,200A22,Pitch:2.500 in|Chain Size:200 
395725,100C90,Pitch:1.250 in|Chain Size:100 
395684,50B15F-1F,Pitch:0.625 in|Chain Size:50 
395654,200A54,Pitch:2.500 in|Chain Size:200 
395738,100B42,Pitch:1.250 in|Chain Size:100 
397402,240A45,Pitch:3.000 in|Chain Size:240 
395734,120B11,Pitch:1.500 in|Chain Size:120 
397385,T60B35,Pitch:0.750 in|Chain Size:60-3 
395709,40B18FP,Pitch:0.500 in|Chain Size:40 
395742,2050B15,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
395750,120B30,Pitch:1.500 in|Chain Size:120 
395770,120B24,Pitch:1.500 in|Chain Size:120 
395790,40JA18,Pitch:0.500 in|Chain Size:40 
395794,200B20,Pitch:2.500 in|Chain Size:200 
395758,T50B11,Pitch:0.625 in|Chain Size:50-3 
395786,240B13,Pitch:3.000 in|Chain Size:240 
395782,60B44,Pitch:0.750 in|Chain Size:60 
395814,240B15,Pitch:3.000 in|Chain Size:240 
395820,40A13,Pitch:0.500 in|Chain Size:40 
395828,180B13,Pitch:2.250 in|Chain Size:180 
395851,35B23FH,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395863,200B16,Pitch:2.500 in|Chain Size:200 
395859,D50ATL18,Pitch:0.625 in|Chain Size:50-2 
395867,60B42F-1J,Pitch:0.750 in|Chain Size:60 
395876,180B28,Pitch:2.250 in|Chain Size:180 
395688,140B14,Pitch:1.750 in|Chain Size:140 
395872,40A25,Pitch:0.500 in|Chain Size:40 
395843,160B26,Pitch:2.000 in|Chain Size:160 
395896,60A24,Pitch:0.750 in|Chain Size:60 
395806,35A84,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395908,D60B32,Pitch:0.750 in|Chain Size:60-2 
395904,60A29,Pitch:0.750 in|Chain Size:60 
395798,2082B18,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
395920,60B41,Pitch:0.750 in|Chain Size:60 
395855,50B55F-1F,Pitch:0.625 in|Chain Size:50 
395900,60A20,Pitch:0.750 in|Chain Size:60 
397418,180B11,Pitch:2.250 in|Chain Size:180 
397461,50B30F-1H,Pitch:0.625 in|Chain Size:50 
397453,50B29FP,Pitch:0.625 in|Chain Size:50 
397426,35B30F-1D,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
397478,60B11FL,Pitch:0.750 in|Chain Size:60 
397431,35B35F-1D,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
397492,2082B26,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
397445,50B32F-1B,Pitch:0.625 in|Chain Size:50 
397484,50B42F-1C,Pitch:0.625 in|Chain Size:50 
397508,60B28F-1L,Pitch:0.750 in|Chain Size:60 
397528,40B34FL,Pitch:0.500 in|Chain Size:40 
397500,60B14F-1D,Pitch:0.750 in|Chain Size:60 
397516,D80ATL18,Pitch:1.000 in|Chain Size:80-2 
397441,50B32F-1H,Pitch:0.625 in|Chain Size:50 
397457,50B31F-1C,Pitch:0.625 in|Chain Size:50 
397504,60B15F-1D,Pitch:0.750 in|Chain Size:60 
397538,50B42F-1H,Pitch:0.625 in|Chain Size:50 
397520,60B33F-1R,Pitch:0.750 in|Chain Size:60 
397554,50B40F-1C,Pitch:0.625 in|Chain Size:50 
397546,50B38F-1L,Pitch:0.625 in|Chain Size:50 
397512,60B13F-1B,Pitch:0.750 in|Chain Size:60 
397558,50B48FL,Pitch:0.625 in|Chain Size:50 
397533,50B42F-1B,Pitch:0.625 in|Chain Size:50 
397562,50B48F-1G,Pitch:0.625 in|Chain Size:50 
397488,40SH26,Pitch:0.500 in|Chain Size:40 
397437,50B31F-1G,Pitch:0.625 in|Chain Size:50 
397422,50B26F-1D,Pitch:0.625 in|Chain Size:50 
397542,41B24FL,Pitch:0.500 in|Chain Size:41 
397577,60B29F-1C,Pitch:0.750 in|Chain Size:60 
397465,60B10FJ,Pitch:0.750 in|Chain Size:60 
397581,35B21SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
395925,35B18FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
397597,80B27F-2R,Pitch:1.000 in|Chain Size:80 
397593,80B27F-1F,Pitch:1.000 in|Chain Size:80 
397585,200A11,Pitch:2.500 in|Chain Size:200 
395929,40B34F-1H,Pitch:0.500 in|Chain Size:40 
397614,80B26F-2R,Pitch:1.000 in|Chain Size:80 
397606,80B26F-1G,Pitch:1.000 in|Chain Size:80 
397589,50B25F-1G,Pitch:0.625 in|Chain Size:50 
395961,40B36FL,Pitch:0.500 in|Chain Size:40 
395987,80SF30,Pitch:1.000 in|Chain Size:80 
395978,60A32,Pitch:0.750 in|Chain Size:60 
396007,40B27F-1B,Pitch:0.500 in|Chain Size:40 
396019,60B60SS,Pitch:0.750 in|Chain Size:60 
396011,120B10,Pitch:1.500 in|Chain Size:120 
396040,40A80,Pitch:0.500 in|Chain Size:40 
395953,60A40,Pitch:0.750 in|Chain Size:60 
395999,T40B26,Pitch:0.500 in|Chain Size:40-3 
395991,80B54,Pitch:1.000 in|Chain Size:80 
396031,50A39,Pitch:0.625 in|Chain Size:50 
396080,80B60F-1H,Pitch:1.000 in|Chain Size:80 
396056,50B60F-1R,Pitch:0.625 in|Chain Size:50 
396088,2050B17,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
397618,80B26F-1L,Pitch:1.000 in|Chain Size:80 
396064,40BTL21,Pitch:0.500 in|Chain Size:40 
396084,80B26F-1R,Pitch:1.000 in|Chain Size:80 
396093,2052B13,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396134,2052B21,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396150,50B31F-1L,Pitch:0.625 in|Chain Size:50 
396118,2052B26,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396106,2042B20,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
396138,50B48F-1H,Pitch:0.625 in|Chain Size:50 
396146,50B11FJ,Pitch:0.625 in|Chain Size:50 
396154,2080A19,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
396114,2040A24,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
396170,2062A17,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
396052,60B96,Pitch:0.750 in|Chain Size:60 
396199,2082A14,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396166,80B19F-1G,Pitch:1.000 in|Chain Size:80 
396102,2042B25,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
396191,2040B28,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
397622,80B36F-1G,Pitch:1.000 in|Chain Size:80 
396179,2040B23,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
397634,80B36F-1R,Pitch:1.000 in|Chain Size:80 
397626,80B30F-2G,Pitch:1.000 in|Chain Size:80 
396158,2040B21,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
397630,80B60F-1D,Pitch:1.000 in|Chain Size:80 
396195,120BTL36,Pitch:1.500 in|Chain Size:120 
397642,D100B22,Pitch:1.250 in|Chain Size:100-2 
396162,2080A25,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
397638,80B28F-2C,Pitch:1.000 in|Chain Size:80 
397664,60B60F-2C,Pitch:0.750 in|Chain Size:60 
397652,80B20F-1R,Pitch:1.000 in|Chain Size:80 
397676,80B19F-1L,Pitch:1.000 in|Chain Size:80 
397656,80B20F-1G,Pitch:1.000 in|Chain Size:80 
397684,2062A22,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
397672,40BTL54,Pitch:0.500 in|Chain Size:40 
397701,80B21F-2G,Pitch:1.000 in|Chain Size:80 
397693,2050A23,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
397697,80B24F-1H,Pitch:1.000 in|Chain Size:80 
396175,40B50F-1B,Pitch:0.500 in|Chain Size:40 
397717,D35B26,Pitch:0.375 in|Chain Size:35-2 |Inside Width :0.188 in|Roller Diameter :0.200 in
397688,80B22F-2C,Pitch:1.000 in|Chain Size:80 
397668,2080A22,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
397749,D50B15,Pitch:0.625 in|Chain Size:50-2 
397741,D35B16,Pitch:0.375 in|Chain Size:35-2 |Inside Width :0.188 in|Roller Diameter :0.200 in
397705,80B21F-1R,Pitch:1.000 in|Chain Size:80 
397769,D40B15,Pitch:0.500 in|Chain Size:40-2 
397733,D160B19,Pitch:2.000 in|Chain Size:160-2 
397765,140A20,Pitch:1.750 in|Chain Size:140 
397721,D35B20,Pitch:0.375 in|Chain Size:35-2 |Inside Width :0.188 in|Roller Diameter :0.200 in
397777,D40B26,Pitch:0.500 in|Chain Size:40-2 
397773,D40B48,Pitch:0.500 in|Chain Size:40-2 
397761,D50B19,Pitch:0.625 in|Chain Size:50-2 
397793,60B45F-1L,Pitch:0.750 in|Chain Size:60 
397829,D120B19,Pitch:1.500 in|Chain Size:120-2 
397789,80B24F-1F,Pitch:1.000 in|Chain Size:80 
397745,D160B30,Pitch:2.000 in|Chain Size:160-2 
397816,D140B14,Pitch:1.750 in|Chain Size:140-2 
397810,D140B16,Pitch:1.750 in|Chain Size:140-2 
397824,50B16SS,Pitch:0.625 in|Chain Size:50 
397908,60B45F-2C,Pitch:0.750 in|Chain Size:60 
397889,35B15FH,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396203,80B36F-2G,Pitch:1.000 in|Chain Size:80 
397837,D120B26,Pitch:1.500 in|Chain Size:120-2 
397785,D100B19,Pitch:1.250 in|Chain Size:100-2 
397865,2062A15,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
396232,2082B15,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
397912,60B45F-1J,Pitch:0.750 in|Chain Size:60 
396207,2040B11,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
396228,2082B19,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396253,35B18SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396224,T60B12,Pitch:0.750 in|Chain Size:60-3 
396245,35B10SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396220,25B19SS,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
396241,2082B23,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396261,25B20SS,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
396249,35B22SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
