main_image,catalog_number,specifications,chain_technical_data,sprocket_diameters,locking_bolts,id
,PL038X065FL,d - Shaft O.D.:1.496 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.559 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:0.807 in|L:1.224 in|Lt:1.461 in|Transmissible Torque:906 ft·lb|Transmissible Thrust:14522 lb|P - Contact Pressure - Shaft:41481 psi|P' - Contact Pressure - Hub Bore:20741 psi|Weight:1.100 lb,,,Quantity:9 |Size:M6x18 |Tightening Torque:12.500 ft·lb,824164
,PL048X080FL,d - Shaft O.D.:1.890 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:3.150 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:0.925 in|L:1.378 in|Lt:1.693 in|Transmissible Torque:1644 ft·lb|Transmissible Thrust:20884 lb|P - Contact Pressure - Shaft:41772 psi|P' - Contact Pressure - Hub Bore:21176 psi|Weight:1.800 lb,,,Quantity:7 |Size:M8x22 |Tightening Torque:30.000 ft·lb,824168
,PL028X055AE,d - Shaft O.D.:1.102 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:2.165 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.748 in|L:1.126 in|Lt:1.362 in|T1:0.130 in|T2:0.118 in|D1:2.441 in|Transmissible Torque:383 ft·lb|Transmissible Thrust:8426 lb|P - Contact Pressure - Shaft:39016 psi|P' - Contact Pressure - Hub Bore:15374 psi|Weight:0.770 lb,,,Quantity:8 |Size:M6x18 |Tightening Torque:12.500 ft·lb,824184
,PL095X135AE,d - Shaft O.D.:3.740 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:5.315 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:1.102 in|L:1.693 in|Lt:2.087 in|T1:0.217 in|T2:0.157 in|D1:5.709 in|Transmissible Torque:6719 ft·lb|Transmissible Thrust:43340 lb|P - Contact Pressure - Shaft:38726 psi|P' - Contact Pressure - Hub Bore:21901 psi|Weight:4.900 lb,,,Quantity:14 |Size:M10x25 |Tightening Torque:60.000 ft·lb,824196
,40A39,Stock Bore Diameter:0.594 in|Style:A |No. Teeth:39 |Outside Diameter:6.490 in|Pitch Diameter:6.214 in|Caliper Diameter:5.896 in|Weight:2.020 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,,,824205
,PL040X065AD,d - Shaft O.D.:1.575 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.559 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:2.047 in|L:2.244 in|Lt:2.480 in|Transmissible Torque:1298 ft·lb|Transmissible Thrust:20007 lb|P - Contact Pressure - Shaft:20886 psi|P' - Contact Pressure - Hub Bore:12764 psi|Weight:1.800 lb,,,Quantity:11 |Size:M6x40 |Tightening Torque:12.500 ft·lb,824200
,PL065X095FL,d - Shaft O.D.:2.559 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:3.740 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:0.925 in|L:1.370 in|Lt:1.685 in|Transmissible Torque:2862 ft·lb|Transmissible Thrust:26751 lb|P - Contact Pressure - Shaft:40901 psi|P' - Contact Pressure - Hub Bore:22916 psi|Weight:2.100 lb,,,Quantity:9 |Size:M8x22 |Tightening Torque:30.000 ft·lb,824172
,PL085X125FL,d - Shaft O.D.:3.346 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:4.921 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|Transmissible Torque:5942 ft·lb|Transmissible Thrust:42712 lb|P - Contact Pressure - Shaft:40611 psi|P' - Contact Pressure - Hub Bore:23206 psi|Weight:4.400 lb,,,Quantity:9 |Size:M10x25 |Tightening Torque:60.000 ft·lb,824176
,80A18,Stock Bore Diameter:0.938 in|Style:A |No. Teeth:18 |Outside Diameter:6.270 in|Pitch Diameter:5.759 in|Caliper Diameter:5.134 in|Weight:3.700 lb|Tooth Nominal Width:0.575 in|Hardened Teeth :Yes ,Pitch:1.000 in|Chain Size:80 ,,,824209
,PL038X065AE,d - Shaft O.D.:1.496 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.559 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.807 in|L:1.224 in|Lt:1.461 in|T1:0.142 in|T2:0.118 in|D1:2.874 in|Transmissible Torque:658 ft·lb|Transmissible Thrust:10538 lb|P - Contact Pressure - Shaft:33069 psi|P' - Contact Pressure - Hub Bore:15084 psi|Weight:1.060 lb,,,Quantity:10 |Size:M6x18 |Tightening Torque:12.500 ft·lb,824188
,80H10,ANSI No.:80 |Strand:Tenfold |Pitch:1.000 in|L1:6.494 in|L2:6.597 in|D:0.312 in|R:0.625 in|W:0.625 in|h:0.819 in|H:0.949 in|C:1.283 in|T:0.156 in|Average Tensile Strength:209000 lb|Approx. Weight:20.630 lb/ft,,,,824337
http://chains.ustsubaki.com/ImgMedium/a2158.jpg,CS-C3,Chain Number:RS160 - RS240 ,,,,824816
,PL065X073EF,d - Shaft O.D.:2.559 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:2.874 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.063 in|L2:1.339 in|L3:0.591 in|L4:0.138 in|Lt:2.244 in|D1:3.150 in|D2:3.583 in|D3:4.173 in|Transmissible Torque:2117 ft·lb|Transmissible Thrust:19895 lb|P - Contact Pressure - Shaft:29153 psi|P' - Contact Pressure - Hub Bore:25962 psi|Weight:2.400 lb,,,Quantity:8 |Size:M8x40 |Tightening Torque:25.500 ft·lb,822895
,PL070X110AE,d - Shaft O.D.:2.756 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.331 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|T1:0.177 in|T2:0.157 in|D1:4.724 in|Transmissible Torque:3540 ft·lb|Transmissible Thrust:30800 lb|P - Contact Pressure - Shaft:35825 psi|P' - Contact Pressure - Hub Bore:19145 psi|Weight:3.700 lb,,,Quantity:10 |Size:M10x25 |Tightening Torque:60.000 ft·lb,822907
,PL019X047AE,d - Shaft O.D.:0.748 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.850 in|t2 - Hub Counter ID Tolerance:+0.0013 in -0 |l:0.748 in|L:1.075 in|Lt:1.311 in|T1:0.098 in|T2:0.118 in|D1:2.087 in|Transmissible Torque:196 ft·lb|Transmissible Thrust:6314 lb|P - Contact Pressure - Shaft:41627 psi|P' - Contact Pressure - Hub Bore:13489 psi|Weight:0.620 lb,,,Quantity:6 |Size:M6x18 |Tightening Torque:12.500 ft·lb,822903
,PL048X055EF,d - Shaft O.D.:1.890 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.165 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:0.984 in|L2:1.240 in|L3:0.512 in|L4:0.118 in|Lt:2.067 in|D1:2.402 in|D2:2.835 in|D3:3.425 in|Transmissible Torque:1180 ft·lb|Transmissible Thrust:14904 lb|P - Contact Pressure - Shaft:33069 psi|P' - Contact Pressure - Hub Bore:28863 psi|Weight:1.500 lb,,,Quantity:6 |Size:M8x35 |Tightening Torque:25.500 ft·lb,822891
,PL150X200AE,d - Shaft O.D.:5.906 in|t1 - Shaft Dia. Tolerance:-0.0025 in +0 |D - Hub Counter I.D.:7.874 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.496 in|L:2.283 in|Lt:2.756 in|T1:0.315 in|T2:0.236 in|D1:8.465 in|Transmissible Torque:19914 ft·lb|Transmissible Thrust:80960 lb|P - Contact Pressure - Shaft:32054 psi|P' - Contact Pressure - Hub Bore:20306 psi|Weight:12.800 lb,,,Quantity:18 |Size:M12x35 |Tightening Torque:105.000 ft·lb,822915
,DK007FNFN-1,,,,,824079
,PL022X026EF,d - Shaft O.D.:0.866 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:1.024 in|t2 - Hub Counter ID Tolerance:+0.0013 in -0 |l:0.630 in|L2:0.787 in|L3:0.276 in|L4:0.079 in|Lt:1.260 in|D1:1.181 in|D2:1.496 in|D3:1.890 in|Transmissible Torque:137 ft·lb|Transmissible Thrust:3844 lb|P - Contact Pressure - Shaft:31619 psi|P' - Contact Pressure - Hub Bore:26687 psi|Weight:0.260 lb,,,Quantity:4 |Size:M5x20 |Tightening Torque:6 ft·lb,824119
,PL2FL,d - Shaft O.D.:2.000 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:3.150 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:0.925 in|L:|Lt:1.685 in|Transmissible Torque:1740 ft·lb|Transmissible Thrust:20884 lb|P - Contact Pressure - Shaft:39016 psi|P' - Contact Pressure - Hub Bore:21176 psi|Weight:1.800 lb,,,Quantity:7 |Size:M8x22 |Tightening Torque:30.000 ft·lb,824139
,PL032X036EF,d - Shaft O.D.:1.260 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:1.417 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.630 in|L2:0.827 in|L3:0.354 in|L4:0.098 in|Lt:1.378 in|D1:1.614 in|D2:1.929 in|D3:2.323 in|Transmissible Torque:304 ft·lb|Transmissible Thrust:5755 lb|P - Contact Pressure - Shaft:32489 psi|P' - Contact Pressure - Hub Bore:29008 psi|Weight:0.440 lb,,,Quantity:6 |Size:M5x25 |Tightening Torque:6 ft·lb,824123
,PL060X090FL,d - Shaft O.D.:2.362 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:3.543 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:0.925 in|L:1.370 in|Lt:1.685 in|Transmissible Torque:2348 ft·lb|Transmissible Thrust:23829 lb|P - Contact Pressure - Shaft:39451 psi|P' - Contact Pressure - Hub Bore:21466 psi|Weight:2.000 lb,,,Quantity:8 |Size:M8x22 |Tightening Torque:30.000 ft·lb,824171
,40A37,Stock Bore Diameter:0.594 in|Style:A |No. Teeth:37 |Outside Diameter:6.180 in|Pitch Diameter:5.896 in|Caliper Diameter:5.578 in|Weight:1.920 lb|Tooth Nominal Width:0.284 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:40 ,,,824204
,PL019X047FL,d - Shaft O.D.:0.748 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.850 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.748 in|L:1.075 in|Lt:1.311 in|Transmissible Torque:201 ft·lb|Transmissible Thrust:6452 lb|P - Contact Pressure - Shaft:40321 psi|P' - Contact Pressure - Hub Bore:13779 psi|Weight:0.600 lb,,,Quantity:4 |Size:M6x18 |Tightening Torque:12.500 ft·lb,824155
,PL4AE,d - Shaft O.D.:4.000 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:5.709 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.339 in|L2:1.339 in|L:1.732 in|Lt:1.969 in|T1:0.236 in|T2:0.157 in|D1:6.102 in|Transmissible Torque:7691 ft·lb|Transmissible Thrust:45980 lb|P - Contact Pressure - Shaft:30986 psi|P' - Contact Pressure - Hub Bore:17910 psi|Weight:6.700 lb,,,Quantity:15 |Size:M10x25 |Tightening Torque:60.000 ft·lb,824111
,PL035X060AD,d - Shaft O.D.:1.378 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.362 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.772 in|L:1.969 in|Lt:2.205 in|Transmissible Torque:1011 ft·lb|Transmissible Thrust:18209 lb|P - Contact Pressure - Shaft:24947 psi|P' - Contact Pressure - Hub Bore:14649 psi|Weight:1.500 lb,,,Quantity:10 |Size:M6x35 |Tightening Torque:12.500 ft·lb,824199
,PL100X145FL,d - Shaft O.D.:3.937 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:5.709 in|t2 - Hub Counter ID Tolerance:+0.0025 in -0 |l:1.339 in|L:1.969 in|Lt:2.362 in|Transmissible Torque:9321 ft·lb|Transmissible Thrust:56874 lb|P - Contact Pressure - Shaft:38581 psi|P' - Contact Pressure - Hub Bore:21901 psi|Weight:6.700 lb,,,Quantity:12 |Size:M10x25 |Tightening Torque:60.000 ft·lb,824179
,80A44,Stock Bore Diameter:1.250 in|Style:A |No. Teeth:44 |Outside Diameter:14.580 in|Pitch Diameter:14.018 in|Caliper Diameter:13.393 in|Weight:24.300 lb|Tooth Nominal Width:0.575 in|Hardened Teeth :Yes ,Pitch:1.000 in|Chain Size:80 ,,,824212
,41B17F-1,Hub Diameter:2.234 in|LTB:1.000 in|Style:B |No. Teeth:17 |Finished Bore Diameter:1.000 in|Max. Bore:1.000 in|Weight:1.000 lb|Tooth Nominal Width:0.227 in|Hardened Teeth :Yes ,Pitch:0.500 in|Chain Size:41 ,Outside Diameter:2.970 in|Pitch Diameter:2.721 in|Caliper Diameter:2.403 in,,824220
,60A47,Stock Bore Diameter:0.938 in|Style:A |No. Teeth:47 |Outside Diameter:11.650 in|Pitch Diameter:11.229 in|Caliper Diameter:10.754 in|Weight:12.320 lb|Tooth Nominal Width:0.459 in|Hardened Teeth :Yes ,Pitch:0.750 in|Chain Size:60 ,,,824208
,PL035X060FL,d - Shaft O.D.:1.378 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:2.362 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:0.807 in|L:1.217 in|Lt:1.453 in|Transmissible Torque:648 ft·lb|Transmissible Thrust:11307 lb|P - Contact Pressure - Shaft:37855 psi|P' - Contact Pressure - Hub Bore:17405 psi|Weight:0.900 lb,,,Quantity:7 |Size:M6x18 |Tightening Torque:12.500 ft·lb,824163
,PL080X120AE,d - Shaft O.D.:3.150 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.724 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|T1:0.177 in|T2:0.157 in|D1:5.118 in|Transmissible Torque:4846 ft·lb|Transmissible Thrust:36960 lb|P - Contact Pressure - Shaft:37710 psi|P' - Contact Pressure - Hub Bore:21031 psi|Weight:4.200 lb,,,Quantity:12 |Size:M10x25 |Tightening Torque:60.000 ft·lb,824195
,PL080X120FL,d - Shaft O.D.:3.150 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.724 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|Transmissible Torque:4971 ft·lb|Transmissible Thrust:37766 lb|P - Contact Pressure - Shaft:38291 psi|P' - Contact Pressure - Hub Bore:21466 psi|Weight:4.100 lb,,,Quantity:8 |Size:M10x25 |Tightening Torque:60.000 ft·lb,824175
http://chains.ustsubaki.com/ImgMedium/Gripper-Chain.jpg,RS08BNPKUTMCL,ISO Ref.:08B-1 |Connecting Link:RS08BNPKUTMCL |Pitch:0.500 in 12.7 mm|Roller Diameter:0.335 in 8.51 mm|Inside Width:0.305 in 7.75 mm|Clamp Type:Type M |Clamping Force:50 N|Base Chain Material:NP |Clamp Material:SS |Spring Material:SA ,,,,824803
http://chains.ustsubaki.com/ImgMedium/Gripper-Chain.jpg,RS08BNPKUTSCL,ISO Ref.:08B-1 |Connecting Link:RS08BNPKUTSCL |Pitch:0.500 in 12.7 mm|Roller Diameter:0.335 in 8.51 mm|Inside Width:0.305 in 7.75 mm|Clamp Type:Standard |Clamping Force:55 N|Base Chain Material:NP |Clamp Material:SS |Spring Material:SS ,,,,824807
http://chains.ustsubaki.com/ImgMedium/a1831.jpg,R2-2,Pitch:6.000 in|W - Width Between Inner Link Plates:1.142 in|Average Tensile Strength - VJ Series:48500 lb|Approx. Weight:5.380 lb/ft,,,,825164
http://chains.ustsubaki.com/ImgMedium/e142.jpg,160TL3,"Weight:42.000 lb|Use Bushing:4545 |D:8.750 in|P:8.750 in|L:4.500 in|T:1.500 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. ",,,,389886
http://chains.ustsubaki.com/ImgMedium/e142.jpg,60TL1,"Weight:1.500 lb|Use Bushing:2012 |D:3.625 in|P:3.438 in|L:1.250 in|T:0.438 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. ",,,,389922
http://chains.ustsubaki.com/ImgMedium/a1630.jpg,W35,Type :W |For Use with Bushing:3535 |Max. Bore of Bushing:1.188 in|A:6.750 in|B:3.500 in|C:1.250 in|D:1.000 in|F:0.375 in|G:6.250 in|H:5.938 in|J:5.000 in|K:6.000 in|Weight:15.000 lb,,,,389918
http://chains.ustsubaki.com/ImgMedium/a1633.jpg,160FW,Type :B |Weight:14.000 lb|Use Bushing:F |D:7.000 in|P:6.625 in|L:2.500 in|T:1.094 in,,,,389950
http://chains.ustsubaki.com/ImgMedium/e142.jpg,120TL2,"Weight:4.200 lb|Use Bushing:3020 |D:5.250 in|P:5.000 in|L:2.000 in|T:0.875 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. ",,,,389946
http://chains.ustsubaki.com/ImgMedium/a1633.jpg,40SKW,Type :B |Weight:2.400 lb|Use Bushing:SK |D:4.250 in|P:3.875 in|L:1.250 in|T:0.250 in,,,,390027
http://chains.ustsubaki.com/ImgMedium/a1633.jpg,60SDSW,Type :B |Weight:1.000 lb|Use Bushing:SDS |D:3.500 in|P:3.125 in|L:0.750 in|T:0.438 in,,,,389966
,PL1K,d - Shaft O.D.:1.000 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.688 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |D1 - O.D. of KE:1.875 in|Lt:1.181 in|L:0.984 in|L2:0.813 in|l:0.591 in|Transmissible Torque:257 ft·lb|Transmissible Thrust:5836 lb|P - Shaft Contact Pressure:30894 psi|P1 - Hub Bore Contact Pressure:18275 psi|Qty. Locking Bolts:8 |Size Locking Bolts:M5 x 20 |Tightening Torque:7.500 ft·lb|Weight:0.350 lb,,,,390330
,PL2K,d - Shaft O.D.:2.000 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:2.875 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |D1 - O.D. of KE:3.063 in|Lt:1.594 in|L:1.358 in|L2:1.125 in|l:0.748 in|Transmissible Torque:1180 ft·lb|Transmissible Thrust:13382 lb|P - Shaft Contact Pressure:27848 psi|P1 - Hub Bore Contact Pressure:19435 psi|Qty. Locking Bolts:13 |Size Locking Bolts:M6 x 25 |Tightening Torque:12.500 ft·lb|Weight:1.120 lb,,,,390491
http://chains.ustsubaki.com/ImgMedium/AL-Series-Leaf-chain.jpg,AL1066,P - Pitch:1.250 in|Lacing:6x6 |Min. Tensile Strength:66000 lb|S - Hole Diameter:0.377 in|Approx. Weight:5.310 lb/ft,,,,391243
http://chains.ustsubaki.com/ImgMedium/BL-Series-Leaf-chain.jpg,BL1223,Lacing:2x3 |P - Pitch:1.500 in|Min. Tensile Strength:41800 lb|ASME/ANSI Min. Tensile Strength:34000 lb|S - Hole Diameter:0.502 in|Approx. Weight:4.390 lb/ft,,,,391528
http://chains.ustsubaki.com/ImgMedium/a1630.jpg,W16,Type :W |For Use with Bushing:1615 |Max. Bore of Bushing:0.500 in|A:3.250 in|B:1.500 in|C:0.375 in|D:0.625 in|F:0.375 in|G:2.875 in|H:2.750 in|J:2.375 in|K:3.000 in|Weight:1.500 lb,,,,389913
http://chains.ustsubaki.com/ImgMedium/a1633.jpg,40SDSW,Type :B |Weight:1.000 lb|Use Bushing:SDS |D:3.500 in|P:3.125 in|L:0.750 in|T:0.250 in,,,,389969
http://chains.ustsubaki.com/ImgMedium/e142.jpg,120TL1,"Weight:2.600 lb|Use Bushing:2517 |D:4.250 in|P:4.000 in|L:1.750 in|T:0.875 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. ",,,,389957
http://chains.ustsubaki.com/ImgMedium/e142.jpg,160TL2,"Weight:12.600 lb|Use Bushing:3535 |D:6.500 in|P:6.250 in|L:3.500 in|T:1.125 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. ",,,,389949
http://chains.ustsubaki.com/ImgMedium/e142.jpg,100TL1,"Weight:2.700 lb|Use Bushing:2517 |D:4.250 in|P:4.125 in|L:1.750 in|T:0.688 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. ",,,,389953
