id,catalog_number,locking_bolts
824198,PL020X047AD,Quantity:6 |Size:M6x28 |Tightening Torque:12.500 ft·lb
824194,PL075X115AE,Quantity:10 |Size:M10x25 |Tightening Torque:60.000 ft·lb
824162,PL032X060FL,Quantity:7 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824166,PL042X075FL,Quantity:6 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824186,PL032X060AE,Quantity:10 |Size:M6x18 |Tightening Torque:12.500 ft·lb
390171,PL3F,Quantity:8 |Size:M10x25 |Tightening Torque:60.000 ft·lb
390367,PL2AD,Quantity:9 |Size:M8x50 |Tightening Torque:30.000 ft·lb
390628,PL1F,Quantity:5 |Size:M6x18 |Tightening Torque:12.500 ft·lb
822889,PL040X045EF,Quantity:6 |Size:M6x28 |Tightening Torque:10.000 ft·lb
822881,PL010X013EF,Quantity:3 |Size:M4x16 |Tightening Torque:3.000 ft·lb
822917,PL024X050AD,Quantity:8 |Size:M6x30 |Tightening Torque:12.500 ft·lb
822893,PL055X062EF,Quantity:6 |Size:M8x35 |Tightening Torque:25.500 ft·lb
824161,PL030X055FL,Quantity:6 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824125,PL042X048EF,Quantity:8 |Size:M6x28 |Tightening Torque:10.000 ft·lb
824185,PL030X055AE,Quantity:8 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824165,PL040X065FL,Quantity:9 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824193,PL065X095AE,Quantity:12 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824173,PL070X110FL,Quantity:7 |Size:M10x25 |Tightening Torque:60.000 ft·lb
822918,PL025X050AD,Quantity:8 |Size:M6x30 |Tightening Torque:12.500 ft·lb
822922,PL038X065AD,Quantity:11 |Size:M6x40 |Tightening Torque:12.500 ft·lb
824174,PL075X115FL,Quantity:8 |Size:M10x25 |Tightening Torque:60.000 ft·lb
824190,PL045X075AE,Quantity:9 |Size:M8x22 |Tightening Torque:30.000 ft·lb
822912,PL120X165AE,Quantity:18 |Size:M10x25 |Tightening Torque:60.000 ft·lb
822888,PL038X044EF,Quantity:6 |Size:M6x28 |Tightening Torque:10.000 ft·lb
822892,PL050X057EF,Quantity:6 |Size:M8x35 |Tightening Torque:25.500 ft·lb
824156,PL020X047FL,Quantity:4 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824092,PL2AE,Quantity:10 |Size:M8x22 |Tightening Torque:30.000 ft·lb
822883,PL014X018EF,Quantity:4 |Size:M4x18 |Tightening Torque:3.000 ft·lb
822887,PL019X024EF,Quantity:4 |Size:M5x20 |Tightening Torque:6 ft·lb
824180,PL020X047AE,Quantity:6 |Size:M6x18 |Tightening Torque:12.500 ft·lb
822911,PL110X155AE,Quantity:15 |Size:M10x25 |Tightening Torque:60.000 ft·lb
822919,PL028X055AD,Quantity:8 |Size:M6x30 |Tightening Torque:12.500 ft·lb
824192,PL060X090AE,Quantity:10 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824152,PL4FL,Quantity:12 |Size:M10x25 |Tightening Torque:60.000 ft·lb
824187,PL035X060AE,Quantity:10 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824183,PL025X050AE,Quantity:7 |Size:M6x18 |Tightening Torque:12.500 ft·lb
824167,PL045X075FL,Quantity:6 |Size:M8x22 |Tightening Torque:30.000 ft·lb
824159,PL025X050FL,Quantity:5 |Size:M6x18 |Tightening Torque:12.500 ft·lb
390166,PL3AD,Quantity:12 |Size:M10x70 |Tightening Torque:60.000 ft·lb
824124,PL035X040EF,Quantity:6 |Size:M5x25 |Tightening Torque:6 ft·lb
824120,PL024X028EF,Quantity:4 |Size:M5x20 |Tightening Torque:6 ft·lb
390414,PL1AD,Quantity:8 |Size:M6x30 |Tightening Torque:12.500 ft·lb
824191,PL050X080AE,Quantity:10 |Size:M8x22 |Tightening Torque:30.000 ft·lb
