id,catalog_number,img_url
864424,CBLAB001,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/image%20NA_0.gif
1357578,SXIPM-AGA-1,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/SXIPM-XXXXXX_lg.jpg
1357646,BT-6601-VZ,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/BT6000-lg_0.jpg
1357513,VT-MODEM-1WW,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/VT_MODEM_m.gif
1284959,G3MPI000,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/G3MPI-200.gif
1357483,EB-5ES-PSE-1,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/EB-5ES-PSE_1_0.jpg
1358096,ANT-PD58-32,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/ant-pd58-32.jpg
1357429,EB-PD-24V-1,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/EB-PD-24V-1_0.jpg
1357653,BT-6801-BM,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/BT6000-lg_0.jpg
1358194,508FX2-A-SC,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/508FX2_SC_1.jpg
1357853,EB-16DO24-D,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/EtherTRAK2_4.jpg
1357289,RJ45-DB9F-CBL,http://www.redlion.net/sites/default/files/styles/uc_product_full/public
1357813,E2-16AI20M-D,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/EtherTRAK2_4.jpg
1357510,105FXE-ST-15,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/105FX_1.jpg
864475,ZRL0256A,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/ZR%20Product%20Image_1.gif
1358123,EB-16ISO20M-D,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/EtherTRAK2_4.jpg
1357512,105FXE-ST-15-MDR,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/105FX_1.jpg
1358321,716FXE2-SC-15-HV,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/716FX2-SC_1.jpg
286738,PSA2B000,http://www.redlion.net/sites/default/files/styles/uc_product_full/public/media/psa2b-200_0.gif
