id,catalog_number,key1,key2,description
2931287,4873.028.101.020h16,FCN20K,FCN,Ringspann 4873.028.101.020h16 FCN20K CLUTCH BEARING
2931286,4873.025.701.000001,ZZ172RS,ZZ,Ringspann 4873.025.701.000001 ZZ172RS CLUTCH BEARING WITH RUBBER SEALS
2931285,4873.025.102.000001,ZZ6203PP,ZZ,Ringspann 4873.025.102.000001 ZZ6203PP CLUTCH BEARING KEYED ID AND OD
2931284,4873.025.101.000001,ZZ6203P,ZZ,Ringspann 4873.025.101.000001 ZZ6203P CLUTCH BEARING KEYED ID
2931283,4873.024.702.000000,ZZ6203,ZZ,Ringspann 4873.024.702.000000 ZZ6203 CLUTCH BEARING
2931282,4873.023.101.015h12,FCN15R,FCN,Ringspann 4873.023.101.015h12 FCN15R ROLLER-RAMP TYPE CLUTCH
2931281,4873.022.701.000001,ZZ152RS,ZZ,Ringspann 4873.022.701.000001 ZZ152RS CLUTCH BEARING WITH RUBBER SEALS
2931280,4873.022.102.000001,ZZ6202PP,ZZ,Ringspann 4873.022.102.000001 ZZ6202PP CLUTCH BEARING KEYED ID AND OD
2931279,4873.022.101.000001,ZZ6202P,ZZ,Ringspann 4873.022.101.000001 ZZ6202P CLUTCH BEARING KEYED ID
2931278,4873.021.702.000000,ZZ6202,ZZ,Ringspann 4873.021.702.000000 ZZ6202 CLUTCH BEARING
2931277,4873.019.701.000001,ZZ122RS,ZZ,Ringspann 4873.019.701.000001 ZZ122RS CLUTCH BEARING WITH RUBBER SEALS
2931276,4873.019.101.012h18,FCN12R,FCN,Ringspann 4873.019.101.012h18 FCN12R ROLLER-RAMP TYOE CLUTCH
2931275,4873.016.101.010h14,FCN10R,FCN,Ringspann 4873.016.101.010h14 FCN10R ROLLER-RAMP TYPE CLUTCH
2931274,4873.013.101.008h10,FCN8R,FCN,Ringspann 4873.013.101.008h10 FCN8R ROLLER-RAMP TYPE CLUTCH
2931273,4871.107.101.080h31,FCN80R,FCN,Ringspann 4871.107.101.080h31 FCN80R ROLLER-RAMP TYPE CLUTCH
2931272,4871.105.002.000000,FD105CFR,FD,Ringspann 4871.105.002.000000 FD105CFR CAM CLUTCH
2931271,4871.105.001.000000,FD105CFP,FD,Ringspann 4871.105.001.000000 FD105CFP CAM CLUTCH
2931270,4871.105.000.000000,FD105CFH,FD,Ringspann 4871.105.000.000000 FD105CFH CAM CLUTCH
2931269,4871.082.101.060h23,FCN60R,FCN,Ringspann 4871.082.101.060h23 FCN60R ROLLER-RAMP TYPE CLUTCH
2931268,4871.080.109.060h23,FCN60CF,FCN,Ringspann 4871.080.109.060h23 FCN60CF CAM CLUTCH
2931267,4871.080.002.000000,FD80CFR,FD,Ringspann 4871.080.002.000000 FD80CFR CAM CLUTCH
2931266,4871.080.001.000000,FD80CFP,FD,Ringspann 4871.080.001.000000 FD80CFP CAM CLUTCH
2931265,4871.080.000.000000,FD80CFH,FD,Ringspann 4871.080.000.000000 FD80CFH CAM CLUTCH
2931264,4871.072.101.055h24,FCN55CF,FCN,Ringspann 4871.072.101.055h24 FCN55CF CAM CLUTCH
2931263,4871.065.103.050h21,FCN50R,FCN,Ringspann 4871.065.103.050h21 FCN50R ROLLER-RAMP TYPE CLUTCH
2931262,4871.065.101.050h21,FCN50CF,FCN,Ringspann 4871.065.101.050h21 FCN50CF CAM CLUTCH
2931261,4871.065.002.000000,FD65CFR,FD,Ringspann 4871.065.002.000000 FD65CFR CAM CLUTCH
2931260,4871.065.001.000000,FD65CFP,FD,Ringspann 4871.065.001.000000 FD65CFP CAM CLUTCH
2931259,4871.065.000.000000,FD65CFH,FD,Ringspann 4871.065.000.000000 FD65CFH CAM CLUTCH
2931258,4871.062.101.045h21,FCN45CF,FCN,Ringspann 4871.062.101.045h21 FCN45CF CAM CLUTCH
2931257,4871.060.101.045h21,FCN45R,FCN,Ringspann 4871.060.101.045h21 FCN45R ROLLER RAMP TYPE CLUTCH
2931256,4871.057.101.040h22,FCN40CF,FCN,Ringspann 4871.057.101.040h22 FCN40CF CAM CLUTCH
2931255,4871.055.101.040h22,FCN40R,FCN,Ringspann 4871.055.101.040h22 FCN40R ROLLER-RAMP TYPE CLUTCH
2931254,4871.050.111.035h24,FCN35R,FCN,Ringspann 4871.050.111.035h24 FCN35R ROLLER-RAMP TYPE CLUTCH
2931253,4871.050.110.035h24,FCN35CF,FCN,Ringspann 4871.050.110.035h24 FCN35CF CAM CLUTCH
2931252,4871.050.002.000000,FD50CFR,FD,Ringspann 4871.050.002.000000 FD50CFR CAM CLUTCH
2931251,4871.050.001.000000,FD50CFP,FD,Ringspann 4871.050.001.000000 FD50CFP CAM CLUTCH
2931250,4871.050.000.000000,FD50CFH,FD,Ringspann 4871.050.000.000000 FD50CFH CAM CLUTCH
2931249,4871.040.002.000000,FD40CFR,FD,Ringspann 4871.040.002.000000 FD40CFR CAM CLUTCH
2931248,4871.040.001.000000,FD40CFP,FD,Ringspann 4871.040.001.000000 FD40CFP CAM CLUTCH
2931247,4871.040.000.000000,FD40CFH,FD,Ringspann 4871.040.000.000000 FD40CFH CAM CLUTCH
2931246,4871.039.101.030h20,FCN30R,FCN,Ringspann 4871.039.101.030h20 FCN30R ROLLER-RAMP TYPE CLUTCH
2931245,4871.030.002.000000,FD30CFR,FD,Ringspann 4871.030.002.000000 FD30CFR CAM CLUTCH
2931244,4871.030.001.000000,FD30CFP,FD,Ringspann 4871.030.001.000000 FD30CFP CAM CLUTCH
2931243,4871.030.000.000000,FD30CFH,FD,Ringspann 4871.030.000.000000 FD30CFH CAM CLUTCH
2931242,4871.025.002.000000,FD25CFR,FD,Ringspann 4871.025.002.000000 FD25CFR CAM CLUTCH
2931241,4871.025.001.000000,FD25CFP,FD,Ringspann 4871.025.001.000000 FD25CFP CAM CLUTCH
2931240,4871.025.000.000000,FD25CFH,FD,Ringspann 4871.025.000.000000 FD25CFH CAM CLUTCH
2931239,4871.020.002.000000,FD20CFR,FD,Ringspann 4871.020.002.000000 FD20CFR CAM CLUTCH
2931238,4871.020.001.000000,FD20CFP,FD,Ringspann 4871.020.001.000000 FD20CFP CAM CLUTCH
2931237,4871.020.000.000000,FD20CFH,FD,Ringspann 4871.020.000.000000 FD20CFH CAM CLUTCH
2931236,4871.015.002.000000,FD15CFR,FD,Ringspann 4871.015.002.000000 FD15CFR CAM CLUTCH
2931235,4871.015.001.000000,FD15CFP,FD,Ringspann 4871.015.001.000000 FD15CFP CAM CLUTCH
