id,catalog_number,factors
5114068,NU2340EMA,Reference Thermal Speed Rating (Grease):900 |Reference Thermal Speed Rating (Oil):990 |Cg - Geometry Factor:0.1657 
5114912,232/710KYMDW33W916AC3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.97 |Y1 - ISO Factor:2.93 |Y2 - ISO Factor:1.93 |Reference Thermal Speed Rating (Grease):140 |Reference Thermal Speed Rating (Oil):150 |Cg - Geometry Factor:0.1305 
5115110,NU232EMA,Reference Thermal Speed Rating (Grease):1900 |Reference Thermal Speed Rating (Oil):2200 |Cg - Geometry Factor:0.1135 
5115150,NUP2216EMA,Reference Thermal Speed Rating (Grease):2600 |Reference Thermal Speed Rating (Oil):3100 |Cg - Geometry Factor:0.0846 
5115622,NU218EMA,Reference Thermal Speed Rating (Grease):3300 |Reference Thermal Speed Rating (Oil):3900 |Cg - Geometry Factor:0.0851 
5116030,NU2318EMA,Reference Thermal Speed Rating (Grease):2600 |Reference Thermal Speed Rating (Oil):3000 |Cg - Geometry Factor:0.1044 
5115149,NU2216EMA,Reference Thermal Speed Rating (Grease):2900 |Reference Thermal Speed Rating (Oil):3400 |Cg - Geometry Factor:0.0846 
5116005,NU1038MA,Reference Thermal Speed Rating (Grease):2000 |Reference Thermal Speed Rating (Oil):2400 |Cg - Geometry Factor:0.1137 
5116081,NU2320EMA,Reference Thermal Speed Rating (Grease):2200 |Reference Thermal Speed Rating (Oil):2500 |Cg - Geometry Factor:0.1163 
5116031,NU2322EMA,Reference Thermal Speed Rating (Grease):1900 |Reference Thermal Speed Rating (Oil):2200 |Cg - Geometry Factor:0.1268 
5116105,NU1032MA,Reference Thermal Speed Rating (Grease):2400 |Reference Thermal Speed Rating (Oil):3000 |Cg - Geometry Factor:0.1187 
5116068,NU222EMA,Reference Thermal Speed Rating (Grease):2800 |Reference Thermal Speed Rating (Oil):3300 |Cg - Geometry Factor:0.1026 
5116078,NU230EMA,Reference Thermal Speed Rating (Grease):2000 |Reference Thermal Speed Rating (Oil):2400 |Cg - Geometry Factor:0.1076 
5116097,NU2224EMA,Reference Thermal Speed Rating (Grease):2200 |Reference Thermal Speed Rating (Oil):2500 |Cg - Geometry Factor:0.1196 
5116102,NU318EMA,Reference Thermal Speed Rating (Grease):3200 |Reference Thermal Speed Rating (Oil):3700 |Cg - Geometry Factor:0.0944 
5116075,NU220EMA,Reference Thermal Speed Rating (Grease):3000 |Reference Thermal Speed Rating (Oil):3500 |Cg - Geometry Factor:0.0948 
5115153,NU2324EMA,Reference Thermal Speed Rating (Grease):1700 |Reference Thermal Speed Rating (Oil):2000 |Cg - Geometry Factor:0.1341 
5116088,NJ2320EMA,Reference Thermal Speed Rating (Grease):2200 |Reference Thermal Speed Rating (Oil):2500 |Cg - Geometry Factor:0.1163 
5116114,NU226EMA,Reference Thermal Speed Rating (Grease):2400 |Reference Thermal Speed Rating (Oil):2800 |Cg - Geometry Factor:0.113 
5116150,NU320EMA,Reference Thermal Speed Rating (Grease):2900 |Reference Thermal Speed Rating (Oil):3300 |Cg - Geometry Factor:0.1025 
5116093,NU2226EMA,Reference Thermal Speed Rating (Grease):2000 |Reference Thermal Speed Rating (Oil):2300 |Cg - Geometry Factor:0.1273 
5116161,6316-2RS-C3,Grease Reference Speed:5200 rpm|Oil Reference Speed:7500 rpm
5116162,6315-2RS-C3,Grease Reference Speed:5400 rpm|Oil Reference Speed:7800 rpm
5116155,NU2328EMA,Reference Thermal Speed Rating (Grease):1400 |Reference Thermal Speed Rating (Oil):1600 |Cg - Geometry Factor:0.1277 
5116166,6308-NR-C3,Grease Reference Speed:8500 rpm|Oil Reference Speed:12000 rpm
5116170,6214-2RS-C3,Grease Reference Speed:5700 rpm|Oil Reference Speed:8300 rpm
5116174,6011-ZZ-C3,Grease Reference Speed:7800 rpm|Oil Reference Speed:11000 rpm
5116109,NU326EMA,Reference Thermal Speed Rating (Grease):2000 |Reference Thermal Speed Rating (Oil):2300 |Cg - Geometry Factor:0.1065 
5116104,NJ318EMA,Reference Thermal Speed Rating (Grease):3200 |Reference Thermal Speed Rating (Oil):3700 |Cg - Geometry Factor:0.0944 
5116175,6011-2RS-C3,Grease Reference Speed:7800 rpm|Oil Reference Speed:11000 rpm
5116159,6318-ZZ-C3,Grease Reference Speed:4800 rpm|Oil Reference Speed:6900 rpm
5116178,6317-2RS-C3,Grease Reference Speed:5000 rpm|Oil Reference Speed:7200 rpm
5116181,NU228EMA,Reference Thermal Speed Rating (Grease):2200 |Reference Thermal Speed Rating (Oil):2600 |Cg - Geometry Factor:0.1213 
5116211,NU224EMA,Reference Thermal Speed Rating (Grease):2600 |Reference Thermal Speed Rating (Oil):3000 |Cg - Geometry Factor:0.1089 
5116186,NU2220EMA,Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.1040 
5116190,NU2222EMA,Reference Thermal Speed Rating (Grease):2400 |Reference Thermal Speed Rating (Oil):2800 |Cg - Geometry Factor:0.1118 
5116177,6317-ZZ-C3,Grease Reference Speed:5000 rpm|Oil Reference Speed:7200 rpm
5116234,NU319EMA,Reference Thermal Speed Rating (Grease):3100 |Reference Thermal Speed Rating (Oil):3500 |Cg - Geometry Factor:0.099 
5116263,NU324EMA,Reference Thermal Speed Rating (Grease):2300 |Reference Thermal Speed Rating (Oil):2700 |Cg - Geometry Factor:0.1177 
5116168,6300-ZZ-C3,Grease Reference Speed:20000 rpm|Oil Reference Speed:29000 rpm
5116253,NU2316EMA,Reference Thermal Speed Rating (Grease):3000 |Reference Thermal Speed Rating (Oil):3400 |Cg - Geometry Factor:0.0956 
5116169,6300-2RS-C3,Grease Reference Speed:20000 rpm|Oil Reference Speed:29000 rpm
5116173,6012-2RS-C3,Grease Reference Speed:7200 rpm|Oil Reference Speed:10000 rpm
5116228,NU322EMA,Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2900 |Cg - Geometry Factor:0.1122363 
5116206,NU219EMA,Reference Thermal Speed Rating (Grease):3100 |Reference Thermal Speed Rating (Oil):3600 |Cg - Geometry Factor:0.0900 
5116250,6218-ZZ-C3,Grease Reference Speed:4800 rpm|Oil Reference Speed:6900 rpm
5116287,NU328EMA,Reference Thermal Speed Rating (Grease):1900 |Reference Thermal Speed Rating (Oil):2100 |Cg - Geometry Factor:0.112 
5116257,23084KYMBW906AC4,e - ISO Factor:0.22 |Y0 - ISO Factor:3.05 |Y1 - ISO Factor:4.54 |Y2 - ISO Factor:2.98 |Reference Thermal Speed Rating (Grease):620 |Reference Thermal Speed Rating (Oil):720 |Cg - Geometry Factor:0.0935 
5116215,NUP230EMA,Reference Thermal Speed Rating (Grease):1800 |Reference Thermal Speed Rating (Oil):2100 |Cg - Geometry Factor:0.1076 
5116303,NU2228EMA,Reference Thermal Speed Rating (Grease):1800 |Reference Thermal Speed Rating (Oil):2100 |Cg - Geometry Factor:0.1366 
5116290,NU2319EMA,Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):2800 |Cg - Geometry Factor:0.1095 
5116331,NU1024MA,Reference Thermal Speed Rating (Grease):2900 |Reference Thermal Speed Rating (Oil):3600 |Cg - Geometry Factor:0.0939 
5116334,NU2219EMA,Reference Thermal Speed Rating (Grease):2700 |Reference Thermal Speed Rating (Oil):3100 |Cg - Geometry Factor:0.0978 
5116368,22308EJW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116371,22308EJW841,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116347,22212EJW33C4,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):4400 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0551 
5116365,22209EJW33C4,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5500 |Reference Thermal Speed Rating (Oil):6800 |Cg - Geometry Factor:0.0462 
5116376,22209EJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5500 |Reference Thermal Speed Rating (Oil):6800 |Cg - Geometry Factor:0.0462 
5116377,22208EJW841,e - ISO Factor:0.27 |Y0 - ISO Factor:2.47 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):6000 |Reference Thermal Speed Rating (Oil):7500 |Cg - Geometry Factor:0.0439 
5116349,22212EJC3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):4400 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0551 
5116374,22212KEJW33C3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):4400 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0551 
5116387,22208EJW33C2,e - ISO Factor:0.27 |Y0 - ISO Factor:2.47 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):6000 |Reference Thermal Speed Rating (Oil):7500 |Cg - Geometry Factor:0.0439 
5116340,NU1030MA,Reference Thermal Speed Rating (Grease):2500 |Reference Thermal Speed Rating (Oil):3100 |Cg - Geometry Factor:0.1124 
5116383,22210EJW33C2,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):5000 |Reference Thermal Speed Rating (Oil):6200 |Cg - Geometry Factor:0.0486 
5116346,22212EJW33C5,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):4400 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0551 
5116393,22208KEJW33C3,e - ISO Factor:0.27 |Y0 - ISO Factor:2.47 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):6000 |Reference Thermal Speed Rating (Oil):7500 |Cg - Geometry Factor:0.0439 
5116406,22211EJW841C3,e - ISO Factor:0.23 |Y0 - ISO Factor:2.95 |Y1 - ISO Factor:4.4 |Y2 - ISO Factor:2.89 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5800 |Cg - Geometry Factor:0.052 
5116413,22207EJW841,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.29 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):6900 |Reference Thermal Speed Rating (Oil):8600 |Cg - Geometry Factor:0.041 
5116397,22308KEJW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116379,22209KEJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5500 |Reference Thermal Speed Rating (Oil):6800 |Cg - Geometry Factor:0.0462 
5116388,22208EJW33C3,e - ISO Factor:0.27 |Y0 - ISO Factor:2.47 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):6000 |Reference Thermal Speed Rating (Oil):7500 |Cg - Geometry Factor:0.0439 
5116411,22210KEJW33C3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):5000 |Reference Thermal Speed Rating (Oil):6200 |Cg - Geometry Factor:0.0486 
5116416,22212KEMW33C3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):4500 |Reference Thermal Speed Rating (Oil):5600 |Cg - Geometry Factor:0.0551 
5116389,22208EJW33C4,e - ISO Factor:0.27 |Y0 - ISO Factor:2.47 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):6000 |Reference Thermal Speed Rating (Oil):7500 |Cg - Geometry Factor:0.0439 
5116400,22207KEJW33C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.29 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):6900 |Reference Thermal Speed Rating (Oil):8600 |Cg - Geometry Factor:0.041 
5116402,22211EJW33C2,e - ISO Factor:0.23 |Y0 - ISO Factor:2.95 |Y1 - ISO Factor:4.4 |Y2 - ISO Factor:2.89 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5800 |Cg - Geometry Factor:0.052 
5116369,22308EJW33C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116404,22211EJW33C4,e - ISO Factor:0.23 |Y0 - ISO Factor:2.95 |Y1 - ISO Factor:4.4 |Y2 - ISO Factor:2.89 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5800 |Cg - Geometry Factor:0.052 
5116415,22310EJW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4600 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0549 
5116430,22207EMW33C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.29 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):7000 |Reference Thermal Speed Rating (Oil):8700 |Cg - Geometry Factor:0.041 
5116409,22211KEJW33C3,e - ISO Factor:0.23 |Y0 - ISO Factor:2.95 |Y1 - ISO Factor:4.4 |Y2 - ISO Factor:2.89 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5800 |Cg - Geometry Factor:0.052 
5116417,22310EJW33C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4600 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0549 
5116434,22309EJW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.9 |Y1 - ISO Factor:2.83 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):5100 |Reference Thermal Speed Rating (Oil):6100 |Cg - Geometry Factor:0.049 
5116385,22210EJW33C4,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):5000 |Reference Thermal Speed Rating (Oil):6200 |Cg - Geometry Factor:0.0486 
5116431,22209KEMW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6900 |Cg - Geometry Factor:0.0462 
5116366,22212EJW33C3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):4400 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0551 
5116423,309K,Limiting Speed (Grease):4140 rpm|Limiting Speed (Oil):4830 rpm
5116442,22308KEMW33W800C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116437,22310KEJW33C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4600 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0549 
5116457,22208KEMW33C3,e - ISO Factor:0.27 |Y0 - ISO Factor:2.47 |Y1 - ISO Factor:3.67 |Y2 - ISO Factor:2.41 |Reference Thermal Speed Rating (Grease):6100 |Reference Thermal Speed Rating (Oil):7600 |Cg - Geometry Factor:0.0439 
5116462,22310KEMW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5600 |Cg - Geometry Factor:0.0549 
5116448,22308EMW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116436,22310KEJW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4600 |Reference Thermal Speed Rating (Oil):5500 |Cg - Geometry Factor:0.0549 
5116439,22212EMW33C3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):4500 |Reference Thermal Speed Rating (Oil):5600 |Cg - Geometry Factor:0.0551 
5116440,22209EMW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6900 |Cg - Geometry Factor:0.0462 
5116446,22308KEMW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116466,22310EMW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5600 |Cg - Geometry Factor:0.0549 
5116412,22210KEJW33C4,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):5000 |Reference Thermal Speed Rating (Oil):6200 |Cg - Geometry Factor:0.0486 
5116458,22309KEMW33W800C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.9 |Y1 - ISO Factor:2.83 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):5100 |Reference Thermal Speed Rating (Oil):6100 |Cg - Geometry Factor:0.049 
5116471,22310EMW33W800C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5600 |Cg - Geometry Factor:0.0549 
5116465,22309EMW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.9 |Y1 - ISO Factor:2.83 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):5100 |Reference Thermal Speed Rating (Oil):6100 |Cg - Geometry Factor:0.049 
5116456,22210EMW33C3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):5100 |Reference Thermal Speed Rating (Oil):6300 |Cg - Geometry Factor:0.0486 
5116475,6017-C3,Grease Reference Speed:5400 rpm|Oil Reference Speed:7900 rpm
5116476,6020-ZZ-C3,Grease Reference Speed:4800 rpm|Oil Reference Speed:6900 rpm
5116459,22210KEMW33C3,e - ISO Factor:0.24 |Y0 - ISO Factor:2.84 |Y1 - ISO Factor:4.23 |Y2 - ISO Factor:2.78 |Reference Thermal Speed Rating (Grease):5100 |Reference Thermal Speed Rating (Oil):6300 |Cg - Geometry Factor:0.0486 
5116445,22309KEJW33C3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.9 |Y1 - ISO Factor:2.83 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):5100 |Reference Thermal Speed Rating (Oil):6100 |Cg - Geometry Factor:0.049 
5116473,22310EMW800C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5600 |Cg - Geometry Factor:0.0549 
5116449,22308EMW33W800C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.87 |Y1 - ISO Factor:2.79 |Y2 - ISO Factor:1.83 |Reference Thermal Speed Rating (Grease):5600 |Reference Thermal Speed Rating (Oil):6700 |Cg - Geometry Factor:0.0458 
5116474,6309-C4,Grease Reference Speed:7800 rpm|Oil Reference Speed:11000 rpm
5116496,21306EJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.6 |Y1 - ISO Factor:3.87 |Y2 - ISO Factor:2.54 |Reference Thermal Speed Rating (Grease):7200 |Reference Thermal Speed Rating (Oil):8900 |Cg - Geometry Factor:0.0405 
5116508,21307KEJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.56 |Y1 - ISO Factor:3.81 |Y2 - ISO Factor:2.5 |Reference Thermal Speed Rating (Grease):6400 |Reference Thermal Speed Rating (Oil):7900 |Cg - Geometry Factor:0.0441 
5116505,21309KEJW33C3,e - ISO Factor:0.25 |Y0 - ISO Factor:2.75 |Y1 - ISO Factor:4.09 |Y2 - ISO Factor:2.69 |Reference Thermal Speed Rating (Grease):5300 |Reference Thermal Speed Rating (Oil):6500 |Cg - Geometry Factor:0.0516 
5116463,22310KEMW33W800C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.89 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.85 |Reference Thermal Speed Rating (Grease):4700 |Reference Thermal Speed Rating (Oil):5600 |Cg - Geometry Factor:0.0549 
5116503,21309EJW33C3,e - ISO Factor:0.25 |Y0 - ISO Factor:2.75 |Y1 - ISO Factor:4.09 |Y2 - ISO Factor:2.69 |Reference Thermal Speed Rating (Grease):5300 |Reference Thermal Speed Rating (Oil):6500 |Cg - Geometry Factor:0.0516 
5116477,62302-2RS-C3,Grease Limiting Speed:19000 rpm
5116499,21305EJW33C3,e - ISO Factor:0.27 |Y0 - ISO Factor:2.48 |Y1 - ISO Factor:3.7 |Y2 - ISO Factor:2.43 |Reference Thermal Speed Rating (Grease):8100 |Reference Thermal Speed Rating (Oil):10100 |Cg - Geometry Factor:0.0367 
5116509,21305KEJW33C3,e - ISO Factor:0.27 |Y0 - ISO Factor:2.48 |Y1 - ISO Factor:3.7 |Y2 - ISO Factor:2.43 |Reference Thermal Speed Rating (Grease):8100 |Reference Thermal Speed Rating (Oil):10100 |Cg - Geometry Factor:0.0367 
5116468,22309EMW33W800C4,e - ISO Factor:0.36 |Y0 - ISO Factor:1.9 |Y1 - ISO Factor:2.83 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):5100 |Reference Thermal Speed Rating (Oil):6100 |Cg - Geometry Factor:0.049 
5116507,21307EJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.56 |Y1 - ISO Factor:3.81 |Y2 - ISO Factor:2.5 |Reference Thermal Speed Rating (Grease):6400 |Reference Thermal Speed Rating (Oil):7900 |Cg - Geometry Factor:0.0441 
5116513,21308KEJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5800 |Reference Thermal Speed Rating (Oil):7100 |Cg - Geometry Factor:0.0482 
5116497,21306KEJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.6 |Y1 - ISO Factor:3.87 |Y2 - ISO Factor:2.54 |Reference Thermal Speed Rating (Grease):7200 |Reference Thermal Speed Rating (Oil):8900 |Cg - Geometry Factor:0.0405 
5116553,231/500KYMBW33W45A,e - ISO Factor:0.3 |Y0 - ISO Factor:2.22 |Y1 - ISO Factor:3.3 |Y2 - ISO Factor:2.17 |Reference Thermal Speed Rating (Grease):330 |Reference Thermal Speed Rating (Oil):360 |Cg - Geometry Factor:0.1073 
5116556,230/950KYMBW507C08,e - ISO Factor:0.2 |Y0 - ISO Factor:3.42 |Y1 - ISO Factor:5.09 |Y2 - ISO Factor:3.34 |Reference Thermal Speed Rating (Grease):210 |Reference Thermal Speed Rating (Oil):240 |Cg - Geometry Factor:0.1484 
5116573,230/560YMBW507C08C4,e - ISO Factor:0.22 |Y0 - ISO Factor:3.14 |Y1 - ISO Factor:4.67 |Y2 - ISO Factor:3.07 |Reference Thermal Speed Rating (Grease):430 |Reference Thermal Speed Rating (Oil):490 |Cg - Geometry Factor:0.1119 
5116562,241/630KYMDW33W45A,e - ISO Factor:0.36 |Y0 - ISO Factor:1.88 |Y1 - ISO Factor:2.81 |Y2 - ISO Factor:1.84 |Reference Thermal Speed Rating (Grease):140 |Reference Thermal Speed Rating (Oil):140 |Cg - Geometry Factor:0.1235 
5116574,230/710YMBW507C08C4,e - ISO Factor:0.21 |Y0 - ISO Factor:3.26 |Y1 - ISO Factor:4.86 |Y2 - ISO Factor:3.19 |Reference Thermal Speed Rating (Grease):310 |Reference Thermal Speed Rating (Oil):350 |Cg - Geometry Factor:0.13 
5116531,6216-2RS-C3,Grease Reference Speed:5200 rpm|Oil Reference Speed:7500 rpm
5116605,22206EMW33C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.15 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.1 |Reference Thermal Speed Rating (Grease):7900 |Reference Thermal Speed Rating (Oil):9900 |Cg - Geometry Factor:0.0368 
5116511,21308EJW33C3,e - ISO Factor:0.26 |Y0 - ISO Factor:2.64 |Y1 - ISO Factor:3.93 |Y2 - ISO Factor:2.58 |Reference Thermal Speed Rating (Grease):5800 |Reference Thermal Speed Rating (Oil):7100 |Cg - Geometry Factor:0.0482 
5116600,22206KEJW33C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.15 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.1 |Reference Thermal Speed Rating (Grease):7800 |Reference Thermal Speed Rating (Oil):9700 |Cg - Geometry Factor:0.0368 
