id,catalog_number,specifications
5059663,1107KRS,Bore Size d:1 7/16 in 36.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Cylindrical OD |Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:1..KRS 
5059684,GRA115RRB2,Bore Size d:2 in 50.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.175 in 4.44 mm|Dimension B1:1.720 in 43.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5059668,G1107KRRB,Bore Size d:1 7/16 in 36.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.145 in 3.68 mm|Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059713,G1114KRRB,Bore Size d:1 7/8 in 47.6 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.185 in 4.7 mm|Dimension B1:2.469 in 62.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059666,G1107KPPB2,"Bore Size d:1 7/16 in 36.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.145 in 3.68 mm|Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KPPB2,3,4 "
5059703,G1106KPPB2,"Bore Size d:1 3/8 in 34.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.145 in 3.68 mm|Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KPPB2,3,4 "
5059682,GN106KRRB,Bore Size d:1 3/8 in 34.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.156 in 3.96 mm|Dimension B1:2.031 in 51.6 mm|Dimension B2:0.689 in 17.5 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GN..KRRB 
5059698,G1100KPPB3,"Bore Size d:1 in 25.4 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.142 in 3.61 mm|Dimension B1:1.748 in 44.4 mm|Dimension B2:0.531 in 13.5 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KPPB2,3,4 "
5059700,G1100KRRB,Bore Size d:1 in 25.4 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.152 in 3.86 mm|Dimension B1:1.748 in 44.4 mm|Dimension B2:0.531 in 13.5 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059702,1106KRRB,Bore Size d:1 3/8 in 34.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:1..KRRB 
5059762,RA010RRB,Bore Size d:5/8 in 15.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.126 in 28.6 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5059739,G1206KRRB,Bore Size d:2 3/8 in 60.3 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.202 in 5.13 mm|Dimension B1:3.063 in 77.8 mm|Dimension B2:0.874 in 22.2 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059705,GN207KLLB,Bore Size d:2 7/16 in 61.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Labyrinth Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.230 in 5.84 mm|Dimension B1:3.126 in 79.4 mm|Dimension B2:0.937 in 23.8 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GN..KLLB 
5059732,G1112KPPB4,"Bore Size d:1 3/4 in 44.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.55 mm|Dimension B1:2.220 in 56.4 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KPPB2,3,4 "
