id,catalog_number,specifications
5072965,23176YMBW507C08C3,Design Unit:METRIC |Bearing Weight:232.600 Kg 511.70 lb|Cage Type:YMB |UPC Code:087796312432 |Cage Material:BRASS 
5071123,GYAE20RRB,Bore Size d:0.787 in 20 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.120 in 3.05 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GYAE..RRB 
5072960,230/530KYMBW906AC3,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:302.600 Kg 665.70 lb|Cage Type:YMB |UPC Code:087796139909 |Cage Material:BRASS 
5073101,305K,Design Units:METRIC |Ball Type:Steel |Bearing Weight:0.236 Kg 0.52 lb
5071137,GYA110RRB,Bore Size d:1 5/8 in 41.3 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.54 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GYA..RRB 
5072929,HA318,d1:3 3/16 in 80.96 mm|L:65.00 mm|C:18.0 mm|G:M90x2 |D:120 mm|Locknut:KM18 |Lockwasher and Lockplates:MB18 |Appropriate Hydraulic Nut:HMV18 
5072959,230/530KYMBW906A,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:302.600 Kg 665.70 lb|Cage Type:YMB |UPC Code:087796197626 |Cage Material:BRASS 
5072937,SNP-3068 X 12 7/16,Series:230K |Diameter d :12  7/16 in|Bearing Number:23068K |SNW/SNP Assembly Weight:77.80 lb
5073025,220RU92BB1112R3,Design Units:METRIC |Bearing Weight:78.400 Kg 172.800 lb|Type:NU |Tapered Bore:N 
5073111,S8K,Design Units:Imperial |Ball Type:Steel |Bearing Weight:0.100 lb 0.000 Kg
5073200,RAE20RRB,Bore Size d:0.787 in 20 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.220 in 31 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RAE..RRB 
5072938,SNP-3068 X 12 1/2,Series:230K |Diameter d :12 1/2 in|Bearing Number:23068K |SNW/SNP Assembly Weight:77.80 lb
5073221,G1010KRRB,Bore Size d:5/8 in 15.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.107 in 2.72 mm|Dimension B1:1.469 in 37.3 mm|Dimension B2:0.531 in 13.5 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5073189,G1109KRRB,Bore Size d:1 9/16 in 39.7 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.160 in 4.06 mm|Dimension B1:2.220 in 56.4 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5072940,SNP-3072 X 13 7/16,Series:230K |Diameter d :13  7/16 in|Bearing Number:23072K |SNW/SNP Assembly Weight:86.20 lb
5073215,RA111RRB,Bore Size d:1 11/16 in 42.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.720 in 43.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5073213,GRA111RRB,Bore Size d:1 11/16 in 42.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.55 mm|Dimension B1:1.720 in 43.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5071163,GYM1108KRRB,Bore Size d:1 1/2 in 38.1 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.55 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GYM..KRRB 
5073300,2MM9114WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.604 Kg 1.33 lb|Design Units:METRIC |Precision Class:ISO P4S (ABEC 7/9) 
5073211,GN111KLLB,Bore Size d:1 11/16 in 42.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Labyrinth Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.197 in 5 mm|Dimension B1:2.311 in 58.7 mm|Dimension B2:0.811 in 20.6 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GN..KLLB 
5073210,RA110RRB,Bore Size d:1 5/8 in 41.3 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.720 in 43.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5073219,1010KRRB,Bore Size d:5/8 in 15.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.469 in 37.3 mm|Dimension B2:0.531 in 13.5 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:1..KRRB 
5073198,GRA008RRB,Bore Size d:1/2 in 12.7 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.107 in 2.72 mm|Dimension B1:1.126 in 28.6 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5073202,GRA014RRB,Bore Size d:7/8 in 22.2 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.142 in 3.61 mm|Dimension B1:1.220 in 31 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5073327,2MM9103WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.038 Kg 0.08 lb|Design Units:METRIC 
5073285,2MM211WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.608 Kg 1.340 lb|Design Units:METRIC |Precision Class:ISO P4S (ABEC 7/9) 
5073322,MM314K,Design Units:METRIC |Ball Type:Steel |Cage Type:CR - Phenolic Inner Land Riding Cage |Bearing Weight:2.486 Kg 5.48 lb|Precision Class:ISO P4S (ABEC 7/9) 
5072932,SNP-3064 X 11 7/16,Series:230K |Diameter d :11  7/16 in|Bearing Number:23064K |SNW/SNP Assembly Weight:65.70 lb
5073366,7217WN,"Ball Type:Steel |Cage Type:Ball Piloted, Pressed Brass Cage |Bearing Weight:2.096 Kg 4.62 lb|Design Units:METRIC "
5073376,219W,Design Units:METRIC |Ball Type:Steel |Bearing Weight:3.039 Kg 6.70 lb
5073522,LCJO1 1/2,Bore Size d:1 1/2 in 38.1 mm|Bearing Number:GN108KRRB |Dimension D:4.500 in 114.3 mm|Dimension E:2.394 in 60.8 mm|Inside Ring Outside Diameter:2.480 in 63 mm|Series:Medium-Duty |Weight:6.91 lb 3.133 Kg|Seal Type:Labyrinth Seal 
5073369,7219WN MBR,"Ball Type:Steel |Cage Type:Outer Ring Piloted, Machined Bronze Cage |Bearing Weight:3.025 Kg 6.67 lb|Design Units:METRIC "
5073362,7215WN,"Ball Type:Steel |Cage Type:Ball Piloted, Pressed Brass Cage |Bearing Weight:1.271 Kg 2.80 lb|Design Units:METRIC "
5073324,2MM9101WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.020 Kg 0.04 lb|Design Units:METRIC 
5074797,3199,Series:3100 |Cone Part Number:3199 |Design Units:Imperial |Cage Type:Stamped Steel 
5075671,230/850YMBW896AC2,Design Unit:METRIC |Bearing Weight:1048.000 Kg 2305.60 lb|Cage Type:YMB |UPC Code:087796140059 |Cage Material:BRASS 
5075134,3774,Series:3700 |Cone Part Number:3774 |Design Units:Imperial |Cage Type:Stamped Steel 
5075945,SNW-3124 X 4 3/16,Series:231K |Diameter d :4  3/16 in|Bearing Number:23124K |SNW/SNP Assembly Weight:5.80 lb
5074882,3476,Series:3400 |Cone Part Number:3476 |Design Units:Imperial |Cage Type:Stamped Steel 
5075960,230/630KYMBW507C08,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:477.200 Kg 1049.80 lb|Cage Type:YMB |UPC Code:087796188013 |Cage Material:BRASS 
5075944,HE3124,d1:4 1/4 in 107.95 mm|L:88.00 mm|C:22 mm|G:M120x2 |D:155 mm|Locknut:KM24 |Lockwasher and Lockplates:MB24 |Appropriate Hydraulic Nut:HMV24 
5075973,239/750KYMBW906AC3,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:405.700 Kg 892.60 lb|Cage Type:YMB |UPC Code:087796032477 |Cage Material:BRASS 
5075969,23268KYMBW906AC3,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:292.400 Kg 643.37 lb|Cage Type:YMB |UPC Code:087796191587 |Cage Material:BRASS 
5075963,23188KYMBW507C08C3,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:367.800 Kg 809.20 lb|Cage Type:YMB |UPC Code:087796312463 |Cage Material:BRASS 
5075135,3783,Series:3700 |Cone Part Number:3783 |Design Units:Imperial |Cage Type:Stamped Steel 
5075933,SNW-18 X 3 1/4,Series:222K |Diameter d :3 1/4 in|Bearing Number:22218K |SNW/SNP Assembly Weight:3.00 lb
5075967,23268KYMBW507C08C3,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:292.400 Kg 643.37 lb|Cage Type:YMB |UPC Code:087796312487 |Cage Material:BRASS 
5076130,308K,Design Units:METRIC |Ball Type:Steel |Bearing Weight:0.644 Kg 1.42 lb
5073183,GY1103KRRB3,Bore Size d:1 1/4 in 31.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.156 in 3.96 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:GY…KRRB 
5075972,239/750KYMBW906A,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:405.700 Kg 892.60 lb|Cage Type:YMB |UPC Code:087796032460 |Cage Material:BRASS 
5073214,GYA111RRB,Bore Size d:1 11/16 in 42.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.54 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GYA..RRB 
5076200,YA008RRB,Bore Size d:1/2 in 12.7 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:YA..RRB 
5075932,SNW-18 X 3 3/16,Series:222K |Diameter d :3  3/16 in|Bearing Number:22218K |SNW/SNP Assembly Weight:3.00 lb
5076201,RA014RRB,Bore Size d:7/8 in 22.2 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.220 in 31 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5076175,RCJ1 7/8,Bore Size d:1 7/8 in 47.6 mm|Bearing Number:G1114KRRB |Dimension D:4.437 in 112.7 mm|Dimension E:2.614 in 66.4 mm|Inside Ring Outside Diameter:2.728 in 69.3 mm|Series:Industrial |Weight:6.65 lb 3.016 Kg|Seal Type:Shroud Seal 
5075935,HA320,d1:3 7/16 in 87.31 mm|L:71.00 mm|C:20.0 mm|G:M100x2 |D:130 mm|Locknut:KM20 |Lockwasher and Lockplates:MB20 |Appropriate Hydraulic Nut:HMV20 
5076203,RA103RR2,Bore Size d:1 1/4 in 31.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Cylindrical OD |Dimension B1:1.406 in 35.7 mm|Dimension B2:0.626 in 15.9 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RR 
5073199,GYA008RRB,Bore Size d:1/2 in 12.7 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.107 in 2.72 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GYA..RRB 
5073204,GYA014RRB,Bore Size d:7/8 in 22.2 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.142 in 3.61 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GYA..RRB 
5076206,RA103RRB2,Bore Size d:1 1/4 in 31.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.406 in 35.7 mm|Dimension B2:0.626 in 15.9 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5075937,SNW-20 X 3 1/2,Series:222K |Diameter d :3 1/2 in|Bearing Number:22220K |SNW/SNP Assembly Weight:4.40 lb
5076228,GE25KPPB3,"Bore Size d:0.984 in 25 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.142 in 3.61 mm|Dimension B1:1.748 in 44.4 mm|Dimension B2:0.531 in 13.5 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:GE..KPPB,2,3,4 "
5076211,GRA112RRB,Bore Size d:1 3/4 in 44.5 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.55 mm|Dimension B1:1.720 in 43.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5076198,RA008RRB,Bore Size d:1/2 in 12.7 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.126 in 28.6 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5076232,1104KRRB,Bore Size d:1 1/4 in 31.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:1..KRRB 
5075936,SNW-20 X 3 7/16,Series:222K |Diameter d :3  7/16 in|Bearing Number:22220K |SNW/SNP Assembly Weight:4.40 lb
5075942,SNP-3084 X 15 3/4,Series:230K |Diameter d :15 3/4 in|Bearing Number:23084K |SNW/SNP Assembly Weight:110.00 lb
5075941,SNP-3080 X 15,Series:230K |Diameter d :15 in|Bearing Number:23080K |SNW/SNP Assembly Weight:100.00 lb
5076237,1110KRRB,Bore Size d:1 5/8 in 41.3 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:2.220 in 56.4 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:1..KRRB 
5075891,SNP-3196 X 18,Series:231K |Diameter d :18 in|Bearing Number:23196K |SNW/SNP Assembly Weight:293.00 lb
5076234,G1104KLLB,Bore Size d:1 1/4 in 31.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Labyrinth Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.135 in 3.43 mm|Dimension B1:2.016 in 51.2 mm|Dimension B2:0.687 in 17.46 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KLLB 
5076239,G1110KRRB,Bore Size d:1 5/8 in 41.3 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.179 in 4.55 mm|Dimension B1:2.220 in 56.4 mm|Dimension B2:0.720 in 18.3 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5076296,2MM9104WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.067 Kg 0.15 lb|Design Units:METRIC |Precision Class:ISO P4S (ABEC 7/9) 
5076241,G1202KRRB,Bore Size d:2 1/8 in 54 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.197 in 5 mm|Dimension B1:2.811 in 71.4 mm|Dimension B2:0.811 in 20.6 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5076277,2MM9108WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.187 Kg 0.41 lb|Design Units:METRIC |Precision Class:ISO P4S (ABEC 7/9) 
5076365,7220WN MBR,"Ball Type:Steel |Cage Type:Outer Ring Piloted, Machined Bronze Cage |Bearing Weight:3.460 Kg 7.62 lb|Design Units:METRIC "
5076287,2MM9115WI,Ball Type:Steel |Cage Type:CR - Phenolic Outer Land Riding Cage |Bearing Weight:0.638 Kg 1.41 lb|Design Units:METRIC |Precision Class:ISO P4S (ABEC 7/9) 
5076375,226W,Design Units:METRIC |Ball Type:Steel |Bearing Weight:7.627 Kg 16.800 lb
5076367,7222WN MBR,"Ball Type:Steel |Cage Type:Outer Ring Piloted, Machined Bronze Cage |Bearing Weight:5.162 Kg 11.38 lb|Design Units:METRIC "
5076921,OH3072H,d1:340.00 mm|L:188.00 mm|C:45.0 mm|G:Tr360x5 |D:420 mm|C:58.00 mm|Ro:M6 |Locknut:HM3072 |Lockwasher and Lockplates:MS3072 |Appropriate Hydraulic Nut:HMV72 
5076379,306W,Design Units:METRIC |Ball Type:Steel |Bearing Weight:0.386 Kg 0.85 lb
5076926,OH3152H,d1:240.00 mm|L:190.00 mm|C:39.0 mm|G:Tr260x4 |D:330 mm|Ro:M6 |Locknut:HM52T |Lockwasher and Lockplates:MB52 |Appropriate Hydraulic Nut:HMV52 
5076364,304W,Design Units:METRIC |Ball Type:Steel |Bearing Weight:0.154 Kg 0.34 lb
5076588,H322,d1:100.00 mm|L:77.00 mm|C:21.0 mm|G:M110x2 |D:145 mm|Locknut:KM22 |Lockwasher and Lockplates:MB22 |Appropriate Hydraulic Nut:HMV22 
5076384,307W,Design Units:METRIC |Ball Type:Steel |Bearing Weight:0.513 Kg 1.13 lb
5076922,OH3084H,d1:400.00 mm|L:212.00 mm|C:52.0 mm|G:Tr420x5 |D:490 mm|C:66.00 mm|Ro:M6 |Locknut:HM3084 |Lockwasher and Lockplates:MS3084 |Appropriate Hydraulic Nut:HMV84 
5076577,G1104KPPB2,"Bore Size d:1 1/4 in 31.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.145 in 3.68 mm|Dimension B1:2.016 in 51.2 mm|Dimension B2:0.673 in 17.1 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KPPB2,3,4 "
5076924,OH3280H,d1:380.00 mm|L:328.00 mm|C:62.0 mm|G:Tr400x5 |D:520 mm|C:82.00 mm|Ro:M6 |Locknut:HM3180 |Lockwasher and Lockplates:MS3180 |Appropriate Hydraulic Nut:HMV80 
5076918,OH3064H,d1:300.00 mm|L:171.00 mm|C:42.0 mm|G:Tr320x5 |D:380 mm|C:55.00 mm|Ro:M6 |Locknut:HM3064 |Lockwasher and Lockplates:MS3064 |Appropriate Hydraulic Nut:HMV64 
5076928,OH3160H,d1:280.00 mm|L:208.00 mm|C:40.0 mm|G:Tr300x4 |D:380 mm|C:53.00 mm|Ro:M6 |Locknut:HM3160 |Lockwasher and Lockplates:MS3160 |Appropriate Hydraulic Nut:HMV60 
5076919,OH3060H,d1:280.00 mm|L:168.00 mm|C:42.0 mm|G:Tr300x4 |D:360 mm|C:54.00 mm|Ro:M6 |Locknut:HM3060 |Lockwasher and Lockplates:MS3060 |Appropriate Hydraulic Nut:HMV60 
5076923,OH3164H,d1:300.00 mm|L:226.00 mm|C:42.0 mm|G:Tr320x5 |D:400 mm|C:56.00 mm|Ro:M6 |Locknut:HM3164 |Lockwasher and Lockplates:MS3164 |Appropriate Hydraulic Nut:HMV64 
5076938,H2330,d1:135.00 mm|L:139.00 mm|C:26.0 mm|G:M150x2 |D:195 mm|Locknut:KM30 |Lockwasher and Lockplates:MB30 |Appropriate Hydraulic Nut:HMV30 
5076927,OH3156H,d1:260.00 mm|L:195.00 mm|C:41.0 mm|G:Tr280x4 |D:350 mm|Ro:M6 |Locknut:HM56T |Lockwasher and Lockplates:MB56 |Appropriate Hydraulic Nut:HMV56 
5077000,239/500YMBW509C08C3,Design Unit:METRIC |Bearing Weight:125.700 Kg 276.50 lb|Cage Type:YMB |UPC Code:087796225794 |Cage Material:BRASS 
5076920,OH3056H,d1:260.00 mm|L:152.00 mm|C:38.0 mm|G:Tr280x4 |D:330 mm|C:50.00 mm|Ro:M6 |Locknut:HM3056 |Lockwasher and Lockplates:MS3056 |Appropriate Hydraulic Nut:HMV56 
5076929,OH3168H,d1:320.00 mm|L:254.00 mm|C:55.0 mm|G:Tr340x5 |D:440 mm|C:72.00 mm|Ro:M6 |Locknut:HM3168 |Lockwasher and Lockplates:MS3168 |Appropriate Hydraulic Nut:HMV68 
5077012,HA3130,d1:5 3/16 in 131.76 mm|L:111.00 mm|C:26.0 mm|G:M150x2 |D:195 mm|Locknut:KM30 |Lockwasher and Lockplates:MB30 |Appropriate Hydraulic Nut:HMV30 
5076997,294/630EM,UPC Code:87796018747 |Weight:1011.5 Kg 2230.1 lb
5077015,SNW-3134 X 5 15/16,Series:231K |Diameter d :5 15/16 in|Bearing Number:23134K |SNW/SNP Assembly Weight:16.10 lb
5077004,SNW-22 X 4,Series:222K |Diameter d :4 in|Bearing Number:22222K |SNW/SNP Assembly Weight:5.00 lb
5076930,OH3172H,d1:340.00 mm|L:259.00 mm|C:58.0 mm|G:Tr360x5 |D:460 mm|C:75.00 mm|Ro:M6 |Locknut:HM3172 |Lockwasher and Lockplates:MS3172 |Appropriate Hydraulic Nut:HMV72 
5077013,SNW-3130 X 5 3/16,Series:231K |Diameter d :5  3/16 in|Bearing Number:23130K |SNW/SNP Assembly Weight:13.70 lb
5076949,23088KYMBW906AC2,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:180.000 Kg 396.00 lb|Cage Type:YMB |UPC Code:087796246157 |Cage Material:BRASS 
5076966,DV-37,Diameter S-1:2 7/16 in|Assembly Standout B:59/64 in|Pillow Block Housing Number 500:515 |Pillow Block Housing Number 600:615 |V-Ring Seal:V-60-A |O-Ring:2-228 |End Plug:EPS-4 
5077001,240/530YMBW33W45AC3,Design Unit:METRIC |Bearing Weight:408.000 Kg 897.60 lb|Cage Type:YMB |UPC Code:087796225848 |Cage Material:BRASS 
5076925,OH3144H,d1:200.00 mm|L:161.00 mm|C:35.0 mm|G:Tr220x4 |D:280 mm|Ro:M6 |Locknut:HM44T |Lockwasher and Lockplates:MB44 |Appropriate Hydraulic Nut:HMV44 
5077010,SNW-3126 X 4 7/16,Series:231K |Diameter d :4  7/16 in|Bearing Number:23126K |SNW/SNP Assembly Weight:8.30 lb
5077027,23096YMBW507C08C3,Design Unit:METRIC |Bearing Weight:215.000 Kg 473.00 lb|Cage Type:YMB |UPC Code:087796139831 |Cage Material:BRASS 
5077033,230/560YMBW509C08C2,Design Unit:METRIC |Bearing Weight:349.100 Kg 768.00 lb|Cage Type:YMB |UPC Code:087796187955 |Cage Material:BRASS 
5077037,230/560YMBW509AC08,Design Unit:METRIC |Bearing Weight:349.100 Kg 768.00 lb|Cage Type:YMB |UPC Code:087796258822 |Cage Material:BRASS 
5077036,230/560YMBW507C08C3,Design Unit:METRIC |Bearing Weight:349.100 Kg 768.00 lb|Cage Type:YMB |UPC Code:087796187948 |Cage Material:BRASS 
5077051,231/530KYMBW906A,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:650.600 Kg 1431.30 lb|Cage Type:YMB |UPC Code:087796161269 |Cage Material:BRASS 
5077035,230/560YMBW507C08,Design Unit:METRIC |Bearing Weight:349.100 Kg 768.00 lb|Cage Type:YMB |UPC Code:087796029309 |Cage Material:BRASS 
5077032,230/560YMBW509C08,Design Unit:METRIC |Bearing Weight:349.100 Kg 768.00 lb|Cage Type:YMB |UPC Code:087796187962 |Cage Material:BRASS 
5077014,HA3132,d1:5 7/16 in 138.11 mm|L:119.00 mm|C:28.0 mm|G:M160x3 |D:210 mm|Locknut:KM32 |Lockwasher and Lockplates:MB32 |Appropriate Hydraulic Nut:HMV32 
5077053,231/530KYMBW37W906AC3,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:650.600 Kg 1431.30 lb|Cage Type:YMB |UPC Code:087796030695 |Cage Material:BRASS 
5077054,231/530KYMBW37W906AC4,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:650.600 Kg 1431.30 lb|Cage Type:YMB |UPC Code:087796197879 |Cage Material:BRASS 
5077050,23188KYMBW25DW906A,Design Unit:METRIC |Bore Taper:1/12 |Bearing Weight:367.800 Kg 809.20 lb|Cage Type:YMB |UPC Code:087796223875 |Cage Material:BRASS 
