id,catalog_number,basic_load_ratings
5116676,22216KEJW33C3,C0 - Static Radial Rating:278000 N 62500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):254000 N 57200 lbf
5116667,22316EJW33C2,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116686,22316EMW33W800C4,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116669,22316EJW33C4,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116682,22311EMW33C7,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116662,231/530YMBW33W45AC3,C0 - Static Radial Rating:15100000 N 3400000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):8530000 N 1920000 lbf
5116688,22312EJW33C3,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116683,22312EMW33W800C4,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116675,22216KEJW33C2,C0 - Static Radial Rating:278000 N 62500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):254000 N 57200 lbf
5116690,22312KEJW33C3,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116679,22212EMC3,C0 - Static Radial Rating:164000 N 36900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):163000 N 36600 lbf
5116677,22216KEJW33C4,C0 - Static Radial Rating:278000 N 62500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):254000 N 57200 lbf
5116685,22222KEMW33C3,C0 - Static Radial Rating:653000 N 147000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):555000 N 125000 lbf
5116681,22311EMW33C3,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116691,22216KEMW33C3,C0 - Static Radial Rating:263000 N 59200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):245000 N 55100 lbf
5116663,NU3068EMA,C0 - Static Radial Rating:4280000 N 962000 lbf|C - Dynamic Radial Rating:2550000 N 573000 lbf
5116699,22312KEMW33C4,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116702,22311KEJW33C3,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116687,22311EMW33W800C4,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116693,22312KEMW33W800C4,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116703,22311KEJW33C4,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116698,22312KEMW33C3,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116678,22309EMW22C4,C0 - Static Radial Rating:169000 N 37900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):180000 N 40500 lbf
5116709,22316EJW33W22C2,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116700,22316KEMW33C3,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116716,22312EMW33C7,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116723,22312EMW33W21AC3,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116710,22311KEMW33W22C3,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116719,22311KEMW33W800C4,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116715,22312EMW33C3,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116707,22316KEMW33W800C4,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116711,22311KEMW33W22C4,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116721,22222EMW33C3,C0 - Static Radial Rating:653000 N 147000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):555000 N 125000 lbf
5116726,22316EMW33W22C2,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116713,22216EMW33C3,C0 - Static Radial Rating:263000 N 59200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):245000 N 55100 lbf
5116732,22311EMW800C4,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116735,21313EJW33C3,C0 - Static Radial Rating:254000 N 57100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):259000 N 58200 lbf
5116744,22211EMC3,C0 - Static Radial Rating:134000 N 30100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):134000 N 30100 lbf
5116727,NU2232EMA,C0 - Static Radial Rating:1210000 N 272000 lbf|C - Dynamic Radial Rating:919000 N 207000 lbf
5116708,22311KEMW33C3,C0 - Static Radial Rating:265000 N 59500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):266000 N 59800 lbf
5116743,22212EJW841C3,C0 - Static Radial Rating:174000 N 39000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):169000 N 38100 lbf
5116748,23022EJW33C3,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):391000 N 88000 lbf
5116752,22219KEMW33C3,C0 - Static Radial Rating:441000 N 99000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):385000 N 86600 lbf
5116740,22310EMW22C2,C0 - Static Radial Rating:225000 N 50600 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):227000 N 51000 lbf
5116738,21313KEJW33C3,C0 - Static Radial Rating:254000 N 57100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):259000 N 58200 lbf
5116706,22312EMW98C4,C0 - Static Radial Rating:307000 N 69000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):306000 N 68800 lbf
5116718,22316EMW33C3,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116751,23022KEJW33C3,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):391000 N 88000 lbf
5116725,22222KEJW33C3,C0 - Static Radial Rating:653000 N 147000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):555000 N 125000 lbf
5116749,23022EJW33C4,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):391000 N 88000 lbf
5116668,22316EJW33C3,C0 - Static Radial Rating:534000 N 120000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):499000 N 112000 lbf
5116768,23120KEJW33C3,C0 - Static Radial Rating:583000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):446000 N 100000 lbf
5116760,22219KEJW33C4,C0 - Static Radial Rating:441000 N 99000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):385000 N 86600 lbf
5116736,22206EJNW49P6AC6,C0 - Static Radial Rating:60800 N 13700 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):67400 N 15200 lbf
5116770,23120KEMW33C3,C0 - Static Radial Rating:583000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):446000 N 100000 lbf
5116766,23120EJW33C3,C0 - Static Radial Rating:583000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):446000 N 100000 lbf
5116759,22219KEJW33C3,C0 - Static Radial Rating:441000 N 99000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):385000 N 86600 lbf
5116756,22219EJW33C3,C0 - Static Radial Rating:441000 N 99000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):385000 N 86600 lbf
5116773,23120EMW33C4,C0 - Static Radial Rating:583000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):446000 N 100000 lbf
5116781,6001-RS-C3,Cr - Dynamic Load Rating:5.1 kN|C0r - Static Load Rating:2.4 kN
5116772,23120EMW33C3,C0 - Static Radial Rating:583000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):446000 N 100000 lbf
5116775,22218EMW33C3,C0 - Static Radial Rating:388000 N 87200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):355000 N 79700 lbf
5116780,22215KEJW33C4,C0 - Static Radial Rating:240000 N 54100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):222000 N 49900 lbf
5116793,22213KEJW33C3,C0 - Static Radial Rating:216000 N 48600 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):206000 N 46400 lbf
5116787,22217KEJW33C4,C0 - Static Radial Rating:320000 N 71900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):297000 N 66900 lbf
5116795,22220KEJW33C2,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116807,22218KEJW33C4,C0 - Static Radial Rating:388000 N 87200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):355000 N 79700 lbf
5116774,23084KYMBW915C08,C0 - Static Radial Rating:6360000 N 1430000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):3450000 N 774000 lbf
5116789,22218KEMW33C3,C0 - Static Radial Rating:388000 N 87200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):355000 N 79700 lbf
5116791,23024KEJW33C3,C0 - Static Radial Rating:574000 N 129000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):408000 N 91700 lbf
5116786,22217KEJW33C3,C0 - Static Radial Rating:320000 N 71900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):297000 N 66900 lbf
5116809,23024EJW841C3,C0 - Static Radial Rating:574000 N 129000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):408000 N 91700 lbf
5116796,22220KEJW33C3,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116797,22220KEJW33C4,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116801,22217EMW33C3,C0 - Static Radial Rating:302000 N 67900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):286000 N 64200 lbf
5116817,22214KEJW33C3,C0 - Static Radial Rating:231000 N 52000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):213000 N 47800 lbf
5116799,22218EMW33W800C4,C0 - Static Radial Rating:388000 N 87200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):355000 N 79700 lbf
5116811,22213KEMW33C3,C0 - Static Radial Rating:204000 N 45900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):198000 N 44600 lbf
5116784,22215EJW841C3,C0 - Static Radial Rating:240000 N 54100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):222000 N 49900 lbf
5116779,22215KEJW33C3,C0 - Static Radial Rating:240000 N 54100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):222000 N 49900 lbf
5116814,22220EJW33C4,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116804,22217KEMW33C3,C0 - Static Radial Rating:302000 N 67900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):286000 N 64200 lbf
5116819,22220KEMW33C3,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116763,22219EMW33C3,C0 - Static Radial Rating:441000 N 99000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):385000 N 86600 lbf
5116826,22220EMW33C3,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116822,22213EMW33C3,C0 - Static Radial Rating:204000 N 45900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):198000 N 44600 lbf
5116823,22214EMC3,C0 - Static Radial Rating:219000 N 49200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):205000 N 46000 lbf
5116827,22314EMW800C4,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116833,24022EJW841C3,C0 - Static Radial Rating:706000 N 159000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):493000 N 111000 lbf
5116829,22314EMW33C3,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116831,24022EJW33C3,C0 - Static Radial Rating:706000 N 159000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):493000 N 111000 lbf
5116838,22314EJW33C3,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116832,24022EJW33C4,C0 - Static Radial Rating:706000 N 159000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):493000 N 111000 lbf
5116820,22220KEMW33C4,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116824,22220EMW22C3,C0 - Static Radial Rating:502000 N 113000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):435000 N 97700 lbf
5116830,22314EMW33W800C4,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116843,22314KEJW33C3,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116835,24020EJW33C3,C0 - Static Radial Rating:506000 N 114000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):352000 N 79100 lbf
5116836,24020EJW33C4,C0 - Static Radial Rating:506000 N 114000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):352000 N 79100 lbf
5116847,22314KEMW33C3,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116806,22218KEJW33C3,C0 - Static Radial Rating:388000 N 87200 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):355000 N 79700 lbf
5116854,24026EJW33C4,C0 - Static Radial Rating:966000 N 217000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):664000 N 149000 lbf
5116839,22314EJW33C4,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116855,24026EJW33W89C4,C0 - Static Radial Rating:966000 N 217000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):664000 N 149000 lbf
5116840,NU2330EMA,C0 - Static Radial Rating:1620000 N 364000 lbf|C - Dynamic Radial Rating:1330000 N 299000 lbf
5116861,24026KEJW33C4,C0 - Static Radial Rating:966000 N 217000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):664000 N 149000 lbf
5116860,24026KEJW33C3,C0 - Static Radial Rating:966000 N 217000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):664000 N 149000 lbf
5116853,24026EJW33C3,C0 - Static Radial Rating:966000 N 217000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):664000 N 149000 lbf
5116845,NU2236EMA,C0 - Static Radial Rating:1520000 N 342000 lbf|C - Dynamic Radial Rating:1140000 N 256000 lbf
5116844,24020EJW841C3,C0 - Static Radial Rating:506000 N 114000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):352000 N 79100 lbf
5116848,22314KEMW33W800C4,C0 - Static Radial Rating:414000 N 93100 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):395000 N 88800 lbf
5116865,22213EMC3,C0 - Static Radial Rating:204000 N 45900 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):198000 N 44600 lbf
5116857,NU2234EMA,C0 - Static Radial Rating:1420000 N 319000 lbf|C - Dynamic Radial Rating:1100000 N 247000 lbf
5116879,24122EJW33C4,C0 - Static Radial Rating:811000 N 182000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):595000 N 134000 lbf
5116871,21314EJW33C3,C0 - Static Radial Rating:289000 N 65000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):292000 N 65600 lbf
5116890,21317KEJW33C3,C0 - Static Radial Rating:407000 N 91500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):403000 N 90600 lbf
5116862,NU2344EMA,C0 - Static Radial Rating:3130000 N 704000 lbf|C - Dynamic Radial Rating:2550000 N 573000 lbf
5116884,21316KEJW33C3,C0 - Static Radial Rating:363000 N 81700 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):363000 N 81700 lbf
5116867,21316EJW33C3,C0 - Static Radial Rating:363000 N 81700 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):363000 N 81700 lbf
5116887,21317EJW33C3,C0 - Static Radial Rating:407000 N 91500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):403000 N 90600 lbf
5116896,22318KEMW33W800C4,C0 - Static Radial Rating:659000 N 148000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):606000 N 136000 lbf
5116868,21316EJW33C4,C0 - Static Radial Rating:363000 N 81700 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):363000 N 81700 lbf
5116898,23222EJW33C4,C0 - Static Radial Rating:887000 N 199000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):710000 N 160000 lbf
5116882,24122KEJW33C3,C0 - Static Radial Rating:811000 N 182000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):595000 N 134000 lbf
5116876,21314KEJW33C3,C0 - Static Radial Rating:289000 N 65000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):292000 N 65600 lbf
5116893,22318EMW33C3,C0 - Static Radial Rating:659000 N 148000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):606000 N 136000 lbf
5116864,22213EJW841C4,C0 - Static Radial Rating:216000 N 48600 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):206000 N 46400 lbf
5116895,22318EMW33W800C4,C0 - Static Radial Rating:659000 N 148000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):606000 N 136000 lbf
5116906,23218KEMW33C3,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116902,23218EJW33W25C3,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116900,23218EJW33C3,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116856,24026EJW841C3,C0 - Static Radial Rating:966000 N 217000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):664000 N 149000 lbf
5116908,23218EJW33C4,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116894,22318KEMW33C3,C0 - Static Radial Rating:659000 N 148000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):606000 N 136000 lbf
5116897,23222EJW33C3,C0 - Static Radial Rating:887000 N 199000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):710000 N 160000 lbf
5116878,24122EJW33C3,C0 - Static Radial Rating:811000 N 182000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):595000 N 134000 lbf
5116903,22318EMW810C4,C0 - Static Radial Rating:659000 N 148000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):606000 N 136000 lbf
5116910,23222KEJW33C3,C0 - Static Radial Rating:887000 N 199000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):710000 N 160000 lbf
5116918,23222KEMW33C3,C0 - Static Radial Rating:887000 N 199000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):710000 N 160000 lbf
5116914,23222EMW33C4,C0 - Static Radial Rating:887000 N 199000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):710000 N 160000 lbf
5116912,23222EMW33C2,C0 - Static Radial Rating:887000 N 199000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):710000 N 160000 lbf
5116907,23218KEMW33C4,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116916,23218KEJW33C3,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116923,6211-RS-C3,Cr - Dynamic Load Rating:43.4 kN|C0r - Static Load Rating:29.2 kN
5116913,23222EMW33C3,C0 - Static Radial Rating:887000 N 199000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):710000 N 160000 lbf
5116919,23218EMW33C3,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116920,23218EMW33C4,C0 - Static Radial Rating:521000 N 117000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):436000 N 98000 lbf
5116937,23124EJW33C3,C0 - Static Radial Rating:816000 N 183000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):621000 N 140000 lbf
5116932,24124EJW33C3,C0 - Static Radial Rating:1080000 N 242000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):778000 N 175000 lbf
5116921,62308-2RS-C3,Cr - Dynamic Load Rating:41 kN|C0r - Static Load Rating:24 kN
5116935,24124EJW841C3,C0 - Static Radial Rating:1080000 N 242000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):778000 N 175000 lbf
5116922,6212-RS-C3,Cr - Dynamic Load Rating:47.8 kN|C0r - Static Load Rating:32.9 kN
5116938,23124EJW33C4,C0 - Static Radial Rating:816000 N 183000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):621000 N 140000 lbf
5116940,24124KEJW33C2,C0 - Static Radial Rating:1080000 N 242000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):778000 N 175000 lbf
5116950,23124KEMW33C3,C0 - Static Radial Rating:816000 N 183000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):621000 N 140000 lbf
5116924,6218-Z-C3,Cr - Dynamic Load Rating:96 kN|C0r - Static Load Rating:71.5 kN
5116930,23926EMW20C3,C0 - Static Radial Rating:453000 N 102000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):302000 N 67900 lbf
5116944,23124KEJW33C3,C0 - Static Radial Rating:816000 N 183000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):621000 N 140000 lbf
5116933,24124EJW33C4,C0 - Static Radial Rating:1080000 N 242000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):778000 N 175000 lbf
5116955,23124EMW33C4,C0 - Static Radial Rating:816000 N 183000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):621000 N 140000 lbf
5116964,22319KEMW33C3,C0 - Static Radial Rating:725000 N 163000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):663000 N 149000 lbf
5116960,23220KEMW33C3,C0 - Static Radial Rating:678000 N 152000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):554000 N 124000 lbf
5116952,23220EMW33C3,C0 - Static Radial Rating:678000 N 152000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):554000 N 124000 lbf
5116963,22319EMW33C4,C0 - Static Radial Rating:725000 N 163000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):663000 N 149000 lbf
5116965,23318EMW33W800C4,C0 - Static Radial Rating:672000 N 151000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):623000 N 140000 lbf
5116962,22319EMW33C3,C0 - Static Radial Rating:725000 N 163000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):663000 N 149000 lbf
5116973,23220EJW33C3,C0 - Static Radial Rating:678000 N 152000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):554000 N 124000 lbf
5116986,21311EJW33C3,C0 - Static Radial Rating:176000 N 39500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):188000 N 42400 lbf
5116985,24024EJW33C4,C0 - Static Radial Rating:762000 N 171000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):523000 N 117000 lbf
5116991,22317EJW33C3,C0 - Static Radial Rating:584000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):543000 N 122000 lbf
5117005,22317KEMW33C3,C0 - Static Radial Rating:584000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):543000 N 122000 lbf
5116925,6220-Z-C3,Cr - Dynamic Load Rating:122 kN|C0r - Static Load Rating:92.7 kN
5116996,23220EJW98C3,C0 - Static Radial Rating:678000 N 152000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):554000 N 124000 lbf
5117006,22317KEMW33W800C4,C0 - Static Radial Rating:584000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):543000 N 122000 lbf
5116993,21311KEJW33C3,C0 - Static Radial Rating:176000 N 39500 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):188000 N 42400 lbf
5116954,23124EMW33C3,C0 - Static Radial Rating:816000 N 183000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):621000 N 140000 lbf
5117013,22317EMW33W800C4,C0 - Static Radial Rating:584000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):543000 N 122000 lbf
5117007,22317EMW33S2C4,C0 - Static Radial Rating:584000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):543000 N 122000 lbf
5117014,22317EMW800C4,C0 - Static Radial Rating:584000 N 131000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):543000 N 122000 lbf
5116984,24024EJW33C3,C0 - Static Radial Rating:762000 N 171000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):523000 N 117000 lbf
5117000,23220KEJW33C3,C0 - Static Radial Rating:678000 N 152000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):554000 N 124000 lbf
5117008,22315KEMW33W800C4,C0 - Static Radial Rating:478000 N 107000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):450000 N 101000 lbf
5117017,22315EMW33W800C4,C0 - Static Radial Rating:478000 N 107000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):450000 N 101000 lbf
5116998,21318KEJW33C3,C0 - Static Radial Rating:449000 N 101000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):442000 N 99400 lbf
5117010,22315EMW22C2,C0 - Static Radial Rating:478000 N 107000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):450000 N 101000 lbf
5116982,23220EJW33C4,C0 - Static Radial Rating:678000 N 152000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):554000 N 124000 lbf
5117012,22315EMW33C3,C0 - Static Radial Rating:478000 N 107000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):450000 N 101000 lbf
