id,catalog_number,basic_load_ratings
5059747,GN108KLLB,Static Load Rating:5500 lbf 24500 N|Dynamic Load Rating:11000 lbf 49000 N
5059737,GE60KRRB,Static Load Rating:8000 lbf 35600 N|Dynamic Load Rating:13200 lbf 58800 N
5059779,GE20KRRB,Static Load Rating:1400 lbf 6200 N|Dynamic Load Rating:3200 lbf 14300 N
5059731,G1112KLLB,Static Load Rating:4500 lbf 20000 N|Dynamic Load Rating:8160 lbf 36300 N
5059740,GRA107RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5059772,RA115RRB2,Static Load Rating:5100 lbf 22700 N|Dynamic Load Rating:8800 lbf 39200 N
5059791,G1102KPPB3,Static Load Rating:2500 lbf 11100 N|Dynamic Load Rating:4900 lbf 21800 N
5059639,GYM1203KRRB,Static Load Rating:8000 lbf 35600 N|Dynamic Load Rating:13200 lbf 58800 N
5059793,G1102KRRB,Static Load Rating:2500 lbf 11100 N|Dynamic Load Rating:4900 lbf 21800 N
5059799,RA012RRB,Static Load Rating:1400 lbf 6200 N|Dynamic Load Rating:3200 lbf 14300 N
5059775,GRAE50RRB,Static Load Rating:5100 lbf 22700 N|Dynamic Load Rating:8800 lbf 39200 N
5059653,GYE70KRRB,Static Load Rating:8500 lbf 37500 N|Dynamic Load Rating:15600 lbf 69500 N
5059820,RA203RRB,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:10800 lbf 48000 N
5059650,GY1211KRRB,Static Load Rating:8500 lbf 37500 N|Dynamic Load Rating:15600 lbf 69500 N
5059817,GRA203RRB,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:10800 lbf 48000 N
5059801,GE30KPPB3,Static Load Rating:2500 lbf 11100 N|Dynamic Load Rating:4900 lbf 21800 N
5059810,G1207KRRB,Static Load Rating:8000 lbf 35600 N|Dynamic Load Rating:13200 lbf 58800 N
5059843,YA100RRB,Static Load Rating:1730 lbf 7700 N|Dynamic Load Rating:3550 lbf 15800 N
5059815,GN203KLLB,Static Load Rating:9300 lbf 41500 N|Dynamic Load Rating:18000 lbf 80000 N
5059829,RA100RRB,Static Load Rating:1730 lbf 7700 N|Dynamic Load Rating:3550 lbf 15800 N
