id,catalog_number,abutment_and_fillet_dimensions
5059335,7320WN MBR,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.098 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.098 in|da - Inner Ring Backing Diameter:143.130 mm 5.635 in|Da - Outer Ring Backing Diameter:174.500 mm 6.870 in"
5059319,311W,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:65.000 mm 2.560 in|Da - Outer Ring Backing Diameter:110.000 mm 4.330 in"
5059322,312K,"R - Inner Ring ""To Clear"" Radius:2.110 mm 0.083 in|r - Outer Ring ""To Clear"" Radius:2.110 mm 0.083 in|da - Inner Ring Backing Diameter:72.100 mm 2.840 in|Da - Outer Ring Backing Diameter:118.100 mm 4.650 in"
5059332,7318WN,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.118 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.118 in|da - Inner Ring Backing Diameter:103.900 mm 4.090 in|Da - Outer Ring Backing Diameter:176.000 mm 6.930 in"
5059345,2MM200WI,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:14.900 mm 0.590 in|Da - Outer Ring Backing Diameter:26.000 mm 1.030 in"
5059501,2MM216WI,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:90.600 mm 3.570 in|Da - Outer Ring Backing Diameter:129.900 mm 5.120 in"
5060008,2MM9112WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:67.300 mm 2.650 in|Da - Outer Ring Backing Diameter:88.100 mm 3.470 in"
5060041,MM9108K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:45.700 mm 1.800 in|Da - Outer Ring Backing Diameter:62.200 mm 2.450 in"
5060045,MM204K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:25.800 mm 1.020 in|Da - Outer Ring Backing Diameter:41.500 mm 1.640 in"
5060044,MM203K,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:21.500 mm 0.850 in|Da - Outer Ring Backing Diameter:35.700 mm 1.410 in"
5060082,5212K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:69.596 mm 2.740 in|Da - Outer Ring Backing Diameter:99.695 mm 3.925 in"
5060080,5211W,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:62.865 mm 2.475 in|Da - Outer Ring Backing Diameter:92.481 mm 3.641 in"
5060075,5210W,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:56.769 mm 2.235 in|Da - Outer Ring Backing Diameter:81.788 mm 3.220 in"
5060022,2MM206WI,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:36.500 mm 1.440 in|Da - Outer Ring Backing Diameter:56.000 mm 2.210 in"
5060111,312W,"R - Inner Ring ""To Clear"" Radius:2.110 mm 0.083 in|r - Outer Ring ""To Clear"" Radius:2.110 mm 0.083 in|da - Inner Ring Backing Diameter:72.100 mm 2.840 in|Da - Outer Ring Backing Diameter:118.100 mm 4.650 in"
5060114,313K,"R - Inner Ring ""To Clear"" Radius:2.110 mm 0.083 in|r - Outer Ring ""To Clear"" Radius:2.110 mm 0.083 in|da - Inner Ring Backing Diameter:77.000 mm 3.030 in|Da - Outer Ring Backing Diameter:128.000 mm 5.040 in"
5060101,7321WN MBR,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.098 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.098 in|da - Inner Ring Backing Diameter:149.530 mm 5.887 in|Da - Outer Ring Backing Diameter:182.270 mm 7.176 in"
5060506,2MM9118WI,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:99.700 mm 3.930 in|Da - Outer Ring Backing Diameter:130.900 mm 5.160 in"
