id,catalog_number,abutment_and_fillet_dimensions
5116831,24022EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:122.000 mm 4.800 in|Da - Outer Ring Backing Diameter:157.000 mm 6.200 in"
5116838,22314EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:91.000 mm 3.600 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116832,24022EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:122.000 mm 4.800 in|Da - Outer Ring Backing Diameter:157.000 mm 6.200 in"
5116820,22220KEMW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:120.000 mm 4.700 in|Da - Outer Ring Backing Diameter:163.000 mm 6.400 in"
5116824,22220EMW22C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:120.000 mm 4.700 in|Da - Outer Ring Backing Diameter:163.000 mm 6.400 in"
5116830,22314EMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:91.000 mm 3.600 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116843,22314KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:91.000 mm 3.600 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116835,24020EJW33C3,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.060 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.060 in|da - Inner Ring Backing Diameter:111.000 mm 4.400 in|Da - Outer Ring Backing Diameter:139.000 mm 5.500 in"
5116836,24020EJW33C4,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.060 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.060 in|da - Inner Ring Backing Diameter:111.000 mm 4.400 in|Da - Outer Ring Backing Diameter:139.000 mm 5.500 in"
5116847,22314KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:91.000 mm 3.600 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116806,22218KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:105.000 mm 4.200 in|Da - Outer Ring Backing Diameter:146.000 mm 5.800 in"
5116854,24026EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:144.000 mm 5.700 in|Da - Outer Ring Backing Diameter:185.000 mm 7.300 in"
5116839,22314EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:91.000 mm 3.600 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116855,24026EJW33W89C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:144.000 mm 5.700 in|Da - Outer Ring Backing Diameter:185.000 mm 7.300 in"
5116840,NU2330EMA,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.100 in|da - Inner Ring Backing Diameter:183.000 mm 7.200 in|Da - Outer Ring Backing Diameter:0.000 mm 0.000 in"
5116861,24026KEJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:144.000 mm 5.700 in|Da - Outer Ring Backing Diameter:185.000 mm 7.300 in"
5116860,24026KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:144.000 mm 5.700 in|Da - Outer Ring Backing Diameter:185.000 mm 7.300 in"
5116853,24026EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:144.000 mm 5.700 in|Da - Outer Ring Backing Diameter:185.000 mm 7.300 in"
5116845,NU2236EMA,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.100 in|da - Inner Ring Backing Diameter:206.000 mm 8.100 in|Da - Outer Ring Backing Diameter:0.000 mm 0.000 in"
5116844,24020EJW841C3,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.060 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.060 in|da - Inner Ring Backing Diameter:111.000 mm 4.400 in|Da - Outer Ring Backing Diameter:139.000 mm 5.500 in"
5116848,22314KEMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:91.000 mm 3.600 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116865,22213EMC3,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.060 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.060 in|da - Inner Ring Backing Diameter:78.000 mm 3.100 in|Da - Outer Ring Backing Diameter:109.000 mm 4.300 in"
5116857,NU2234EMA,"R - Inner Ring ""To Clear"" Radius:3.000 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:3.000 mm 0.100 in|da - Inner Ring Backing Diameter:197.000 mm 7.800 in|Da - Outer Ring Backing Diameter:0.000 mm 0.000 in"
5116879,24122EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:124.000 mm 4.900 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5116871,21314EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:93.000 mm 3.700 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116890,21317KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:112.000 mm 4.400 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5116862,NU2344EMA,"R - Inner Ring ""To Clear"" Radius:4.000 mm 0.200 in|r - Outer Ring ""To Clear"" Radius:4.000 mm 0.200 in|da - Inner Ring Backing Diameter:264.000 mm 10.400 in|Da - Outer Ring Backing Diameter:0.000 mm 0.000 in"
5116884,21316KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:105.000 mm 4.100 in|Da - Outer Ring Backing Diameter:153.000 mm 6.000 in"
5116867,21316EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:105.000 mm 4.100 in|Da - Outer Ring Backing Diameter:153.000 mm 6.000 in"
5116887,21317EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:112.000 mm 4.400 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5116896,22318KEMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5116868,21316EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:105.000 mm 4.100 in|Da - Outer Ring Backing Diameter:153.000 mm 6.000 in"
5116898,23222EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:131.000 mm 5.200 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116882,24122KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:124.000 mm 4.900 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5116876,21314KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:93.000 mm 3.700 in|Da - Outer Ring Backing Diameter:135.000 mm 5.300 in"
5116893,22318EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5116864,22213EJW841C4,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.060 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.060 in|da - Inner Ring Backing Diameter:78.000 mm 3.100 in|Da - Outer Ring Backing Diameter:109.000 mm 4.300 in"
5116895,22318EMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5116906,23218KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116902,23218EJW33W25C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116900,23218EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116856,24026EJW841C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:144.000 mm 5.700 in|Da - Outer Ring Backing Diameter:185.000 mm 7.300 in"
5116908,23218EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116894,22318KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5116897,23222EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:131.000 mm 5.200 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116878,24122EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:124.000 mm 4.900 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5116903,22318EMW810C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:116.000 mm 4.600 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5116910,23222KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:131.000 mm 5.200 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116918,23222KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:131.000 mm 5.200 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116914,23222EMW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:131.000 mm 5.200 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116912,23222EMW33C2,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:131.000 mm 5.200 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116907,23218KEMW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116916,23218KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116913,23222EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:131.000 mm 5.200 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116919,23218EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116920,23218EMW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:107.000 mm 4.200 in|Da - Outer Ring Backing Diameter:147.000 mm 5.800 in"
5116937,23124EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:138.000 mm 5.400 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116932,24124EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:135.000 mm 5.300 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116935,24124EJW841C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:135.000 mm 5.300 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116938,23124EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:138.000 mm 5.400 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116940,24124KEJW33C2,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:135.000 mm 5.300 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116950,23124KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:138.000 mm 5.400 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116930,23926EMW20C3,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.040 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.040 in|da - Inner Ring Backing Diameter:142.000 mm 5.600 in|Da - Outer Ring Backing Diameter:169.000 mm 6.700 in"
5116944,23124KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:138.000 mm 5.400 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116933,24124EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:135.000 mm 5.300 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116955,23124EMW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:138.000 mm 5.400 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5116964,22319KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:122.000 mm 4.800 in|Da - Outer Ring Backing Diameter:180.000 mm 7.100 in"
5116960,23220KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:119.000 mm 4.700 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5116952,23220EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:119.000 mm 4.700 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5116963,22319EMW33C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:122.000 mm 4.800 in|Da - Outer Ring Backing Diameter:180.000 mm 7.100 in"
5116965,23318EMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:167.000 mm 6.600 in"
5116962,22319EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:122.000 mm 4.800 in|Da - Outer Ring Backing Diameter:180.000 mm 7.100 in"
5116973,23220EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:119.000 mm 4.700 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5116986,21311EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:73.000 mm 2.900 in|Da - Outer Ring Backing Diameter:108.000 mm 4.200 in"
5116985,24024EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:132.000 mm 5.200 in|Da - Outer Ring Backing Diameter:167.000 mm 6.600 in"
5116991,22317EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5117005,22317KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5116996,23220EJW98C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:119.000 mm 4.700 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5117006,22317KEMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5116993,21311KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:73.000 mm 2.900 in|Da - Outer Ring Backing Diameter:108.000 mm 4.200 in"
5116954,23124EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:138.000 mm 5.400 in|Da - Outer Ring Backing Diameter:182.000 mm 7.200 in"
5117013,22317EMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5117007,22317EMW33S2C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5117014,22317EMW800C4,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5116984,24024EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:132.000 mm 5.200 in|Da - Outer Ring Backing Diameter:167.000 mm 6.600 in"
5117000,23220KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:119.000 mm 4.700 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5117008,22315KEMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5117017,22315EMW33W800C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5116998,21318KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:118.000 mm 4.700 in|Da - Outer Ring Backing Diameter:171.000 mm 6.700 in"
5117010,22315EMW22C2,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5116982,23220EJW33C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:119.000 mm 4.700 in|Da - Outer Ring Backing Diameter:164.000 mm 6.500 in"
5117012,22315EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5117003,22317EMW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5117021,22315KEMW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5117018,22315EMW800C4,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:97.000 mm 3.800 in|Da - Outer Ring Backing Diameter:144.000 mm 5.700 in"
5117001,22317KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:110.000 mm 4.300 in|Da - Outer Ring Backing Diameter:162.000 mm 6.400 in"
5117030,21312EJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:80.000 mm 3.200 in|Da - Outer Ring Backing Diameter:116.000 mm 4.600 in"
5117027,21312KEJW33C3,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.080 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.080 in|da - Inner Ring Backing Diameter:80.000 mm 3.200 in|Da - Outer Ring Backing Diameter:116.000 mm 4.600 in"
5117051,NU1048MA,"R - Inner Ring ""To Clear"" Radius:2.500 mm 0.100 in|r - Outer Ring ""To Clear"" Radius:2.500 mm 0.100 in|da - Inner Ring Backing Diameter:263.000 mm 10.300 in|Da - Outer Ring Backing Diameter:330.000 mm 13.000 in"
