id;catalog_number;attr
153984;TLK13234;nan
153988;TLK1324;nan
153992;TLK132434;nan
153996;TLK1325080;nan
154000;TLK1326090;nan
154008;TLK13278;nan
154012;TLK13295135;nan
154016;TLK13311116;nan
154020;TLK133118;nan
154024;TLK133134;nan
154028;TLK133158;nan
154032;TLK133178;nan
154036;TLK133200260;nan
154040;TLK133214;nan
154044;TLK1332247;nan
154048;TLK133240305;nan
154052;TLK133278;nan
154056;TLK1333055;nan
154060;TLK1333260;nan
154064;TLK1333560;nan
154068;TLK1334065;nan
154072;TLK1334575;nan
154076;TLK13351516;nan
154080;TLK13361516;nan
154084;TLK13371516;nan
154088;TLK13380120;nan
154092;TLK2001;nan
154100;TLK200120165;nan
154104;TLK200138;nan
154108;TLK200160210;nan
154112;TLK200180235;nan
154116;TLK200200260;nan
154120;TLK200214;nan
154124;TLK2002247;nan
154128;TLK200238;nan
154132;TLK200258;nan
154136;TLK2002855;nan
154140;TLK200312;nan
154144;TLK2003260;nan
154148;TLK2003560;nan
154152;TLK2003865;nan
154156;TLK200414;nan
154160;TLK2004316;nan
154164;TLK2004880;nan
154168;TLK200534;nan
154176;TLK2006716;nan
154180;TLK20075115;nan
154184;TLK20085125;nan
154188;TLK3001013;nan
154192;TLK3001215;nan
154196;TLK3001418;nan
154200;TLK3001620;nan
154204;TLK3001822;nan
154208;TLK3002025;nan
154212;TLK3002832;nan
154216;TLK3003642;nan
154220;TLK3004552;nan
154224;TLK3005664;nan
154228;TLK3006573;nan
154232;TLK3007180;nan
154236;TLK3008596;nan
154240;TLK3501020;nan
154244;TLK3501528;nan
154248;TLK3501935;nan
154252;TLK3502547;nan
154256;TLK3503560;nan
154260;TLK3504575;nan
154264;TLK350717;nan
154268;TLK450100145;nan
154272;TLK45011516;nan
154276;TLK450134;nan
154280;TLK450158;nan
154284;TLK450178;nan
154288;TLK450200260;nan
154292;TLK45021516;nan
154296;TLK450234;nan
154300;TLK450258;nan
154304;TLK4502855;nan
154308;TLK450312;nan
