id,catalog_number,main_images
5056270,7650 OLP-HTH,https://www.reelcraft.com/catalog/catalog_images/7850_OLP.jpg
5029887,GC7925OLP,https://www.reelcraft.com/catalog/catalog_images/GC7925_OLP.jpg
2793431,CB37128 L,https://www.reelcraft.com/catalog/catalog_images/CB37118_L.jpg
773555,PW81000OHP,https://www.reelcraft.com/catalog/catalog_images/82000_OLP.jpg
