id,catalog_number,dxf
773770,7600OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
773274,L5550124X,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5005 .dxf
773736,5600OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
2208362,UR7800 OLB70,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OLP TW.dxf
773410,L40351622,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.dxf
773724,5435OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773418,L5245A1636X,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5000 .dxf
773530,STW3450OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_STRATA.dxf
773526,TW7400OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SERIES SW.dxf
773450,TW86000OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.dxf
773554,5635OLPSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773458,TW7450OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SERIES SW.dxf
773622,SCA3850OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_STRATA.dxf
773574,RT602-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773630,G3050Y,https://mro-host.herokuapp.com/file_download/?name=reelcraft_G3050 SERIES.dxf
773606,RT635-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773542,D9400OLBBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
773586,RT405-OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
2208309,DP5600 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.dxf
2208345,D9300 OLSBW-S,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
773590,RT802-OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773409,L4035A1635,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.dxf
2208185,E9275 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208165,D9100 OHPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
773485,H18006M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
773449,TW84000OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.dxf
773545,7600OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OLP TW.dxf
773689,CA32128L,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X128 X.dxf
773709,A5800EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773717,5450ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773713,5600EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
773737,A5835OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.dxf
773729,A5800OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773581,RT802-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
773721,A5825OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773767,7400OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
773811,82000OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
