id,catalog_number,attributes
2793499,S601015-100,Part Number:S601015-100|Hose Type:Air/Water |Weight (lbs):14|Hose I.D. (in):3/8|Hose O.D. (in):0.600 |Hose Length (ft):100|Pressure (psi):300|End Fitting:3/8 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):150 
2793441,L 4035 163 3,"Part Number:L 4035 163 3|Series:L4000|Weight (lbs):26|Cord Ending:Single Receptacle|AWG:16|Cord/Cable Length (ft):35|Volts:125|Amps:13 |Conductors:3|Cord/Cable Included:Yes|Type:SJTOW|Warehouse:IN, CA|UPC:699567000426"
2793487,S32-260043,Part Number:S32-260043|Hose Type:Oil |Weight (lbs):1 |Hose I.D. (in):3/8|Hose O.D. (in):0.710 |Hose Length (ft):2|Pressure (psi):2250|End Fitting:3/8 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2793465,L 4500,Part Number:L 4500|Series:L4000|Weight (lbs):22|Cord Ending:Bare Reel|AWG:12|Cord/Cable Length (ft):45|Volts:125|Amps:20 |Conductors:3|Cord/Cable Included:No|Type:SJEOOW |Warehouse:IN|UPC:699567002222
2793519,S601027-50,Part Number:S601027-50|Hose Type:Air/Water |Weight (lbs):21.8|Hose I.D. (in):1|Hose O.D. (in):1.375 |Hose Length (ft):50|Pressure (psi):250|End Fitting:3/4 NPT(M) |End Fitting:1 NPT(M) |Max Temperature (F):150 
2793539,S5-260043,Part Number:S5-260043|Hose Type:Oil |Weight (lbs):10.4|Hose I.D. (in):3/8|Hose O.D. (in):0.710 |Hose Length (ft):50|Pressure (psi):2250|End Fitting:3/8 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):210 
2793473,L 4035 162 2,Part Number:L 4035 162 2|Series:L4000|Weight (lbs):25|Cord Ending:Fluorescent Light|AWG:16|Cord/Cable Length (ft):35|Volts:125|Amps:0.3|Conductors:2|Cord/Cable Included:Yes|Type:SJEOOW |Warehouse: |UPC:699567002307
2793559,S3-260044,Part Number:S3-260044|Hose Type:Grease|Weight (lbs):10.72 |Hose I.D. (in):3/8|Hose O.D. (in):0.730 |Hose Length (ft):30|Pressure (psi):4800|End Fitting:1/4 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2793527,S13-260043,Part Number:S13-260043|Hose Type:Oil |Weight (lbs):3.2 |Hose I.D. (in):1/4|Hose O.D. (in):0.530 |Hose Length (ft):20|Pressure (psi):2750|End Fitting:1/4 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2793543,S37-260043,Part Number:S37-260043|Hose Type:Oil |Weight (lbs):9 |Hose I.D. (in):1/2|Hose O.D. (in):0.850 |Hose Length (ft):35|Pressure (psi):3250|End Fitting:1/2 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):210 
2793481,L 4050 163 10,Part Number:L 4050 163 10 |Series:L4000|Weight (lbs):27|Cord Ending:LED Light|AWG:16|Cord/Cable Length (ft):50|Volts:125|Amps:13 |Conductors:3|Cord/Cable Included:Yes|Type:SJTOW|Warehouse:IN|UPC:699567008774
2793477,L 5245 A 163 6X,Part Number:L 5245 A 163 6X |Series:L5000|Weight (lbs):39|Cord Ending:Fluorescent Light|AWG:16|Cord/Cable Length (ft):45|Volts:125|Amps:0.13|Conductors:3|Cord/Cable Included:Yes|Type:SEOOW|Warehouse: |UPC:699567002338
2793535,S16-260043,Part Number:S16-260043|Hose Type:Oil |Weight (lbs):7.1 |Hose I.D. (in):3/8|Hose O.D. (in):0.710 |Hose Length (ft):30|Pressure (psi):2250|End Fitting:3/8 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2793563,S5-260044,Part Number:S5-260044|Hose Type:Grease|Weight (lbs):19.2|Hose I.D. (in):3/8|Hose O.D. (in):0.730 |Hose Length (ft):50|Pressure (psi):4800|End Fitting:1/4 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
