id,catalog_number,dxf
2208006,SD14005 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14005 OXP.igs
2208186,E9275 OMPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2793420,CA32128 L,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X128 X.igs
2793424,CA33112 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X112 X.igs
2208318,DP5835 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
2793436,EA33112 M24D,https://mro-host.herokuapp.com/file_download/?name=reelcraft_EA3X112 X12D.igs
2793460,L 5750 103 X,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5700-X .igs
2793468,L 5500,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5005 .igs
2793476,L 4050 A 163 5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2793464,L 4100,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2208310,DP5600 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
2793472,L 4050 163 1,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2207973,B5450 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2793416,CA32112 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X112 X.igs
2793480,L 4035 163 10,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2208029,5600 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208133,FD9300 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2793414,CA32106 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X106 X.igs
2208137,FE9300 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208089,DP7400 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
2793454,L 4050 163 9,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2793466,L 5000,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5000 .igs
2208001,SD13050 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.igs
2793426,CA33118 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X118 X.igs
2208041,5430 EHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2793478,L 4035 163 8,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2207971,B5435 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5X05 OXP TW.igs
2208183,E9200 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2207995,SD13000 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.igs
2208051,A5825 EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773420,L45451233B,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
773452,TW7400OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
773456,TW86075OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.igs
773532,TW7460OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
773556,PW7600OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
773580,RT802-OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773572,RT602-OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773628,GA3100N,https://mro-host.herokuapp.com/file_download/?name=reelcraft_GA3100.igs
773688,CA32122L,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X122 X.igs
773704,4425OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.igs
773716,5430EHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773712,5600ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773620,SHA3850OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_strata.igs
773720,5635ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773676,CA30118L,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X118 X.igs
773724,5435OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773732,5400OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773736,5600OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773544,5600OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773745,5405OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5X05 OXP TW.igs
773770,7600OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
2208362,UR7800 OLB70,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
773274,L5550124X,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5005 .igs
773708,A5800ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773410,L40351622,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
773450,TW86000OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.igs
773458,TW7450OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
773418,L5245A1636X,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5000 .igs
