dxf,pdf,igs,catalog_number,ids
https://www.reelcraft.com/images/drawings/3X128DXF.zip,https://www.reelcraft.com/images/drawings/3X128PDF.pdf,https://www.reelcraft.com/images/drawings/3X128IGS.zip,CA32128 L,2793420
,,,S601027-40,2793517
,,,AA33106 L4A,2793432
https://www.reelcraft.com/images/drawings/3X112DXF.zip,https://www.reelcraft.com/images/drawings/3X112PDF.pdf,https://www.reelcraft.com/images/drawings/3X112IGS.zip,CA33112 M,2793424
https://www.reelcraft.com/images/drawings/EA112DXF.zip,https://www.reelcraft.com/images/drawings/EA112PDF.pdf,https://www.reelcraft.com/images/drawings/EA112IGS.zip,EA33112 M24D,2793436
,,,S600160-4,2793521
,,,S26-260044,2793561
,,,EB37128 L12D,2793440
,,,S20-260043,2793529
https://www.reelcraft.com/images/drawings/L5005DXF.zip,https://www.reelcraft.com/images/drawings/L5005PDF.pdf,https://www.reelcraft.com/images/drawings/L5005IGS.zip,L 5500,2793468
https://www.reelcraft.com/images/drawings/L5700DXF.zip,https://www.reelcraft.com/images/drawings/L5700PDF.pdf,https://www.reelcraft.com/images/drawings/L5700IGS.zip,L 5750 103 X,2793460
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4050 A 163 5,2793476
,,,S7-260044,2793553
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4035 163 10,2793480
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4050 163 1,2793472
,,,S7-260043,2793545
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,B5450 OLP,2207973
https://www.reelcraft.com/images/drawings/SD130001.zip,https://www.reelcraft.com/images/drawings/SD130002.pdf,https://www.reelcraft.com/images/drawings/SD130003.zip,SD13050 OMP,2208001
,,,7450 EHP,2208065
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4100,2793464
https://www.reelcraft.com/images/drawings/D9300DXF.zip,https://www.reelcraft.com/images/drawings/D9300PDF.zip,https://www.reelcraft.com/images/drawings/D9300IGS.zip,FE9300 OLPBW,2208137
https://www.reelcraft.com/images/drawings/3X106DXF.zip,https://www.reelcraft.com/images/drawings/3X106PDF.pdf,https://www.reelcraft.com/images/drawings/3X106IGS.zip,CA32106 M,2793414
https://www.reelcraft.com/images/drawings/D9300DXF.zip,https://www.reelcraft.com/images/drawings/D9300PDF.zip,https://www.reelcraft.com/images/drawings/D9300IGS.zip,FD9300 OLPBW,2208133
https://www.reelcraft.com/images/drawings/3X118DXF.zip,https://www.reelcraft.com/images/drawings/3X118PDF.pdf,https://www.reelcraft.com/images/drawings/3X118IGS.zip,CA33118 M,2793426
,,,S19-260044,2793565
,,,L 7050 104 X,2793462
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4050 163 9,2793454
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L 4035 163 8,2793478
,,,S12-260043,2793533
https://www.reelcraft.com/images/drawings/L5000DXF.zip,https://www.reelcraft.com/images/drawings/L5000PDF.pdf,https://www.reelcraft.com/images/drawings/L5000IGS.zip,L 5000,2793466
,,,S14-260043,2793528
,,,L 7000,2793470
,,,S15-260043,2793532
,,,S26-260043,2793548
,,,S10-260044,2793552
,,,S27-260044,2793564
,,,S24-260044,2793560
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,5600 OHP,2208029
