id,catalog_number,attributes
2793483,S601026-2,<table><tr><td><font><b>Part Number</b></font></td><td><font>S601026-2</font></td></tr><tr><td><font><b>Hose Type</b></font></td><td><font>Air/Water </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>1.5 </font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.075 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>2</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>250</font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr></table>
2793503,S601022-35,<table><tr><td><font><b>Part Number</b></font></td><td><font>S601022-35</font></td></tr><tr><td><font><b>Hose Type</b></font></td><td><font>Air/Water </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>6.5 </font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/2</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>0.750 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>35</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>1/2 NPT(M) </font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>1/2 NPT(M) </font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr></table>
2793421,CA33106 L,"<table><tr><td><font><b>Part Number</b></font></td><td><font>CA33106 L </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>30000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>41</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.075 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>50</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>1000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>250 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font>IN, CA, CN</font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002154</font></td></tr></table>"
2793433,EA32106 L12D,"<table><tr><td><font><b>Part Number</b></font></td><td><font>EA32106 L12D</font></td></tr><tr><td><font><b>Series</b></font></td><td><font>30000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>60</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/2""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.750</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>100</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>1000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>250 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font></font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567003007</font></td></tr></table>"
2793425,CA33118 L,"<table><tr><td><font><b>Part Number</b></font></td><td><font>CA33118 L </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>30000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>50</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.075 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>175</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>1000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>3/4 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>250 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font>IN, CA</font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567000952</font></td></tr></table>"
2793413,CA32106 L,"<table><tr><td><font><b>Part Number</b></font></td><td><font>CA32106 L </font></td></tr><tr><td><font><b>Series</b></font></td><td><font>30000</font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>40</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>1/2""</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>.750</font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>100</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>1000</font></td></tr><tr><td><font><b>Hose End (in)</b></font></td><td><font></font></td></tr><tr><td><font><b>Inlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Reel Outlet (in)</b></font></td><td><font>1/2 NPT(F)</font></td></tr><tr><td><font><b>Hose Included</b></font></td><td><font>No</font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>250 </font></td></tr><tr><td><font><b>Warehouse</b></font></td><td><font>IN, CA, CN</font></td></tr><tr><td><font><b>UPC</b></font></td><td><font>699567002093</font></td></tr></table>"
2793507,S601026-20,<table><tr><td><font><b>Part Number</b></font></td><td><font>S601026-20</font></td></tr><tr><td><font><b>Hose Type</b></font></td><td><font>Air/Water </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>5.9 </font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.075 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>20</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>250</font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr></table>
2793511,S601026-50,<table><tr><td><font><b>Part Number</b></font></td><td><font>S601026-50</font></td></tr><tr><td><font><b>Hose Type</b></font></td><td><font>Air/Water </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>15</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.075 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>50</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>250</font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr></table>
2793515,S601026-200,<table><tr><td><font><b>Part Number</b></font></td><td><font>S601026-200</font></td></tr><tr><td><font><b>Hose Type</b></font></td><td><font>Air/Water </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>58</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/4</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>1.075 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>200</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>250</font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/4 NPT(M) </font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr></table>
2793499,S601015-100,<table><tr><td><font><b>Part Number</b></font></td><td><font>S601015-100</font></td></tr><tr><td><font><b>Hose Type</b></font></td><td><font>Air/Water </font></td></tr><tr><td><font><b>Weight (lbs)</b></font></td><td><font>14</font></td></tr><tr><td><font><b>Hose I.D. (in)</b></font></td><td><font>3/8</font></td></tr><tr><td><font><b>Hose O.D. (in)</b></font></td><td><font>0.600 </font></td></tr><tr><td><font><b>Hose Length (ft)</b></font></td><td><font>100</font></td></tr><tr><td><font><b>Pressure (psi)</b></font></td><td><font>300</font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>3/8 NPT(M) </font></td></tr><tr><td><font><b>End Fitting</b></font></td><td><font>1/2 NPT(M) </font></td></tr><tr><td><font><b>Max Temperature (F)</b></font></td><td><font>150 </font></td></tr></table>
