id,catalog_number,additional_description
2935841,SS100118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935861,8MPCC96036,8MPCC-960-36
2935853,8MPCC320012,8MPCC-3200-12
2935881,8MPCC304862,8MPCC-3048-62
2935893,L11019MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935877,14MPCC330437,14MPCC-3304-37
2935909,14MPCC259068,14MPCC-2590-68
2935937,L09918MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935953,8MPCC304821,8MPCC-3048-21
2935969,14MPCC4326125,14MPCC-4326-125
2935993,8MPCC128036,8MPCC-1280-36
2935997,14MPCC336020,14MPCC-3360-20
2935973,14MPCC210068,14MPCC-2100-68
2936005,8MPCC179221,8MPCC-1792-21
2936013,8MPCC200012,8MPCC-2000-12
2936025,8MPCC112062,8MPCC-1120-62
2936041,8MPCC240021,8MPCC-2400-21
2936105,14MPCC210090,14MPCC-2100-90
2936093,L05016MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936081,L15024MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936125,14MPCC156890,14MPCC-1568-90
2936153,14MPCC175037,14MPCC-1750-37
2936229,14MPCC161020,14MPCC-1610-20
2936237,8MPCC220021,8MPCC-2200-21
2936261,14MPCC231090,14MPCC-2310-90
2936241,14MPCC1260125,14MPCC-1260-125
2936281,14MPCC245037,14MPCC-2450-37
2936377,14MPCC189068,14MPCC-1890-68
2936373,8MPCC120012,8MPCC-1200-12
2936405,8MPCC328012,8MPCC-3280-12
2936413,8MPCC240062,8MPCC-2400-62
2936469,14MPCC126068,14MPCC-1260-68
2936493,14MPCC224068,14MPCC-2240-68
2936557,8MPCC260062,8MPCC-2600-62
2936541,14MPCC313620,14MPCC-3136-20
2936549,SS07512,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936597,8MPCC144036,8MPCC-1440-36
2936585,14MPCC238037,14MPCC-2380-37
2936617,8MPCC240012,8MPCC-2400-12
2936621,8MPCC360062,8MPCC-3600-62
2936625,14MPCC224090,14MPCC-2240-90
2936677,SS110112,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936669,AL05058NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936717,8MPCC122436,8MPCC-1224-36
2936721,14MPCC3360125,14MPCC-3360-125
2936745,8MPCC89612,8MPCC-896-12
2936729,14MPCC252068,14MPCC-2520-68
2936821,8MPCC176021,8MPCC-1760-21
2936837,8MPCC100036,8MPCC-1000-36
2936849,14MPCC175090,14MPCC-1750-90
2936861,8MPCC284062,8MPCC-2840-62
2936869,14MPCC224037,14MPCC-2240-37
