id,catalog_number,description,main_image,additional_description,attributes,Brand
2072838,77541,"REMCO 77541 Vikan Foam Squeegee 24"" Pink Fxd Hd Squeegee",product_images/20/72838/77541_1.jpg,"<p><br>The neoprene rubber blades on this squeegee make it the most effective squeegee in the Vikan range. It is excellent on all types of floors, as the soft rubber reaches into and cleans all spaces on the floor, such as grouting between tiles. The cartridge system blades can be removed for easy cleaning and replaced when worn out, making the model a very economical option. Replacement squeegee blades 77745 or 77749. May be used with any European-thread handle.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>23.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Foam Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.8</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072846,56886,REMCO 56886 Vikan Pail Pail- 6 Liter- Yellow,product_images/20/72846/56886_1.jpg,"<p><br>This is a durable 1.5 gallon pail that is suitable for cleaning or storage of ingredients and food stuff and is calibrated for a variety of measuring units. The pail has a wide drip-free spout, sturdy stainless steel hanger, hand grip at the bottom that is raised</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.69</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10.12</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>10.04</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Stainless Steel</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072850,56892,REMCO 56892 Vikan Pail Pail Lid- Green,product_images/20/72850/56892_1.jpg,"<p><br>This pail lid is useful for preventing spillage of materials. It has a clip system for securing the lid tightly.  Corresponds with part number 5688.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.96</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>0.59</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.26</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072862,53916,REMCO 53916 Vikan Tube/Valve Brush 3.5in Tube Brush f/Flex Hdl- Yellow,product_images/20/72862/remco_53916.jpg,nan,nan,Remco Products
2072866,71705,"REMCO 71705 Vikan Ultra Squeegee Ultra Squeegee- 28""- White (replace",product_images/20/72866/71705_1.jpg,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>27.56</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.93</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072874,29388,"REMCO 29388 Vikan Fiberglass Handle Handle- Fiberglass- 60""- Purple",product_images/20/72874/default_2072874.jpg,nan,nan,Remco Products
2072886,5380-50-4,"REMCO 5380-50-4 Vikan Tube/Valve Brush Tube Brush- 2""- Red (53904)",product_images/20/72886/5380-50-4_1.jpg,"<p><br>This tube brush has bristles along the sides as well as in the front. It is used in areas where a wider tube cleaning action is required or where the equipment has an end point that cannot be reached with a hand brush. Requires a European-thread handle. (This part number replaces 53904)</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>5.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.2</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072894,5380-77-5,"REMCO 5380-77-5 Vikan Tube/Valve Brush Tube Brush- 3""- White (53925)",product_images/20/72894/default_2072894.jpg,nan,nan,Remco Products
2072906,71502,"REMCO 71502 Vikan Ultra Squeegee Ultra Squeegee- 20""- Green (replace",product_images/20/72906/71502_1.jpg,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>19.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072910,71506,"REMCO 71506 Vikan Ultra Squeegee Ultra Squeegee- 20""- Yellow (replac",product_images/20/72910/71506_1.jpg,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>19.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.67</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072914,71257,"REMCO 71257 Vikan Ultra Squeegee 10"" Ultra Hygiene Table Squeegee- O",product_images/20/72914/71257_1.jpg,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>9.84</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.45</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072942,70112,REMCO 70112 Vikan Scraper/Paddle Paddle Scraper- Stiff- Green,product_images/20/72942/70112_1.jpg,"<p><br>This scraping blade is used to remove remaining food stuff from containers prior to the cleaning procedure. Its rigid construction is useful when firm pressure needs to be applied into deep containers. Requires a European-thread handle.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>4.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Nylon</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.32</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072946,70132,REMCO 70132 Vikan Scraper/Paddle Paddle Scraper- Flexible- Green,product_images/20/72946/70132_1.jpg,"<p><br>This scraping blade is used to remove remaining food stuff from containers prior to the cleaning procedure. It is flexible and is used as a spatula for large or medium sized containers. Requires a European-thread handle.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>4.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polyethylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.28</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072954,70352,REMCO 70352 Vikan Scrub Brush Turks Head Brush- Soft- Green,product_images/20/72954/70352_1.jpg,"<p><br>The soft bristles on this brush make it useful to clean areas like small tanks and containers. It is often used to clean mixers for blending ingredient, and fits well into meat mincer barrels. Requires a European-thread handle, and may be attached to any length handle to fit the userÃÂÃÂ¢ÃÂÃÂÃÂÃÂs need.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>5.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>4.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.7</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072962,29722,"REMCO 29722 Vikan Fiberglass Handle Handle- Fiberglass- 67""- Green",product_images/20/72962/29722_1.jpg,"<p><br>This long fiberglass handle can be used to wash walls and high areas on equipment.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>66.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Fiberglass</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.3</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072994,29342,REMCO 29342 Vikan Misc Handle Mini Handle- Green,product_images/20/72994/29342_1.jpg,"<p><br>The mini-handle is commonly used with scraping blades for large flat surface areas like tables, tube brushes for round entry points of equipment, and paddles for scraping ingredients from large bowls and containers.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>6.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.1</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2072998,29346,REMCO 29346 Vikan Misc Handle Mini Handle- Yellow,product_images/20/72998/29346_1.jpg,"<p><br>The mini-handle is commonly used with scraping blades for large flat surface areas like tables, tube brushes for round entry points of equipment, and paddles for scraping ingredients from large bowls and containers.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>6.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.1</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
2073002,29356,"REMCO 29356 Vikan Aluminum Handle Handle- Alloy- 51""- Yellow",product_images/20/73002/29356_1.jpg,"<p><br>This standard broom handle can be used with all brooms, squeegees and scrapers. The handle with the attached item should reach to the chin of the user to prevent occupational back injuries.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>51.57</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Handle Diameter (inches):</th>\n                              <td>1.22</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Aluminum</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.08</td>\n																\n															</tr>\n                        \n														</table>",nan,Remco Products
