id,catalog_number,cad
1397266,HMISTU855S,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HMISTU855S.dxf
1052625,9080LBA2652021,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9080LBA2652021.dxf
5218714,EZM31200JBNBBTL,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZM31200JBNBBTL.dxf
1044301,9001KA51,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001KA51.dxf
1051664,9070T1000D13,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9070T1000D13.dxf
1056952,DTU426R,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_DTU426R.dxf
5229006,GS2EEU3,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_GS2EEU3.dxf
1039490,8501XDO60V62,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_8501XDO60V62.dxf
1043608,9001K11J1,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001K11J1.dxf
1079337,XS1M18AB120,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_XS1M18AB120.dxf
1038268,60299,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_60299.dxf
1062457,HU367R,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HU367R.dxf
5227596,EX45T3HB,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EX45T3HB.dxf
1391721,XCCRAR1216,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_XCCRAR1216.dxf
1081294,XXZ12,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_XXZ12.dxf
1071085,QO260NATS,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_QO260NATS.dxf
1056934,DTU326,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_DTU326.dxf
1043787,9001K1L38LGG,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001K1L38LGG.dxf
1042817,8910DPA34V09Y392,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_8910DPA34V09Y392.dxf
1058194,EZMR114125X,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZMR114125X.dxf
