catalog_number,industry_crossover_numbers,id
26007,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>00261-08</td>
    </tr>

        <tr>
        <td>1761x8</td>
    </tr>

        <tr>
        <td>61-CM-08</td>
    </tr>

        <tr>
        <td>61A-8</td>
    </tr>

        <tr>
        <td>61CA-8</td>
    </tr>

        <tr>
        <td>61CL-10</td>
    </tr>

        <tr>
        <td>61CS-8</td>
    </tr>

        <tr>
        <td>61x8</td>
    </tr>

        <tr>
        <td>961 1/2</td>
    </tr>

        <tr>
        <td>961A-8</td>
    </tr>

        <tr>
        <td>CS61-F</td>
    </tr>

    </table>",2529987
26005,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>00261-06</td>
    </tr>

        <tr>
        <td>1761x6</td>
    </tr>

        <tr>
        <td>61-CM-06</td>
    </tr>

        <tr>
        <td>61A-6</td>
    </tr>

        <tr>
        <td>61CA-6</td>
    </tr>

        <tr>
        <td>61CL-6</td>
    </tr>

        <tr>
        <td>61CS-6</td>
    </tr>

        <tr>
        <td>61x6</td>
    </tr>

        <tr>
        <td>961 3/8</td>
    </tr>

        <tr>
        <td>961A-6</td>
    </tr>

        <tr>
        <td>CS61-E</td>
    </tr>

    </table>",2529986
26156,blank value,2530310
26003,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>00261-04</td>
    </tr>

        <tr>
        <td>1761x4</td>
    </tr>

        <tr>
        <td>61-CM-04</td>
    </tr>

        <tr>
        <td>61A-4</td>
    </tr>

        <tr>
        <td>61CA-4</td>
    </tr>

        <tr>
        <td>61CL-4</td>
    </tr>

        <tr>
        <td>61CS-4</td>
    </tr>

        <tr>
        <td>61x4</td>
    </tr>

        <tr>
        <td>961 1/4</td>
    </tr>

        <tr>
        <td>961-4</td>
    </tr>

        <tr>
        <td>961A-4</td>
    </tr>

        <tr>
        <td>CA61-C</td>
    </tr>

    </table>",2529984
26157,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-8-4</td>
    </tr>

    </table>",2530311
26155,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-6-8</td>
    </tr>

        <tr>
        <td>966A-6D</td>
    </tr>

    </table>",2530309
26154,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-6-6</td>
    </tr>

        <tr>
        <td>966A-6C</td>
    </tr>

    </table>",2530308
26153,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-6-4</td>
    </tr>

        <tr>
        <td>966A-6B</td>
    </tr>

    </table>",2530307
26152,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-6-2</td>
    </tr>

        <tr>
        <td>966A-6A</td>
    </tr>

    </table>",2530306
26149,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-5-2</td>
    </tr>

        <tr>
        <td>966A-5A</td>
    </tr>

    </table>",2530304
26150,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-5-4</td>
    </tr>

        <tr>
        <td>966A-5B</td>
    </tr>

    </table>",2530305
26146,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-4-4</td>
    </tr>

        <tr>
        <td>966A-4B</td>
    </tr>

    </table>",2530303
26144,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-3-4</td>
    </tr>

        <tr>
        <td>966A-3B</td>
    </tr>

    </table>",2530301
26145,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-4-2</td>
    </tr>

        <tr>
        <td>966A-4A</td>
    </tr>

    </table>",2530302
26143,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-3-2</td>
    </tr>

        <tr>
        <td>966A-3A</td>
    </tr>

    </table>",2530300
26142,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>66CA-2-2</td>
    </tr>

        <tr>
        <td>966A-2A</td>
    </tr>

    </table>",2530299
26299,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>172CA-8-6</td>
    </tr>

    </table>",2530387
26297,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>172CA-6-6</td>
    </tr>

    </table>",2530386
26296,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>172CA-6-4</td>
    </tr>

    </table>",2530385
26295,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>172CA-6-2</td>
    </tr>

    </table>",2530384
26294,blank value,2530383
26293,blank value,2530382
26292,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>172CA-4-4</td>
    </tr>

    </table>",2530381
26291,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>172CA-4-2</td>
    </tr>

    </table>",2530380
26281,blank value,2530379
26280,blank value,2530378
26279,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>171CA-6-4</td>
    </tr>

    </table>",2530377
26274,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>171CA-4-2</td>
    </tr>

    </table>",2530375
26272,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>171CA-2-2</td>
    </tr>

    </table>",2530374
26275,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>171CA-4-4</td>
    </tr>

    </table>",2530376
26032X,blank value,2530346
26238,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>969A-8D</td>
    </tr>

    </table>",2530364
26237,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>969A-8C</td>
    </tr>

    </table>",2530363
26240,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>969A-10C</td>
    </tr>

    </table>",2530365
26235,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>969A-6D</td>
    </tr>

    </table>",2530361
26234,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>969A-6C</td>
    </tr>

    </table>",2530360
26236,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>169CA-8-6</td>
    </tr>

        <tr>
        <td>969A-8B</td>
    </tr>

    </table>",2530362
26232,blank value,2530358
26230,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>169CA-6-2</td>
    </tr>

    </table>",2530357
26229,blank value,2530356
26228,blank value,2530355
26226,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>169CA-5-2</td>
    </tr>

        <tr>
        <td>969A-4C</td>
    </tr>

    </table>",2530354
26224,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>969A-4A</td>
    </tr>

    </table>",2530351
26221,blank value,2530348
26013,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>9203CC</td>
    </tr>

    </table>",2530339
26223,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>169CA-3-4</td>
    </tr>

    </table>",2530350
26014,blank value,2530340
26012,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>NV312P-4-4</td>
    </tr>

    </table>",2530338
26011X,blank value,2530337
28822,blank value,2531067
26011,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>9103CC</td>
    </tr>

        <tr>
        <td>NV312P-4-2</td>
    </tr>

    </table>",2530336
26010,blank value,2530335
28820,blank value,2531065
28823,blank value,2531068
28821,blank value,2531066
48125,blank value,2533134
48126,blank value,2533135
48122,blank value,2533131
48121,blank value,2533130
48124,blank value,2533133
48123,blank value,2533132
48120,blank value,2533129
92010,blank value,2538421
92009,blank value,2538420
92008,blank value,2538419
92007,blank value,2538418
107675,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SHP100FS</td>
    </tr>

    </table>",2535914
107674,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SHP75FS</td>
    </tr>

    </table>",2535913
107670,blank value,2535909
107671,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SHP14FS</td>
    </tr>

    </table>",2535910
107672,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SHP38FS</td>
    </tr>

    </table>",2535911
107673,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SHP50FS</td>
    </tr>

    </table>",2535912
28869,blank value,2531097
28871,blank value,2531099
28867,blank value,2531095
28868,blank value,2531096
28870,blank value,2531098
36170,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>08392</td>
    </tr>

        <tr>
        <td>712.00</td>
    </tr>

        <tr>
        <td>GZ45-6M</td>
    </tr>

    </table>",2531178
36182,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>08398</td>
    </tr>

        <tr>
        <td>7904</td>
    </tr>

        <tr>
        <td>912.00</td>
    </tr>

        <tr>
        <td>GZ45-10M</td>
    </tr>

    </table>",2531184
36176,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>08395</td>
    </tr>

        <tr>
        <td>7900</td>
    </tr>

        <tr>
        <td>812.00</td>
    </tr>

        <tr>
        <td>8845</td>
    </tr>

        <tr>
        <td>GZ45-8M</td>
    </tr>

    </table>",2531181
28808,blank value,2531057
28810,blank value,2531058
28807,blank value,2531056
28806,blank value,2531055
28805,blank value,2531054
28804,blank value,2531053
28800,blank value,2531049
28801,blank value,2531050
28802,blank value,2531051
28803,blank value,2531052
20533P,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>65216222WP2</td>
    </tr>

    </table>",2537424
20529P,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>65216018WP2</td>
    </tr>

    </table>",2537422
20530P,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>65216218WP2</td>
    </tr>

    </table>",2537423
20527P,blank value,2537420
20701P,blank value,2537426
20525P,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>65215614WP2</td>
    </tr>

    </table>",2537418
20528P,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>65216014WP2</td>
    </tr>

    </table>",2537421
20526P,blank value,2537419
20700P,blank value,2537425
20524P,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>65215611WP2</td>
    </tr>

    </table>",2537417
20522P,blank value,2537415
20523P,blank value,2537416
28818,blank value,2531063
28819,blank value,2531064
28817,blank value,2531062
58129,blank value,2535438
58127,blank value,2535436
58126,blank value,2535435
58128,blank value,2535437
58124,blank value,2535433
58122,blank value,2535431
58125,blank value,2535434
58123,blank value,2535432
58121,blank value,2535430
28816,blank value,2531061
28815,blank value,2531060
58120,blank value,2535429
28838,blank value,2531080
28837,blank value,2531079
28836,blank value,2531078
28835,blank value,2531077
28070,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06104-08</td>
    </tr>

        <tr>
        <td>104 1/2</td>
    </tr>

        <tr>
        <td>104-8</td>
    </tr>

        <tr>
        <td>104-B-08</td>
    </tr>

        <tr>
        <td>104-D</td>
    </tr>

        <tr>
        <td>104A-D</td>
    </tr>

        <tr>
        <td>104B08</td>
    </tr>

        <tr>
        <td>104F</td>
    </tr>

        <tr>
        <td>212-8</td>
    </tr>

        <tr>
        <td>25250x8</td>
    </tr>

        <tr>
        <td>3250x8</td>
    </tr>

        <tr>
        <td>73250-8</td>
    </tr>

        <tr>
        <td>PU-8</td>
    </tr>

        <tr>
        <td>S104-8</td>
    </tr>

        <tr>
        <td>TUN4F</td>
    </tr>

    </table>",2528325
28069,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06104-06</td>
    </tr>

        <tr>
        <td>104 3/8</td>
    </tr>

        <tr>
        <td>104-6</td>
    </tr>

        <tr>
        <td>104-B-06</td>
    </tr>

        <tr>
        <td>104-C</td>
    </tr>

        <tr>
        <td>104A-C</td>
    </tr>

        <tr>
        <td>104B06</td>
    </tr>

        <tr>
        <td>104E</td>
    </tr>

        <tr>
        <td>212-6</td>
    </tr>

        <tr>
        <td>212P-6</td>
    </tr>

        <tr>
        <td>25250x6</td>
    </tr>

        <tr>
        <td>3250x6</td>
    </tr>

        <tr>
        <td>73250-6</td>
    </tr>

        <tr>
        <td>PF212-6</td>
    </tr>

        <tr>
        <td>PU-6</td>
    </tr>

        <tr>
        <td>S104-6</td>
    </tr>

        <tr>
        <td>TUN3F</td>
    </tr>

    </table>",2528324
28068,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06104-04</td>
    </tr>

        <tr>
        <td>104 1/4</td>
    </tr>

        <tr>
        <td>104-4</td>
    </tr>

        <tr>
        <td>104-B</td>
    </tr>

        <tr>
        <td>104-B-04</td>
    </tr>

        <tr>
        <td>104A-B</td>
    </tr>

        <tr>
        <td>104B04</td>
    </tr>

        <tr>
        <td>104C</td>
    </tr>

        <tr>
        <td>212-4</td>
    </tr>

        <tr>
        <td>212P-4</td>
    </tr>

        <tr>
        <td>25250x4</td>
    </tr>

        <tr>
        <td>3250x4</td>
    </tr>

        <tr>
        <td>73250-4</td>
    </tr>

        <tr>
        <td>PF212-4</td>
    </tr>

        <tr>
        <td>S104-4</td>
    </tr>

        <tr>
        <td>TUN2F</td>
    </tr>

    </table>",2528323
28067,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06103-12</td>
    </tr>

        <tr>
        <td>104 1/8</td>
    </tr>

        <tr>
        <td>104-2</td>
    </tr>

        <tr>
        <td>104-A</td>
    </tr>

        <tr>
        <td>104-B-02</td>
    </tr>

        <tr>
        <td>104A</td>
    </tr>

        <tr>
        <td>104A-A</td>
    </tr>

        <tr>
        <td>104B02</td>
    </tr>

        <tr>
        <td>212-2</td>
    </tr>

        <tr>
        <td>25250x2</td>
    </tr>

        <tr>
        <td>3250x2</td>
    </tr>

        <tr>
        <td>73250-2</td>
    </tr>

        <tr>
        <td>NQ</td>
    </tr>

        <tr>
        <td>S104-2</td>
    </tr>

    </table>",2528322
101168,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9020FS</td>
    </tr>

    </table>",2535980
101166,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9012FS</td>
    </tr>

    </table>",2535978
101167,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9015FS</td>
    </tr>

    </table>",2535979
101165,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9010FS</td>
    </tr>

    </table>",2535977
101164,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9075FS</td>
    </tr>

    </table>",2535976
101162,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9038FS</td>
    </tr>

    </table>",2535974
101163,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9050FS</td>
    </tr>

    </table>",2535975
101481,blank value,2536070
101480,blank value,2536069
101161,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>SE9025FS</td>
    </tr>

    </table>",2535973
101479,blank value,2536068
101478,blank value,2536067
101477,blank value,2536066
101476,blank value,2536065
101475,blank value,2536064
101474,blank value,2536063
101473,blank value,2536062
101472,blank value,2536061
101471,blank value,2536060
101470,blank value,2536059
58030,blank value,2535317
58028,blank value,2535315
58026,blank value,2535313
58029,blank value,2535316
58024,blank value,2535311
58027,blank value,2535314
58023,blank value,2535310
58025,blank value,2535312
58022,blank value,2535309
58021,blank value,2535308
58020,blank value,2535307
93130,blank value,2535849
93129,blank value,2535848
93131,blank value,2535850
93128,blank value,2535847
93125,blank value,2535845
93127,blank value,2535846
93122,blank value,2535842
93124,blank value,2535844
93121,blank value,2535841
93113,blank value,2535840
93123,blank value,2535843
28858,blank value,2531089
28857,blank value,2531088
28856,blank value,2531087
28855,blank value,2531086
28844,blank value,2531085
28843,blank value,2531084
58050,blank value,2535328
58148,blank value,2535447
58149,blank value,2535448
58147,blank value,2535446
58146,blank value,2535445
58145,blank value,2535444
58144,blank value,2535443
58143,blank value,2535442
58142,blank value,2535441
58141,blank value,2535440
58140,blank value,2535439
58049,blank value,2535327
58048,blank value,2535326
58047,blank value,2535325
58046,blank value,2535324
58041,blank value,2535319
58043,blank value,2535321
58045,blank value,2535323
58042,blank value,2535320
58044,blank value,2535322
58040,blank value,2535318
28841,blank value,2531082
28842,blank value,2531083
28840,blank value,2531081
28877,blank value,2531104
28876,blank value,2531103
28878,blank value,2531105
28875,blank value,2531102
28874,blank value,2531101
28873,blank value,2531100
28962,blank value,2529771
28960,blank value,2529769
28961,blank value,2529770
28959,blank value,2529768
28957,blank value,2529766
28975,blank value,2529781
28958,blank value,2529767
28974,blank value,2529780
28973,blank value,2529779
28754,blank value,2529747
28753,blank value,2529746
28756,blank value,2529748
69608,blank value,2535737
69605,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>300MIU100</td>
    </tr>

    </table>",2535734
69607,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>300MIU150</td>
    </tr>

    </table>",2535736
69606,blank value,2535735
69604,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>300MIU75</td>
    </tr>

    </table>",2535733
28508,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>DC223</td>
    </tr>

    </table>",2538788
28507,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>DC2</td>
    </tr>

    </table>",2538787
F3,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>HT6F6</td>
    </tr>

    </table>",2538251
F38,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>HT3F3</td>
    </tr>

        <tr>
        <td>HT3F4</td>
    </tr>

    </table>",2538362
F14,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>HT2F2</td>
    </tr>

    </table>",2538245
69603,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>300MIU50</td>
    </tr>

    </table>",2535732
69601,blank value,2535730
69600,blank value,2535729
69602,blank value,2535731
36130,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>08321</td>
    </tr>

        <tr>
        <td>7050</td>
    </tr>

        <tr>
        <td>900</td>
    </tr>

        <tr>
        <td>GZS-4</td>
    </tr>

    </table>",2531157
36112,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>08311</td>
    </tr>

        <tr>
        <td>607.00</td>
    </tr>

        <tr>
        <td>7003</td>
    </tr>

    </table>",2531148
36113,blank value,2531149
36110,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>08310</td>
    </tr>

        <tr>
        <td>610.00</td>
    </tr>

        <tr>
        <td>7000</td>
    </tr>

        <tr>
        <td>GZS-2</td>
    </tr>

    </table>",2531145
36111,blank value,2531147
30290,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>07215-0403</td>
    </tr>

        <tr>
        <td>10004B-X03</td>
    </tr>

        <tr>
        <td>294-0403</td>
    </tr>

        <tr>
        <td>2940403C</td>
    </tr>

        <tr>
        <td>29PO10-43</td>
    </tr>

        <tr>
        <td>303-43</td>
    </tr>

        <tr>
        <td>694-4-3</td>
    </tr>

        <tr>
        <td>732-43</td>
    </tr>

        <tr>
        <td>KA04-03RL</td>
    </tr>

        <tr>
        <td>S694-4-3</td>
    </tr>

        <tr>
        <td>ST-04-03</td>
    </tr>

        <tr>
        <td>ST-4-3</td>
    </tr>

    </table>",2529103
77103,blank value,2536098
77105,blank value,2536100
77119,blank value,2536112
77114,blank value,2536108
77120,blank value,2536113
77118,blank value,2536111
77116,blank value,2536109
28955,blank value,2529765
28797,blank value,2529764
28972,blank value,2529778
28966,blank value,2529774
28971,blank value,2529777
28970,blank value,2529776
28969,blank value,2529775
77110,blank value,2536104
77113,blank value,2536107
77108,blank value,2536102
77104,blank value,2536099
77107,blank value,2536101
77102,blank value,2536097
77101,blank value,2536096
77100,blank value,2536095
18100,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>0102X8</td>
    </tr>

    </table>",2530017
18097,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>0102X4</td>
    </tr>

    </table>",2530015
18099,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>0102X6</td>
    </tr>

    </table>",2530016
30428,blank value,2529113
30236,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>07210-1008</td>
    </tr>

        <tr>
        <td>10010B-410</td>
    </tr>

        <tr>
        <td>107-0081</td>
    </tr>

        <tr>
        <td>29PO5-108</td>
    </tr>

        <tr>
        <td>309-108</td>
    </tr>

        <tr>
        <td>BPF43</td>
    </tr>

        <tr>
        <td>HDF-10-08</td>
    </tr>

        <tr>
        <td>JF/SF-10-08</td>
    </tr>

        <tr>
        <td>L287-1008</td>
    </tr>

    </table>",2529093
30237,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>07210-1010</td>
    </tr>

        <tr>
        <td>10010B-610</td>
    </tr>

        <tr>
        <td>107-0084</td>
    </tr>

        <tr>
        <td>287-1014</td>
    </tr>

        <tr>
        <td>2871014C</td>
    </tr>

        <tr>
        <td>29PO5-1010</td>
    </tr>

        <tr>
        <td>309-1010</td>
    </tr>

        <tr>
        <td>687-10-10</td>
    </tr>

        <tr>
        <td>HDF-10-10</td>
    </tr>

        <tr>
        <td>JF/SF-10-10</td>
    </tr>

        <tr>
        <td>L287-1010</td>
    </tr>

        <tr>
        <td>S687-10-10</td>
    </tr>

    </table>",2529094
30234,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>07210-0808</td>
    </tr>

        <tr>
        <td>10008B-408</td>
    </tr>

        <tr>
        <td>10008B-608</td>
    </tr>

        <tr>
        <td>107-0075</td>
    </tr>

        <tr>
        <td>287-0812</td>
    </tr>

        <tr>
        <td>2870812</td>
    </tr>

        <tr>
        <td>2870812C</td>
    </tr>

        <tr>
        <td>29PO5-88</td>
    </tr>

        <tr>
        <td>309-88</td>
    </tr>

        <tr>
        <td>687-8-8</td>
    </tr>

        <tr>
        <td>HDF-08-08</td>
    </tr>

        <tr>
        <td>JF/SF-08-08</td>
    </tr>

        <tr>
        <td>L287-0808</td>
    </tr>

        <tr>
        <td>S687-8-8</td>
    </tr>

    </table>",2529091
30427,blank value,2529112
30235,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>07210-0810</td>
    </tr>

        <tr>
        <td>107-0078</td>
    </tr>

        <tr>
        <td>287-0814</td>
    </tr>

        <tr>
        <td>2870814C</td>
    </tr>

        <tr>
        <td>29PO5-810</td>
    </tr>

        <tr>
        <td>309-810</td>
    </tr>

        <tr>
        <td>687-8-10</td>
    </tr>

        <tr>
        <td>HDF-08-10</td>
    </tr>

        <tr>
        <td>JF/SF-08-10</td>
    </tr>

        <tr>
        <td>L287-0810</td>
    </tr>

        <tr>
        <td>S687-8-10</td>
    </tr>

    </table>",2529092
30233,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>07210-0608</td>
    </tr>

        <tr>
        <td>107-0069</td>
    </tr>

        <tr>
        <td>287-0612</td>
    </tr>

        <tr>
        <td>2870612C</td>
    </tr>

        <tr>
        <td>29PO5-68</td>
    </tr>

        <tr>
        <td>309-68</td>
    </tr>

        <tr>
        <td>687-6-8</td>
    </tr>

        <tr>
        <td>HDF-06-08</td>
    </tr>

        <tr>
        <td>JF/SF-06-08</td>
    </tr>

        <tr>
        <td>L287-0608</td>
    </tr>

        <tr>
        <td>S687-6-8</td>
    </tr>

    </table>",2529090
30232,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>07210-0505</td>
    </tr>

        <tr>
        <td>10005B-405</td>
    </tr>

        <tr>
        <td>10005B-605</td>
    </tr>

        <tr>
        <td>29PO5-55</td>
    </tr>

        <tr>
        <td>309-55</td>
    </tr>

        <tr>
        <td>HDF-05-05</td>
    </tr>

        <tr>
        <td>JF/SF-05-05</td>
    </tr>

        <tr>
        <td>L287-0505</td>
    </tr>

    </table>",2529089
