catalog_number,industry_crossover_numbers,id
32351,blank value,2528642
32596,blank value,2538541
32592,blank value,2538540
32597,blank value,2538542
57275,blank value,2534368
57276,blank value,2534369
57274,blank value,2534367
57277,blank value,2534370
57135,blank value,2534354
57272,blank value,2534365
57273,blank value,2534366
57270,blank value,2534363
57271,blank value,2534364
57243,blank value,2534266
57242,blank value,2534265
57245,blank value,2534268
57244,blank value,2534267
57246,blank value,2534269
57247,blank value,2534270
65463,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>BR3025</td>
    </tr>

    </table>",2534954
65456,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>BR3020</td>
    </tr>

    </table>",2534947
65464,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>BR4020</td>
    </tr>

    </table>",2534955
65457,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>BR4030</td>
    </tr>

    </table>",2534948
65491,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>BR6040</td>
    </tr>

    </table>",2534958
65465,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>BR4025</td>
    </tr>

    </table>",2534956
55021612,blank value,2539870
55021620,blank value,2539872
28017,blank value,2528279
105420,blank value,2533967
105419,blank value,2533966
105418,blank value,2533965
105417,blank value,2533964
105416,blank value,2533963
105415,blank value,2533962
105414,blank value,2533961
105413,blank value,2533960
48089,blank value,2533110
48085,blank value,2533106
48087,blank value,2533108
48083,blank value,2533104
48086,blank value,2533107
48082,blank value,2533103
48084,blank value,2533105
48088,blank value,2533109
48094,blank value,2533114
48096,blank value,2533115
