id;catalog_number;description;add_descr;attributes
2887860;HWB-3660-95;Durham HWB-3660-95 14000# HD WORK BENCH #95 GRAY;nan;nan
2887864;HWBMT-364830-95;Durham HWBMT-364830-95 HD WB MACH TABLE 36X48X30 14K #95 GRAY;nan;nan
2887868;HWBMT-366034-95;Durham HWBMT-366034-95 HD WB MACH TABLE 36X60X34 14K #95 GRAY;nan;nan
2887872;JC-137-3S-1795;Durham JC-137-3S-1795 FDC 48X24X78 137B #17 3S 6^BA KH 95;nan;nan
2887876;JC-171-5295;Durham JC-171-5295 FDC 48X24X78 171B #52 6^BA KH 95;nan;nan
2887880;JC-482478-5S-95;Durham JC-482478-5S-95 FDC 48X24X78 5S 6^BA KH 95;nan;nan
2887884;JCBDLP694RDR-95;Durham JCBDLP694RDR-95 FDC 48X24X78 69B 1S 4D 12DS KH 95;nan;nan
2887888;JSC-602460-95;Durham JSC-602460-95 JOB-SITE STORAGE CAB #95 GRAY;nan;nan
2887892;LDO-2436-2-ALU-95;Durham LDO-2436-2-ALU-95 2SC 24X36 1.2K OH ALU 5PU RS SB 95;nan;nan
2887896;LDO-2448-2-ALU-95;Durham LDO-2448-2-ALU-95 2SC 24X48 1.2K OH ALU 5PU RS SB 95;nan;nan
2887900;LDO-3048-2-ALU-95;Durham LDO-3048-2-ALU-95 2SC 30X48 1.2K OH ALU 5PU RS SB 95;nan;nan
2887904;LDO-3060-3-95;Durham LDO-3060-3-95 3SC 30X60 1.2K OH BLU 5PU RS SB 95;nan;nan
2887908;LIC-3048-2-95;Durham LIC-3048-2-95 2SC 30X48 1.2K OH BLU 8PN RS RM 95;nan;nan
2887912;LPRSS-17.25X20-95;Durham LPRSS-17.25X20-95 LOUVERED PANEL STAND 17-1/4^ X 20^ #95 GRAY;nan;nan
2887916;LPRSS-34.5X68-95;Durham LPRSS-34.5X68-95 LOUVERED PANEL STAND 34-1/2^ X 68^ #95 GRAY;nan;nan
2887920;LPW-34.5X20-95;Durham LPW-34.5X20-95 LOUVERED PANEL WALL (2) 17.25^ x 20^ PANELS #95 GRAY;nan;nan
2887924;MAS-1548-95;Durham MAS-1548-95 MOBILE ADJ SHELF 14 3/8^ X 47 1/2^ #95 GRAY;nan;nan
2887928;MAS-3660-95;Durham MAS-3660-95 MOBILE ADJ SHELF 33 3/8^ X 59 1/2^ #95 GRAY;nan;nan
2887932;MSB12-2036-95;Durham MSB12-2036-95 MOBILE STORAGE BIN 12 CPT 20^X36^X45 1/2^ 6PH RS SB 95;nan;nan
2887936;MSD-2023-95;Durham MSD-2023-95 MOBILE SHOP DESK-1DR #95 GRAY;nan;nan
2887940;MT182436-2K195;Durham MT182436-2K195 MACH TBL 182436 2K 1SH #95;nan;nan
2887944;MT243618-2K195;Durham MT243618-2K195 MACH TBL 243618 2K 1SH #95;nan;nan
2887948;MT243630-2K395;Durham MT243630-2K395 MACH TBL 243630 2K 3SH #95;nan;nan
2887952;MT244824-2K195;Durham MT244824-2K195 MACH TBL 244824 2K 1SH #95;nan;nan
2887956;MT244836-3K295;Durham MT244836-3K295 MACH TBL 244836 3K 2SH #95;nan;nan
2887960;MT364836-3K295;Durham MT364836-3K295 MACH TBL 364836 3K 2SH #95;nan;nan
2887964;MTD182430-2K195;Durham MTD182430-2K195 MACH TBL DRW 182430 2K 1SH #95;nan;nan
2887968;MTD243624-2K195;Durham MTD243624-2K195 MACH TBL DRW 243624 2K 1SH #95;nan;nan
2887972;MTD244818-2K195;Durham MTD244818-2K195 MACH TBL DRW 244818 2K 1SH #95;nan;nan
2887976;MTD244842-2K195;Durham MTD244842-2K195 MACH TBL DRW 244842 2K 1SH #95;nan;nan
2887980;MTDM182436-2K195;Durham MTDM182436-2K195 MACH TBL DRW MBL 182436 2K 1SH 3PL #95;nan;nan
2887984;MTDM243630-2K195;Durham MTDM243630-2K195 MACH TBL DRW MBL 243630 2K 1SH 3PL #95;nan;nan
2887988;MTDM244824-2K195;Durham MTDM244824-2K195 MACH TBL DRW MBL 244824 2K 1SH 3PL #95;nan;nan
2887992;MTM182418-2K195;Durham MTM182418-2K195 MACH TBL MBL 182418 2K 1SH 3PL #95;nan;nan
2887996;MTM182442-2K195;Durham MTM182442-2K195 MACH TBL MBL 182442 2K 1SH 3PL #95;nan;nan
2888000;MTM243624-2K195;Durham MTM243624-2K195 MACH TBL MBL 243624 2K 1SH 3PL #95;nan;nan
2888004;MTM243636-2K195;Durham MTM243636-2K195 MACH TBL MBL 243636 2K 1SH 3PL #95;nan;nan
2888008;MTM244830-2K195;Durham MTM244830-2K195 MACH TBL MBL 244830 2K 1SH 3PL #95;nan;nan
2888012;MTM244842-2K195;Durham MTM244842-2K195 MACH TBL MBL 244842 2K 1SH 3PL #95;nan;nan
2888016;MTM367236-3K295;Durham MTM367236-3K295 MACH TBL MBL 367236 3K 2SH 3PL #95;nan;nan
2888020;OPC-2436-2-95;Durham OPC-2436-2-95 2SC 24X36X37 5/8 1.2K SH WS 5PU RS SB 95;nan;nan
2888024;OPC-3060-2-95;Durham OPC-3060-2-95 2SC 30X60X37 5/8 1.2K SH WS 5PU RS SB 95;nan;nan
2888028;OPT-4824-95;Durham OPT-4824-95 OPEN PORTABLE TRUCK 48X24 #95 GRAY;nan;nan
2888032;OPT-7230-95;Durham OPT-7230-95 OPEN PORTABLE TRUCK 72X30 #95 GRAY;nan;nan
2888036;PAT-36-4-14-95;Durham PAT-36-4-14-95 PAN & TRAY RACK 36^D 14 TRAY #95 GRAY;nan;nan
2888040;PSD-2430-3-95;Durham PSD-2430-3-95 3SC 24X30 1.2K LU 5PU RS 95;nan;nan
2888044;PSD-2436-3-2D-95;Durham PSD-2436-3-2D-95 3SC 24X36 1.2K SH LU 5PU 2DR 95;nan;nan
2888048;RB28-5-95;Durham RB28-5-95 RB28 5 SEC STEM ASY 34 1/8^ #95 GRAY;nan;nan
2888056;RB34-6-95;Durham RB34-6-95 RB34 6 SEC STEM ASY 49 3/4^ #95 GRAY;nan;nan
2888060;RB34BS-95;Durham RB34BS-95 RB34 BULK STORAGE #95 GRAY;nan;nan
2888064;RB44-5CPT-95;Durham RB44-5CPT-95 RB44 5 CPT #95 GRAY;nan;nan
2888068;RB58-95;Durham RB58-95 RB58 #95 GRAY;nan;nan
2888072;RIC-244850-3-95;Durham RIC-244850-3-95 3SC 24X48X50 1.2K SH LD 8PN RS RM 95;nan;nan
2888076;RIC-367250-3-95;Durham RIC-367250-3-95 3SC 36X72X50 1.2K SH LD 8PN RS RM 95;nan;nan
2888080;RSC-1830-2-3K-TLD-95;Durham RSC-1830-2-3K-TLD-95 2SC 18X30 3K SH TLD 6PH RS 95;nan;nan
2888084;RSC-1836-2-3K-TLD-95;Durham RSC-1836-2-3K-TLD-95 2SC 18X36 3K SH TLD 6PH RS 95;nan;nan
2888088;RSC-1836-BLP-112-210-95;Durham RSC-1836-BLP-112-210-95 2SC 18X36 1.2K SH LU LP 5PU 112B 95;nan;nan
2888092;RSC-2436-2-2.4K-ALU-FL-95;Durham RSC-2436-2-2.4K-ALU-FL-95 2SC 24X36 2.4K SH ALU 6PH RS FL 95;nan;nan
2888096;RSC-2436-2-LP-2DR-32B-95;Durham RSC-2436-2-LP-2DR-32B-95 2SC 24X36 SH LU 5PU 2DR 32B 95;nan;nan
2888100;RSC-2436-3-95;Durham RSC-2436-3-95 3SC 24X36 1.2K SH LU 5PU RS 95;nan;nan
2888104;RSC-2436-BLP-48-230-95;Durham RSC-2436-BLP-48-230-95 2SC 24X36 1.2K SH LU LP 5PU 48B 95;nan;nan
2888108;RSC-2448-2-3K-TLD-95;Durham RSC-2448-2-3K-TLD-95 2SC 24X48 3K SH TLD 6PH RS 95;nan;nan
2888112;RSC-2448-3-95;Durham RSC-2448-3-95 3SC 24X48 1.2K SH LU 5PU RS 95;nan;nan
2888116;RSC-2448-5-95;Durham RSC-2448-5-95 5SC 24X48 1.2K SH LU 5PU RS 95;nan;nan
2888120;RSC-3048-2-3K-TLD-95;Durham RSC-3048-2-3K-TLD-95 2SC 30X48 3K SH TLD 6PH RS 95;nan;nan
2888124;RSC-3060-2-2.4K-ALU-FL-95;Durham RSC-3060-2-2.4K-ALU-FL-95 2SC 30X60 2.4K SH ALU 6PH RS FL 95;nan;nan
2888128;RSC-3060-3-3K-TLD-95;Durham RSC-3060-3-3K-TLD-95 3SC 30X60 3K SH TLD 6PH RS 95;nan;nan
2888132;RSC-3060-5-95;Durham RSC-3060-5-95 5SC 30X60 1.2K SH LU 5PU RS 95;nan;nan
2888136;RSC3-2436-2-3.6K-95;Durham RSC3-2436-2-3.6K-95 2SC 24X36X38-5/8 3.6K 3^LU SH 6PH RS 95;nan;nan
2888140;RSC6-1830-2-3.6K-95;Durham RSC6-1830-2-3.6K-95 2SC 18X30X38-5/8 3.6K 6^LU SH 6PH RS 95;nan;nan
2888144;RSC6-2436-2-95;Durham RSC6-2436-2-95 2SC 24X36X35 1.2K 6^LU SH 5PU RS 95;nan;nan
2888148;RSCE-1830-2-3.6K-TLD-95;Durham RSCE-1830-2-3.6K-TLD-95 2SC 18X30 3.6K ERG TLD 6PH RSSB 95;nan;nan
2888156;RSCE-2436-2-3.6K-95;Durham RSCE-2436-2-3.6K-95 2SC 24X36 3.6K ERG ALU 6PH RS SB95;nan;nan
2888160;RSCE-2436-2-TLD-95;Durham RSCE-2436-2-TLD-95 2SC 24X36 1.2K ERG TLD 5PU RS  SB 95;nan;nan
2888164;RSCE-2448-2-95;Durham RSCE-2448-2-95 2SC 24X48 1.2K ERG ALU 5PU RS SB 95;nan;nan
2888168;RSCE-3048-2-3.6K-TLD-95;Durham RSCE-3048-2-3.6K-TLD-95 2SC 30X48 3.6K ERG TLD 6PH RS SB 95;nan;nan
2888172;RSCE-3060-2-3.6K-ALD-95;Durham RSCE-3060-2-3.6K-ALD-95 2SCE 30X60 3.6K ERG ALD 6PH RS SB 95;nan;nan
2888176;RSCR-2436-95;Durham RSCR-2436-95 2SC 24X36 1.5K RHSH LU 8PN RS 95;nan;nan
2888180;RSCR-3048-95;Durham RSCR-3048-95 2SC 30X48 1.5K RH SH LU 8PN RS 95;nan;nan
2888184;RSIC-2436-2-5PU-95;Durham RSIC-2436-2-5PU-95 2RSIC 24X36 1.2K SH ALD 5PU RS RM ES 95;nan;nan
2888188;SJC-BDLP-192-5295;Durham SJC-BDLP-192-5295 DDC 48X24X84 192B #52 KH 95;nan;nan
2888192;SJC-DLP-4S-14DS-95;Durham SJC-DLP-4S-14DS-95 DDC 48X24X84 4S 14DS KH 95;nan;nan
2888196;SSC-185-3S-NL-1795;Durham SSC-185-3S-NL-1795 FDC 60X24X78 185B #17 3S PH N/LEGS 95^;nan;nan
2888200;SSC-227-5295;Durham SSC-227-5295 FDC 60X24X84 227B #52 6^BA PH 95;nan;nan
2888204;SSC-227-NL-95;Durham SSC-227-NL-95 FDC 60X24X84 227B NL PH 95;nan;nan
2888208;SSC-602484-BDLP-3S-95;Durham SSC-602484-BDLP-3S-95 FDC 60X24X84 3S 6^BA PH 95;nan;nan
2888212;SSC-722484-BDLP-212-3S-95;Durham SSC-722484-BDLP-212-3S-95 FDC 72X24X84 212B 3SH 6^BA PH 95;nan;nan
2888216;SSC-722484-BDLP-3S-95;Durham SSC-722484-BDLP-3S-95 FDC 72X24X84 BDLP 6^BA PH 3S 95;nan;nan
2888228;WBF-3072-95;Durham WBF-3072-95 ERGO FOLDING LEG WORK BENCH 30X72 #95 GRAY;nan;nan
2888232;WBF-3672-95;Durham WBF-3672-95 ERGO FOLDING LEG WORK BENCH 36X72 #95 GRAY;nan;nan
2888236;WBF-TH-30120-95;Durham WBF-TH-30120-95 FOLDING LEG WORKBENCH TEMP HDBD 30X120 #95 GRAY;nan;nan
2888240;WBF-TH-36120-95;Durham WBF-TH-36120-95 FOLDING LEG WORKBENCH TEMP HDBD 36X120 #95 GRAY;nan;nan
2888244;WBF-TH-48120-95;Durham WBF-TH-48120-95 FOLDING LEG WORKBENCH TEMP HDBD 48X120 #95 GRAY;nan;nan
2888248;WB-SHELF-72-95;Durham WB-SHELF-72-95 12^ X 68 1/2^ WK BENCH SH FOR 72^ #95;nan;nan
2888252;102-95;Durham 102-95 DL 24 W/C #95 GRAY;nan;nan
2888256;111-95;Durham 111-95 DL 20 W/C #95 GRAY;nan;nan
2888264;124-95-16-4/PK;Durham 124-95-16-4/PK SCOOP DL16 #195 4-PACK;nan;nan
2888268;125-95;Durham 125-95 DL 6 W/C HOR #95 GRAY;nan;nan
2888284;211-95;Durham 211-95 DS 12 W/C #95 GRAY;nan;nan
2888288;227-95;Durham 227-95 DS 17 W/C #95 GRAY;nan;nan
2888292;510-43-B;Durham 510-43-B 36 UNIT#43CENTER PART;nan;nan
2888296;PB30161-08;Durham PB30161-08 PB DIVVERT PKG OF 6 BLACK PB30210 BIN;nan;nan
2888300;PB30172-08;Durham PB30172-08 PB DIV HORZ PKG OF 6 BLACK PB30230 BIN;nan;nan
2888304;PB30250-17;Durham PB30250-17 PLASTIC BIN 16W X 15L X 7H #17 RED;nan;nan
2888308;SP12-CLEAR;Durham SP12-CLEAR 12 CPT.CLEAR POLYPRO;nan;nan
2888312;SPADJ-CLEAR;Durham SPADJ-CLEAR ADJ. SP W/15 DIV CLR;nan;nan
2888320;521-43-A;Durham 521-43-A 60 KIT METAL 4 1/4^ PARTITION;nan;nan
2888324;B476-43-HIPS;Durham B476-43-HIPS 24 UHIPSPP HDL/HGR;nan;nan
2888328;PB30240-17;Durham PB30240-17 PLASTIC BIN 8W X 15L X 7H #17 RED;nan;nan
2888332;319-95-DIV;Durham 319-95-DIV MB-18 DIVIDER #95 GRAY;nan;nan
2888336;1270;Durham 1270 RB28 PIN WASHER BEARING SET;nan;nan
2888340;609;Durham 609 TB4/TB9 LOCKING HINGE;nan;nan
2888344;502-43;Durham 502-43 10 UNIT METAL KIT;nan;nan
2888348;PB30210-17;Durham PB30210-17 PLASTIC BIN 4W X 5L X 3H #17 RED;nan;nan
2888360;H320;Durham H320 X44UB MED CAB LOCK & KEY;nan;nan
2888364;224-D841;Durham 224-D841 ADL COVER LABEL;nan;nan
2888372;224-D851;Durham 224-D851 DL-24 COVER LABEL;nan;nan
2888376;224-D859;Durham 224-D859 DS-12 COVER LABEL;nan;nan
2888380;224-D864;Durham 224-D864 DL6H COVER LABEL;nan;nan
2888384;498-43;Durham 498-43 SUPER POCKET KIT#43;nan;nan
2886862;001-95;Durham 001-95 6 DV CABINET#95 GRAY;nan;nan
2886866;005-95;Durham 005-95 18 D CABINET#95 GRAY;nan;nan
2886870;013-95;Durham 013-95 12 D CABINET#95 GRAY;nan;nan
2886874;019-95;Durham 019-95 72 D UNIT #95 GRAY;nan;nan
2886878;025-95;Durham 025-95 60 DR11 ASY. UNIT #95 GRAY;nan;nan
2886882;029-95;Durham 029-95 90 DR17 ASY. UNIT #95 GRAY;nan;nan
2886886;033-95;Durham 033-95 24DR17 CAB #95 GRAY;nan;nan
2886890;052-50;Durham 052-50 SPILL CAB#50 YELLOW;nan;nan
2886894;057-50;Durham 057-50 LG SPILL#50 YELLOW;nan;nan
2886898;099-95-IND;Durham 099-95-IND ADLH-C #95 GRAY IND CTN;nan;nan
2886902;1012M-50;Durham 1012M-50 FSC 12 GAL. 1 MAN DR 23^X18^X35^ #50 YEL;nan;nan
2886910;1016SL-50;Durham 1016SL-50 FSC 16 GAL. 1 SC DR W/LEGS 23^X18^X51 3/8^ #50 YEL;nan;nan
2886914;1030/1045-GP;Durham 1030/1045-GP FFS SH-PAN 13^ X 39^ X .055 NOM GALV FORM;nan;nan
2886926;1060S-50;Durham 1060S-50 FSC 60 GAL. 2 SC DR 34^X34^X66-3/8^ #50 YEL;nan;nan
2886930;1090M-50;Durham 1090M-50 FSC 90 GAL. 2 MAN DR 43^X34^X65^ #50 YEL;nan;nan
2886934;109-95-IND;Durham 109-95-IND DL 21 W/C#95 GRAYIND;nan;nan
2886938;1110-95;Durham 1110-95 RB17 10 SECTION #95 GRAY;nan;nan
2886942;115-95-IND;Durham 115-95-IND DL 12-C #95 GRAY IND;nan;nan
2886950;124-95-16;Durham 124-95-16 SCOOPDL 16#95 GRAY;nan;nan
2886954;124-95-32;Durham 124-95-32 SCOOPDL 32#95 GRAY;nan;nan
2886958;125-95-IND;Durham 125-95-IND DL 6 HOR-C#95 GRAYIND;nan;nan
2886962;177-DRAWER-95;Durham 177-DRAWER-95 #177 WORK BENCH DRAWER W/CASE #95 GRAY;nan;nan
2886966;204-95-IND;Durham 204-95-IND DS 21-C#95 GRAYIND;nan;nan
2886970;213-95-IND;Durham 213-95-IND DS 8-C#95 GRAYIND;nan;nan
2886974;2202-95;Durham 2202-95 EMC 18X24 PH 4DR 5PU #95;nan;nan
2886978;2210A-32B-LU-95;Durham 2210A-32B-LU-95 EMC 18X36 PH 2D 1SH LP 32B LU 5PU SB #95;nan;nan
2886982;2211A-LU-95;Durham 2211A-LU-95 EMC 18X36 PH 1D 1SH 4DRLU 5PU #95;nan;nan
2886986;2212A-BLP-8B-LU-95;Durham 2212A-BLP-8B-LU-95 EMC 18X36 PH 1D BLP 1SH 1DR 8B LU 5PU #95;nan;nan
2886990;2220-95;Durham 2220-95 EMC 18X48 PH 2D 1SH 5PU #95;nan;nan
2886994;229-95-08;Durham 229-95-08 SCOOPDS 8#95 GRAY;nan;nan
2886998;229-95-20;Durham 229-95-20 SCOOPDS 20#95 GRAY;nan;nan
2887002;2500-138B-1795;Durham 2500-138B-1795 FDC 16GA 24X36X84 BDLP 138B#17 KH 95;nan;nan
2887010;2501-BDLP-126-1795;Durham 2501-BDLP-126-1795 FDC 16GA 24X36X72 BDLP 126B#17 KH 95;nan;nan
2887014;2501M-BLP-12-2S-5295;Durham 2501M-BLP-12-2S-5295 FDC 16GA 24X36X80 MOBILE BLP 12B #522S 6PH RS SB 95;nan;nan
2887018;2501M-BLP-30-95;Durham 2501M-BLP-30-95 FDC 16GA 24X36X80 MOBILE BLP 30B 6PH RS SB 95;nan;nan
2887022;2502-138-3S-95;Durham 2502-138-3S-95 FDC 16GA 24X48X72 BDLP 138B 3S KH 95;nan;nan
2887026;2502-4S-95;Durham 2502-4S-95 FDC 16GA 24X48X72 4S KH 95;nan;nan
2887030;2502M-BLP-42-1795;Durham 2502M-BLP-42-1795 FDC 16GA 24X48X80 MOBILE BLP 42B #17 6PH RS SB 95;nan;nan
2887034;2503-2S-95;Durham 2503-2S-95 FDC 16GA 24X36X42 2S KH 95;nan;nan
2887038;2600-2S-95;Durham 2600-2S-95 FDC 16GA 18X36X48 2S KH 95;nan;nan
2887042;2603-156B-5295;Durham 2603-156B-5295 FDC 16GA 18X36X84 BDLP 156B#52 KH 95;nan;nan
2887046;2703-4S-95;Durham 2703-4S-95 14G-HDC 18X48X78 4S 6^BA CH 95;nan;nan
2887050;297-95;Durham 297-95 WIRE TERMINAL CABINET #95 GRAY;nan;nan
2887054;2SPT-3048-2-2K-95;Durham 2SPT-3048-2-2K-95 TWO SIDED PKG TRUCK 30X48 2 SHELF #95;nan;nan
2887058;300-95;Durham 300-95 AEROSOL CAN CABINET #95 GRAY;nan;nan
2887062;303-2S-95;Durham 303-2S-95 4 LR SHELL W/2 SHELVES #95 GRAY;nan;nan
2887070;306-95;Durham 306-95 2 SR #95 GRAY;nan;nan
2887074;3100-3P-95;"Durham 3100-3P-95 OBS;PFDC 24X36X36.75 PH DD 1SH 3PL KH #95";nan;nan
2887078;3100-BLP-95;Durham 3100-BLP-95 PFDC 24X36X40.5 PH DD BLP 6PH KH #95;nan;nan
2887082;311B/305B-95;Durham 311B/305B-95 STAND FOR 305B #95 GRAY;nan;nan
2887094;338-95;Durham 338-95 12^ STORAGE CAB SB #95 GRAY;nan;nan
2887098;3403-95;Durham 3403-95 FDC 24X48 1S SH 2D VS #95;nan;nan
2887102;344-95;Durham 344-95 9^ 32 BIN #95 GRAY;nan;nan
2887106;3500-138B-5295;Durham 3500-138B-5295 FDC 36X24X84 BDLP 138B#52 2S KH 95;nan;nan
2887114;3501584RDR-1795;Durham 3501584RDR-1795 FDC 36X24X72 58B #17 1S 4D 12DS KH 95;nan;nan
2887118;3501-BDLP-102-3S-1795;Durham 3501-BDLP-102-3S-1795 FDC 36X24X72 102B #17 3S KH 95;nan;nan
2887122;3501-BDLP-132-5295;Durham 3501-BDLP-132-5295 FDC 36X24X72 132B #52 KH 95;nan;nan
2887126;3501-DLP-60DR11-96-2S1795;Durham 3501-DLP-60DR11-96-2S1795 FDC 36X24X72 96B #17 2S 60DR KH 95;nan;nan
2887130;3501-DLP-72/40B-96-5295;Durham 3501-DLP-72/40B-96-5295 FDC 36X24X72 96B #52 72/40B KH 95;nan;nan
2887134;3501-DLP-PB-96-2S-95;Durham 3501-DLP-PB-96-2S-95 FDC 36X24X72 2S PB DLP 96B KH 95;nan;nan
2887138;3501M-BLP-12-2S-95;Durham 3501M-BLP-12-2S-95 FDC 14GA 24X36X80 MOBILE BLP 12B2S 6PH RS SB 95;nan;nan
2887142;3501M-BLP-4S-95;Durham 3501M-BLP-4S-95 FDC 14GA 24X36X80 MOBILE BLP 4S 6PH RS SB 95;nan;nan
2887146;3502-186-1795;Durham 3502-186-1795 FDC 48X24X72 BDLP186B#17 KH 95;nan;nan
2887150;3502-95;Durham 3502-95 FDC 48X24X72 3S KH 95;nan;nan
2887154;3502M-BLP-42-1795;Durham 3502M-BLP-42-1795 FDC 14GA 24X48X80 MOBILE BLP 42B #17 6PH RS SB 95;nan;nan
2887158;3503-95;Durham 3503-95 FDC 36X24X42 2S KH 95;nan;nan
2887162;354-95;Durham 354-95 18 BIN SB #95 GRAY;nan;nan
2887166;359-95;Durham 359-95 40 BIN SB #95 GRAY;nan;nan
2887170;3602-BLP-14-2S-1795;Durham 3602-BLP-14-2S-1795 FDC 36X18X72 14B #17 2S KH 95;nan;nan
2887175;3602-BLP-36-5295;Durham 3602-BLP-36-5295 FDC 36X18X72 36B #52 KH 95;nan;nan
2887179;3603-156B-5295;Durham 3603-156B-5295 FDC 36X18X84 BDLP 156B#52 KH 95;nan;nan
2887183;361-95;Durham 361-95 56 BIN SB #95 GRAY;nan;nan
2887187;364-08-N/HOLES;Durham 364-08-N/HOLES 12^BBC#08NO HOLES;nan;nan
2887191;365-95;Durham 365-95 DOORS72/56/42#95 GRAY;nan;nan
2887195;369-D697;Durham 369-D697 STAINLESS STL BIN LABELS;nan;nan
2887199;3702-132-5295;Durham 3702-132-5295 14G-HDC 24X36X78 132B 6^BA CH 95 W/ BLUE BINS;nan;nan
2887203;3702-16-3S-95;Durham 3702-16-3S-95 14G-HDC 24X36X7816B 3S 6^BA CH 95;nan;nan
2887207;3702CXC-30B-5295;Durham 3702CXC-30B-5295 14G-HDC 24X36X78 L.DR. CLR BLP 30B #52 6^BA COMP-X CH 95;nan;nan
2887211;3703CX-BLP4S-95;Durham 3703CX-BLP4S-95 14G-HDC 24X48X78 BLP 4S 6^ BA COMP-X CH 95;nan;nan
2887215;3703CXC-BLP4S-95;Durham 3703CXC-BLP4S-95 14G-HDC 24X48X78 L.DR. CLR BLP 4S 6^ BA COMP-X CH 95;nan;nan
2887219;3704CXC-54B-5295;Durham 3704CXC-54B-5295 14G-HDC 24X60X78 L.DR. CLR BLP 54B #52 6^ BA COMP-X CH 95;nan;nan
2887223;373-D705;Durham 373-D705 USS CAP SCREW6 PAGES;nan;nan
2887227;382-95;Durham 382-95 9^BBC72/56#95 GRAY;nan;nan
2887231;393-95;Durham 393-95 9^ 8 BIN #95 GRAY;nan;nan
2887235;3952-4S-95;Durham 3952-4S-95 BFD 18X36X84 4S PLDH 95;nan;nan
2887239;397-95;Durham 397-95 10 BIN SB #95 GRAY;nan;nan
2887243;3SLT-1836-2K-95;Durham 3SLT-1836-2K-95 THREE SIDED LOW TRUCK 18X36 2K 6PH RS SB #95 GRAY;nan;nan
2887247;3SLT-2448-2K-95;Durham 3SLT-2448-2K-95 THREE SIDED LOW TRUCK 24X48 2K 6PH RS SB #95 GRAY;nan;nan
2887251;3ST-EX2460-95;Durham 3ST-EX2460-95 3 SIDED TRK EXP MTL24X60 6PH #95 GRAY;nan;nan
2887255;3ST-EX3048-95;Durham 3ST-EX3048-95 3 SIDED TRK EXP MTL30X48 #95 GRAY;nan;nan
2887259;3ST-EX3060-95;Durham 3ST-EX3060-95 3 SIDED TRK EXP MTL30X60 #95 GRAY;nan;nan
2887263;3ST-EX3660-95;Durham 3ST-EX3660-95 3 SIDED TRK EXP MTL36X60 #95 GRAY;nan;nan
2887267;3ST-EX3672-95;Durham 3ST-EX3672-95 3 SIDED TRK EXP MTL36X72 #95 GRAY;nan;nan
2887271;400-55;Durham 400-55 #20 LIT RACK #55 BURGUNDY;nan;nan
2887275;401-10;Durham 401-10 #31 LIT RACK#10 BLUE;nan;nan
2887279;401-95;Durham 401-95 #31 LIT RACK#95 GRAY;nan;nan
2887283;402-55;Durham 402-55 #32 LIT RACK#55 BURGUNDY;nan;nan
2887287;403-10;Durham 403-10 #33 LIT RACK#10 BLUE;nan;nan
2887291;403-95;Durham 403-95 #33 LIT RACK#95 GRAY;nan;nan
2887295;405-75;Durham 405-75 #32-12 LIT RACK#75 TAN;nan;nan
2887299;406-75;Durham 406-75 #34-12 LIT RACK#75 TAN;nan;nan
2887303;407-75-A;Durham 407-75-A 3212/2012 LEG#75 TAN;nan;nan
2887307;408-54-A;Durham 408-54-A LIT RACK LEGASSEMBLED;nan;nan
2887311;411-08;Durham 411-08 #20-12 LIT RACK#8 BLACK;nan;nan
2887315;422-08;Durham 422-08 2033/8020/8831BASE ONLY;nan;nan
2887319;423-08;Durham 423-08 4032#8 BLACKBASE ONLY;nan;nan
2887323;431-08;Durham 431-08 HLR-9 #08 BLACK;nan;nan
2887327;434-08;Durham 434-08 HLR-15 #8 BLACK;nan;nan
2887331;4SLT-2436-1.2K-95;Durham 4SLT-2436-1.2K-95 FOUR SIDED LOW TRUCK 24X36 RS SB #95 GRAY;nan;nan
2887335;4SLT-3048-2K-95;Durham 4SLT-3048-2K-95 FOUR SIDED LOW TRUCK 30X48 2K 6PH RS SB #95 GRAY;nan;nan
2887339;4STE-EX-3060-95;Durham 4STE-EX-3060-95 4ST 30X60 EX 2K ERG SH 6PH RS 95;nan;nan
2887343;4STE-SM-3060-95;Durham 4STE-SM-3060-95 4ST 30X60 SM 2K ERG SH 6PH RS 95;nan;nan
2887347;5002-3S-95;Durham 5002-3S-95 12G-SHELVING 18X36X60 3S #1350 95;nan;nan
2887351;5003-4S-95;Durham 5003-4S-95 12G-SHELVING 18X36X72 4S #1350 95;nan;nan
2887355;5006-3S-95;Durham 5006-3S-95 12G-SHELVING 18X48X60 3S #850 95;nan;nan
2887359;5007-4S-95;Durham 5007-4S-95 12G-SHELVING 18X48X72 4S #850 95;nan;nan
2887363;5010-3S-95;Durham 5010-3S-95 12G-SHELVING 24X36X60 3S #1900 95;nan;nan
2887367;5011-4S-95;Durham 5011-4S-95 12G-SHELVING 24X36X72 4S #1900 95;nan;nan
2887371;5014-3S-95;Durham 5014-3S-95 12G-SHELVING 24X48X60 3S #1200 95;nan;nan
2887375;5015-4S-95;Durham 5015-4S-95 12G-SHELVING 24X48X72 4S #1200 95;nan;nan
2887379;5018-42-95;Durham 5018-42-95 12G-SHELVING 24X60X60 42B #21 95;nan;nan
2887383;5019-54-95;Durham 5019-54-95 12G-SHELVING 24X60X72 54B #21 95;nan;nan
2887387;5022-48-95;Durham 5022-48-95 12G-SHELVING 24X72X60 48B #21 95;nan;nan
2887391;5023-72-95;Durham 5023-72-95 12G-SHELVING 24X72X72 72B #21 95;nan;nan
2887395;529-D831;Durham 529-D831 BLUE FIRST AID LABEL;nan;nan
