id;catalog_number;description;add_descr;attributes
2887123;3501-BDLP-132-95;Durham 3501-BDLP-132-95 FDC 36X24X72 132B KH 95;nan;nan
2887127;3501-DLP-60DR11-96-2S5295;Durham 3501-DLP-60DR11-96-2S5295 FDC 36X24X72 96B #52 2S 60DR KH 95;nan;nan
2887135;3501-HDL-50;Durham 3501-HDL-50 FDC-LOCKER 36X24X78 4S KH 50 YELLOW;nan;nan
2887139;3501M-BLP-30-1795;Durham 3501M-BLP-30-1795 FDC 14GA 24X36X80 MOBILE BLP 30B #17 6PH RS SB 95;nan;nan
2887143;3502-138-3S-1795;Durham 3502-138-3S-1795 FDC 48X24X72 BDLP 138B#17 3S KH 95;nan;nan
2887147;3502-186-5295;Durham 3502-186-5295 FDC 48X24X72 BDLP186B#52 KH 95;nan;nan
2887151;3502M-BLP-18-2S-1795;Durham 3502M-BLP-18-2S-1795 FDC 14GA 24X48X80 MOBILE BLP 18B #17 2S 6PH RS SB 95;nan;nan
2887155;3502M-BLP-42-5295;Durham 3502M-BLP-42-5295 FDC 14GA 24X48X80 MOBILE BLP 42B #52 6PH RS SB 95;nan;nan
2887159;350-95;Durham 350-95 9^72 BINONE PIECE#95;nan;nan
2887163;356-95;Durham 356-95 24 BIN SB #95 GRAY;nan;nan
2887167;3600-95;Durham 3600-95 FDC 36X18X48 2S KH 95;nan;nan
2887171;3602-BLP-14-2S-5295;Durham 3602-BLP-14-2S-5295 FDC 36X18X72 14B #52 2S KH 95;nan;nan
2887176;3602-BLP-36-95;Durham 3602-BLP-36-95 FDC 36X18X72 36B KH 95;nan;nan
2887184;362-95;Durham 362-95 30/60/90DR17 BASE #95 GRAY;nan;nan
2887188;364-75-N/HOLES;Durham 364-75-N/HOLES 12^BBC#75NO HOLES;nan;nan
2887192;366-95;Durham 366-95 24/40 BIN DOORS #95 GRAY;nan;nan
2887196;3700-2S-95;Durham 3700-2S-95 14G-HDC 24X36X42 2S 6^BA CH 95;nan;nan
2887200;3702-132-95;Durham 3702-132-95 14G-HDC 24X36X78 132B 6^BA CH 95;nan;nan
2887204;3702-4S-95;Durham 3702-4S-95 14G-HDC 24X36X78 4S 6^BA CH 95;nan;nan
2887208;3702CXC-30B-95;Durham 3702CXC-30B-95 14G-HDC 24X36X78 L.DR. CLR BLP 30B 6^BA COMP-X CH 95;nan;nan
2887212;3703CXC-42B-1795;Durham 3703CXC-42B-1795 14G-HDC 24X48X78 L.DR. CLR BLP 42B#17 6^ BA COMP-X CH 95;nan;nan
2887216;3704-4S-95;Durham 3704-4S-95 14G-HDC 24X60X78 4S 6^BA CH 95;nan;nan
2887220;3704CXC-54B-95;Durham 3704CXC-54B-95 14G-HDC 24X60X78 L.DR. CLR BLP 54B 6^ BA COMP-X CH 95;nan;nan
2887224;375-D706;Durham 375-D706 SAE CAP SCREW6 PAGES;nan;nan
2887228;383-95;Durham 383-95 WSR-1 #95 GRAY;nan;nan
