id,catalog_number,attributes
247622,J 2 11/16,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-11/16\"""""
247626,J 2 3/4,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-3/4\"""""
247634,J 3 1/2,"""Keyway""=>""7/8\"" x 7/16\"""", ""Bore Size""=>""3-1/2\"""""
247638,J 3 13/16,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""3-13/16\"""""
247654,J 4 3/16,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""4-3/16\"""""
247714,JA 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
247722,JA 9/16,"""Keyway""=>""1/8\"" x 1/16 \"""", ""Bore Size""=>""9/16\"""""
247734,M 2 1/2,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-1/2\"""""
247742,M 2 3/8,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-3/8\"""""
247746,M 2 7/8,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""2-7/8\"""""
247750,M 3 1/4,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""3-1/4\"""""
247368,E 3 5/16,"""Keyway""=>""7/8\"" x 1/16\"""", ""Bore Size""=>""3-5/16\"""""
247380,E 7/8,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""7/8\"""""
247432,F 1,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1\"""""
247456,F 2 13/16,"""Keyway""=>""3/4\"" x 1/16\"""", ""Bore Size""=>""2-13/16\"""""
247464,F 2 7/8,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""2-7/8\"""""
247468,F 3 1/4,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""3-1/4\"""""
247608,J 1 3/4,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-3/4\"""""
247612,J 1 7/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-7/16\"""""
247616,J 2,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2\"""""
247620,J 2 1/4 5/8K,nan
247624,J 2 15/16,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""2-15/16\"""""
247628,J 2 5/16,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-5/16\"""""
247636,J 3 1/8,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""3-1/8\"""""
247644,J 3 5/16,"""Keyway""=>""7/8\"" x 7/16\"""", ""Bore Size""=>""3-5/16\"""""
247652,J 4 1/4,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""4-1/4\"""""
247732,M 1 7/8,nan
247740,M 2 3/16,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2-3/16\"""""
247744,M 2 5/8,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-5/8\"""""
247752,M 3 11/16,"""Keyway""=>""7/8\"" x 7/16\"""", ""Bore Size""=>""3-11/16\"""""
247764,M 4 1/2,"""Keyway""=>""1\"" x 1/2\"""", ""Bore Size""=>""4-1/2\"""""
247772,M 4 3/8,"""Keyway""=>""1\"" x 1/2\"""", ""Bore Size""=>""4-3/8\"""""
247776,M 4 7/8,"""Keyway""=>""1-1/4\"" x 1/4\"""", ""Bore Size""=>""4-7/8\"""""
247780,M 5 1/2,"""Keyway""=>""1-1/4\"" x 1/4\"""", ""Bore Size""=>""5-1/2\"""""
247479,F 3 7/8,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""3-7/8\"""""
247599,HU0,nan
247603,J 1 1/2,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-1/2\"""""
247607,J 1 15/16,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""1-15/16\"""""
247619,J 2 1/4,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2-1/4\"""""
247627,J 2 3/8,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-3/8\"""""
247631,J 2 7/8,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""2-7/8\"""""
247639,J 3 15/16,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""3-15/16\"""""
247643,J 3 3/8 3/4K,nan
247647,J 3 7/8,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""3-7/8\"""""
247651,J 4 1/2,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""4-1/2\"""""
247655,J 4 3/8,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""4-3/8\"""""
247637,J 3 11/16,"""Keyway""=>""7/8\"" x 7/16\"""", ""Bore Size""=>""3-11/16\"""""
247649,J 4,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""4\"""""
247653,J 4 1/8,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""4-1/8\"""""
247657,J 4 7/16,"""Keyway""=>""1\"" x 1/8\"""", ""Bore Size""=>""4-7/16\"""""
247709,JA 1 1/16,"""Keyway""=>""1/4\"" x 1/16\"""", ""Bore Size""=>""1 -1/16\"""""
247733,M 2,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2\"""""
247737,M 2 11/16,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-11/16\"""""
247741,M 2 3/4,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-3/4\"""""
247745,M 2 7/16,"""Keyway""=>""5/8\"" x 5/16\"""", ""Bore Size""=>""2-7/16\"""""
247757,M 3 3/8,"""Keyway""=>""7/8\"" x 7/16\"""", ""Bore Size""=>""3-3/8\"""""
247765,M 4 1/4,"""Keyway""=>""1\"" x 1/2\"""", ""Bore Size""=>""4-1/4\"""""
247781,M 5 1/4,"""Keyway""=>""1-1/4\"" x 1/4\"""", ""Bore Size""=>""5-1/4\"""""
247766,M 4 1/8,"""Keyway""=>""1\"" x 1/2\"""", ""Bore Size""=>""4-1/8\"""""
247770,M 4 3/16,"""Keyway""=>""1\"" x 1/2\"""", ""Bore Size""=>""4-3/16\"""""
247774,M 4 5/8,"""Keyway""=>""1-1/4\"" x 5/8\"""", ""Bore Size""=>""4-5/8\"""""
247778,M 5,"""Keyway""=>""1-1/4\"" x 1/4\"""", ""Bore Size""=>""5\"""""
258662,100BTB11H,nan
248040,MS050 7/16,nan
247711,JA 1 1/8,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/8\"""""
247735,M 2 1/4,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""2-1/4\"""""
247739,M 2 15/16,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""2-15/16\"""""
247751,M 3 1/8,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""3-1/8\"""""
247755,M 3 3/16,"""Keyway""=>""3/4\"" x 3/8\"""", ""Bore Size""=>""3-3/16\"""""
247759,M 3 5/8,"""Keyway""=>""7/8\"" x 7/16\"""", ""Bore Size""=>""3-5/8\"""""
247763,M 4,"""Keyway""=>""1\"" x 1/2\"""", ""Bore Size""=>""4\"""""
247767,M 4 11/16,"""Keyway""=>""1-1/4\"" x 5/8\"""", ""Bore Size""=>""4-11/16\"""""
247771,M 4 3/4,"""Keyway""=>""1-1/4\"" x 5/8\"""", ""Bore Size""=>""4-3/4\"""""
247783,M 5 3/16,"""Keyway""=>""1-1/4\"" x 1/4\"""", ""Bore Size""=>""5-3/16\"""""
248025,ML225BLK 1 3/8,nan
248041,MS050 9/16,nan
258785,1.00E+42,nan
258789,1.00E+56,nan
248042,MS070 1/2,nan
258762,1.00E+22,nan
258766,1.00E+24,nan
258774,1.00E+28,nan
258778,1.00E+30,nan
258782,1.00E+34,nan
258786,1.00E+44,nan
258790,1.00E+62,nan
248222,MS225BLK 1 3/8,nan
258764,1.00E+23,nan
258768,1.00E+25,nan
258772,1.00E+27,nan
258904,1030C60,nan
248039,MS050 5/8,nan
258783,1.00E+37,nan
258787,1.00E+47,nan
248259,N-STL 3 1/2,nan
248281,N-STL 5 15/16,nan
258949,12A60,nan
248294,NS-A,nan
259036,12B60,nan
248621,SD 1 1/2,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-1/2\"""""
248625,SD 1 13/16,"""Keyway""=>""1/2\"" x 1/4\"""", ""Bore Size""=>""1-13/16\"""""
248633,SD 1 7/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-7/16\"""""
248637,SD 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
248657,SDS 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
259153,1.20E+21,nan
259157,1.20E+23,nan
259165,1.20E+27,nan
259169,1.20E+30,nan
248693,SF 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
248773,SH 1 9/16,"""Keyway""=>""3/8\"" x 1/16\"""", ""Bore Size""=>""1-9/16\"""""
248777,SH 15/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""15/16\"""""
248821,SK 13/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""13/16\"""""
249005,U1 3 3/16,nan
248618,S-BOLTS,nan
248662,SDS 1 13/16,"""Keyway""=>""1/2\"" x 1/8\"""", ""Bore Size""=>""1-13/16\"""""
248674,SDS 11/16,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""11/16\"""""
248690,SDS 9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
248706,SF 1 5/8,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-5/8\"""""
248714,SF 15/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""15/16\"""""
248742,SF 5/8,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""5/8\"""""
248762,SH 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
248770,SH 1 5/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-5/16\"""""
248786,SH 5/8,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""5/8\"""""
248802,SK 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
248806,SK 1 11/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-11/16\"""""
248814,SK 1 5/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-5/16\"""""
248834,SK 2 9/16,"""Keyway""=>""No Keyway"", ""Bore Size""=>""2-9/16\"""""
248850,SK 9/16,"""Keyway""=>""1/8\"" x 1/16\"""", ""Bore Size""=>""9/16\"""""
248615,S,nan
248620,SD 1 1/16,"""Keyway""=>""1/4\"" x 1/8\"""", ""Bore Size""=>""1-1/16\"""""
248644,SD 3/4,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""3/4\"""""
248652,SD 7/8,"""Keyway""=>""3/16\"" x 3/32\"""", ""Bore Size""=>""7/8\"""""
248668,SDS 1 5/16,"""Keyway""=>""3/8\"" x 3/16\"""", ""Bore Size""=>""1-5/16\"""""
