id,catalog_number,add_descr,attributes
2887203,3702-16-3S-95,,Model:3702-16-3S-95|Weight:443 lbs. / 201 kgs. |Shelves:(3) Adjustable|Dimensions Overall:in: 36 x 24 x 78   mm: 915 x 610 x 1981|Bins:16|Dimensions Bins:(16)   in: 8 x 15 x 7   
2887211,3703CX-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. ,"Model:3703CX-BLP4S-95|Weight:508 lbs. / 231 kgs|Shelves:4|Capacity:1200 lbs. / 544 kgs.|Dimensions Overall:in: 48 x 24 x 78    mm: 1219 x 610 x 1981|Colors:Durable, textured, gray powder coat finish"
2887219,3704CXC-54B-5295,Access Control Cabinet with Audit Trail - Hook-On Bins Included,Model:3704CXC-54B-5295|Weight:560 lbs.  254.1 kgs.|Dimensions Overall:in: 60 x 24 x 78  mm: 1524 x 609.6 x 1219.2|Bins:in:   (36) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Material:Heavy duty all welded 14 gauge steel construction 
2887215,3703CXC-BLP4S-95,Heavy Duty Access Control Cabinet with Electronic Lock and Audit Trail Software. ,"Model:3703CXC-BLP4S-95|Weight:508 lbs. / 231 kgs.|Shelves:4|Capacity:1200 lbs. / 544 kgs.|Dimensions Overall:in: 48 x 24 x 78  mm: 1219 x 610 x 1981|Colors:Durable, textured, gray powder coat finish"
2887207,3702CXC-30B-5295,Access Control Cabinet with Audit Trail - Hook-On Bins Included,Model:3702CXC-30B-5295|Weight:403 lbs.  183 kgs.|Dimensions Overall:in: 36 x 24 x 78  mm: 914.4 x 609.6 x 1219.2|Bins:in:   (12) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Material:Heavy duty all welded 14 gauge steel construction 
2887231,393-95,8 Opening Bin ,Model:393-95|Weight:33 lbs/ 14.97 kgs|Dimensions Overall:in: 33-3/4 x 8-1/2 x 19-5/16   mm: 857 x 216 x  491|Bins:8|Dimensions Bins:in: 7-3/4 x 8-3/8 x 7-1/2 mm: 197 x 213 x 191|Carton Pk:1|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable gray powder coat finish  
2887235,3952-4S-95,* Features space-saving bi-folding doors ,"Model:3952-4S-95|Weight:314 lbs. / 143 kgs.|Shelves:4|Capacity:900 lbs. / 408 kgs. per shelf|Dimensions Overall:in: 36 x 18 x 84  mm: 915 x 457 x 2134|Material:14 Gauge Steel|Colors:Durable, textured, gray powder coat finish"
2887227,382-95,"Base for 9""(229mm) Deep Parts Bins","Model:382-95|Weight:11 lbs/ 5kgs|Dimensions Overall:33 3/4""W x 9""D x 5 3/4""H = 857mm x 229mm x 146mm"
2887239,397-95,,"Model:397-95|Weight:42 lbs. / 19 kgs.|Bins:10|Dimensions Bins:16-1/4"" x 11-7/8"" x 7-1/4"" = 413mm x 302mm x 184mm|Material:Prime Cold Rolled Steel-Interlocking and Welded Construction|Colors:Durable, gray powder coat finish|Depth:12 | 304 mm|Height:42 | 1067 mm|Width:33-7/8 | 861 mm"
2887251,3ST-EX2460-95,3 Sided Mesh Stock Truck,"Model:3ST-EX2460-95|Weight:196 lbs. / 89 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in:  *60-1/2 x 24-3/8 x 56-7/16  mm: 1537 x 619 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887255,3ST-EX3048-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3048-95|Weight:150 lbs. / 68 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in:  *48-1/2 x 30-3/8 x 56-7/16  mm: 1232 x 772 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887267,3ST-EX3672-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3672-95|Weight:238 lbs. / 108 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in:  *72-1/2 x 36-3/8 x 56-7/16  mm: 1842 x 924 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887247,3SLT-2448-2K-95,3 Sided Low Deck Stock Truck,"Model:3SLT-2448-2K-95|Weight:158 lbs. / 72 kgs.|Dimensions Overall:in: 48 x 24 x 41-1/4  mm: 1219 x 610 x 1048|Colors:Durable, textured, gray powder coat finish"
2887263,3ST-EX3660-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3660-95|Weight:186 lbs. / 84 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in:  *60-1/2 x 36-3/8 x 56-7/16  mm: 1537 x 924 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887243,3SLT-1836-2K-95,3 Sided Low Deck Stock Truck,"Model:3SLT-1836-2K-95|Weight:112 lbs. / 51 kgs.|Dimensions Overall:in: 36 x 18 x 41-1/4  mm: 915 x 457 x 1048|Colors:Durable, textured, gray powder coat finish"
2887283,402-55,11 Pocket ,Model:402-55|Weight:14 lbs. / 6 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 36  mm: 248 x 105 x 915|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Burgundy
2887259,3ST-EX3060-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3060-95|Weight:182 lbs. / 83 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in:  *60-1/2 x 30-3/8 x 56-7/16  mm: 1537 x 772 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887291,403-95,5 Pocket ,Model:403-95|Weight:9 lbs. / 4 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 20-1/4  mm: 248 x 105 x 514|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Gray
2887287,403-10,5 Pocket ,Model:403-10|Weight:9 lbs. / 4 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 20-1/4  mm: 248 x 105 x 514|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Blue
2887271,400-55,20 Pocket ,Model:400-55|Weight:24 lbs. / 11 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 58  mm: 248 x 105 x 1473|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Burgundy
2887275,401-10,23 Pocket ,Model:401-10|Weight:28 lbs. / 13 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 65-1/2  mm: 248 x 105 x 1664|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Blue
2887279,401-95,23 Pocket ,Model:401-95|Weight:28 lbs. / 13 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 65-1/2  mm: 248 x 105 x 1664|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Gray
2887299,406-75,10 Pockets Literature Rack (large),Model:406-75|Weight:12 lbs. / 6 kgs.|Dimensions Overall:in: 13-1/4 x 1-5/16 x 26-1/4  mm: 337 x 33 x 667|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish that is Rust and Acid Resistant|Colors:Tan
2887311,411-08,20 Pockets Literature Rack (large),Model:411-08|Weight:27 lbs. / 12 kgs.|Dimensions Overall:in: 13-1/4 x 4-1/8 x 58  mm: 337 x 105 x 1473|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish that is Rust and Acid Resistant|Colors:Black
2887295,405-75,11 Pockets Literature Rack (large),Model:405-75|Weight:18 lbs. / 8 kgs.|Dimensions Overall:in: 13-1/4 x 4-1/8 x 36  mm: 337 x 105 x 915|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish that is Rust and Acid Resistant|Colors:Tan
2887323,431-08,9 Opening Horizontal Literature Rack,Model:431-08|Weight:25 lbs. / 11 kgs.|Dimensions Overall:in: 33-7/8 x 11-5/8 x 10-11/16  mm: 861 x 295 x 272|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish and is Rust and Acid Resistant|Colors:Black
2887331,4SLT-2436-1.2K-95,4 Sided Low Deck Stock Truck,"Model:4SLT-2436-1.2K-95|Weight:248 lbs. / 113 kgs.|Dimensions Overall:in: 36 x 24 x 40  mm: 915 x 610 x 1016|Colors:Durable, textured, gray powder coat finish"
2887303,407-75-A,Optional Legs for models 405 and 411,Model:407-75-A|Weight:3 lbs. / 1 kgs.|Dimensions Overall:in: 13-7/16 x 14 x 5-7/8  mm: 341 x 356 x 149|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish that is Rust and Acid Resistant|Colors:Tan
2887327,434-08,15 Opening Horizontal Literature Rack,Model:434-08|Weight:39 lbs. / 18 kgs.|Dimensions Overall:in: 33-7/8 x 11-5/8 x 17-3/4  mm: 861 x 295 x 451|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish and is Rust and Acid Resistant|Colors:Black
2887339,4STE-EX-3060-95,4 Sided Mesh Box Truck with Ergonomic Handle,"Model:4STE-EX-3060-95|Weight:139 lbs. / 63 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in:   *60-1/2 x 30-1/2 x 35-3/16  mm: *1537 x 775 x 894  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887343,4STE-SM-3060-95,4 Sided Solid Box Truck with Ergonomic Handle,"Model:4STE-SM-3060-95|Weight:190 lbs. / 86 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in:   *60-1/8 x 30-1/4 x 34-5/8  mm: 1527 x 768 x 880  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887335,4SLT-3048-2K-95,4 Sided Low Deck Stock Truck,"Model:4SLT-3048-2K-95|Weight:279 lbs. / 127 kgs.|Dimensions Overall:in: 48 x 30 x 41-1/4  mm: 915 x 457 x 1048|Colors:Durable, textured, gray powder coat finish"
2887351,5003-4S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5003-4S-95|Weight:301 lbs. | 137 kgs.|Shelves:4|Capacity:Shelf Capacity 1350 lbs. | 612 kgs.|Dimensions Overall:in: 36 x 18 x 72  mm: 915 x 457 x 1829|Colors:Durable, textured, gray powder coat finish"
2887347,5002-3S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5002-3S-95|Weight:268 lbs. | 122 kgs.|Shelves:3|Capacity:Shelf Capacity 1350 lbs. | 612 kgs.|Dimensions Overall:in: 36 x 18 x 60   mm: 915 x 457 x 1524|Colors:Durable, textured, gray powder coat finish"
2887359,5007-4S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5007-4S-95|Weight:286 lbs. | 130 kgs.|Shelves:4|Capacity:Shelf Capacity 850 lbs. | 386 kgs.|Dimensions Overall:in: 48 x 18 x 72  mm: 1219 x 457 x 1829|Colors:Durable, textured, gray powder coat finish"
2887355,5006-3S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5006-3S-95|Weight:246 lbs. | 112 kgs.|Shelves:3|Capacity:Shelf Capacity 850 lbs. | 386 kgs.|Dimensions Overall:in: 48 x 18 x 60  mm: 1219 x 457 x 1524|Colors:Durable, textured, gray powder coat finish"
2887371,5014-3S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5014-3S-95|Weight:352 lbs. | 160 kgs.|Shelves:3|Capacity:Shelf Capacity 1200 lbs. | 544 kgs.|Dimensions Overall:in: 48 x 24 x 60  mm: 1219 x 610 x 1524|Colors:Durable, textured, gray powder coat finish"
2887363,5010-3S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5010-3S-95|Weight:303 lbs. | 138 kgs|Shelves:3|Capacity:Shelf Capacity 1900 lbs. | 862 kgs.|Dimensions Overall:in: 36 x 24 x 60  mm: 915 x 610 x 1524|Colors:Durable, textured, gray powder coat finish"
2887367,5011-4S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5011-4S-95|Weight:352 lbs. | 160 kgs.|Shelves:4|Capacity:Shelf Capacity 1900 lbs. | 862 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Colors:Durable, textured, gray powder coat finish"
2887387,5022-48-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins,"Model:5022-48-95|Weight:519 lbs / 236 kgs|Dimensions Overall:in: 72 x 24 x 60  mm: 1829 x 610 x 1524|Bins:(12) 6 x 11 x 5  (24) 8 x 15 x 7   (12) 16 x 15 x 7|Colors:Durable, textured, gray powder coat finish"
2887383,5019-54-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins,"Model:5019-54-95|Weight:508 lbs / 231 kgs|Dimensions Overall:in: 60 x 24 x 72  mm: 1524 x 610 x 1829|Bins:(36) 6 x 11 x 5  (12) 8 x 15 x 7   (6) 16 x 15 x 7|Colors:Durable, textured, gray powder coat finish"
2887375,5015-4S-95,Heavy Duty 12 Gauge Enclosed Shelving,"Model:5015-4S-95|Weight:411 lbs. | 187 kgs.|Shelves:4|Capacity:Shelf Capacity 1200 lbs. | 544 kgs.|Dimensions Overall:in: 48 x 24 x 72  mm: 1219 x 610 x 1829|Colors:Durable, textured, gray powder coat finish"
2887379,5018-42-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins,"Model:5018-42-95|Weight:424 lbs / 192 kgs|Dimensions Overall:in: 60 x 24 x 60  mm: 1524 x 610 x 1524|Bins:(24) 6 x 11 x 5  (12) 8 x 15 x 7   (6) 16 x 15 x 7|Colors:Durable, textured, gray powder coat finish"
2887391,5023-72-95,12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins,"Model:5023-72-95|Weight:612 lbs / 278 kgs|Dimensions Overall:in: 72 x 24 x 72  mm: 1829 x 610 x 1829|Bins:(36) 6 x 11 x 5  (24) 8 x 15 x 7   (12) 16 x 15 x 7|Colors:Durable, textured, gray powder coat finish"
2887407,564-H721,"This 12-Pocket Plastic Door Pouch is used with 9FX/9AV Cabinets (Models 534-43, 534AV-43).",Model:564-H721
2887399,534AV-43,(9AV Cabinet) Two adjustable shelves. Door pouches (Model 564-H721) and additional shelves sold separately.,Model:534AV-43|Weight:11 lbs. / 5 kgs.|Shelves:2|Dimensions Overall:in: 15 x 5-9/16 x 16-5/32  |Carton Pk:1|Material:White powder coated finish is rust and acid resistant
2887403,539-43,"(15FX Cabinet) 5-shelf, Door pouch sold separately Model (566-H723).","Model:539-43|Weight:22 lbs. / 10 kgs.|Shelves:5|Dimensions Overall:in: 19-11/16 x 5-1/2 x 26-5/16  |Dimensions Inside:A - 4-1/4"" (108mm)  B - 4-1/4"" (108mm)  C - 5-1/2"" (140mm)  D - 5-1/2"" (140mm)  E - 6-1/4"" (108mm)|Carton Pk:1|Material:White powder coated finish is rust and acid resistant"
2887395,529-D831,in: 6-3/4 x 3-3/4 ,Model:529-D831
2887419,5WT-2448-12MR-95,"All welded 14 gauge steel platform truck with 12"" mold-on rubber casters, (2) swivel and (2) rigid","Model:5WT-2448-12MR-95|Weight:157 lbs. / 79 kgs.|Capacity:2,000 lbs.|Dimensions Overall:in: 48 x 24 x 18-1/4  mm: 1219 x 610 x 464"
2887439,921-95,Welding Rod Cabinet,Model:921-95|Weight:17 lbs. / 8 kgs.|Carton Pk:1|Material:All Welded Prime Cold Rolled Steel|Colors:Gray Powder Coated Finish and Rust and Acid Resistant.|Depth:in: 18-1/2   mm: 470 |Height:in: 8-1/8 in   mm: 206 |Width:in: 16-1/8   mm: 410 
2887415,582-95,Two Opening Hydraulic Hose Cabinet ,Model:582-95|Weight:41 lbs.|Dimensions Overall:13-3/4 x 24-1/8 x 24
2887423,5WT-3672-12MR-95,"All welded 14 gauge steel platform truck with 12"" mold-on rubber casters, (2) swivel and (2) rigid","Model:5WT-3672-12MR-95|Weight:241 lbs. / 109 kgs.|Capacity:2,000 lbs.|Dimensions Overall:in: 72 x 36 x 18-1/4  mm: 1829 x 915 x 464"
2887435,802-95,"The door trays, furnished with covers, provide convenient storage in otherwise unuseable space. Adjustable dividers are also provided.",Model:802-95|Weight:6 lbs. / 3 kgs.|Depth:in:4-3/4  mm: 121|Height:in: 8  mm: 203|Width:in: 21  mm: 534
2887447,AF-3672-95,A-Frame Truck ,"Model:AF-3672-95|Weight:239 lbs. / 109 kgs.|Dimensions Overall:in: 72 x 36 x 57  mm: 1829 x 915 x 1448|Colors:Durable, textured, gray powder coat finish"
2887451,APT-3060-95,14 Gauge Steel Construction; 6 removable handles. (in: 12 x 24 x 36) (mm: 305 x 610 x 914) above deck,"Model:APT-3060-95|Weight:208 lbs. / 94 kgs.|Capacity:2000 lbs. / 907 kgs.|Dimensions Overall:in: 30 x 60 x 45-1/8   mm: 1524 x 762 x 1146|Colors:Durable, textured, gray powder coat finish"
2887467,DC36-642S6DS-1795,,Model:DC36-642S6DS-1795|Weight:464 lbs. / 211 kgs.|Shelves:(2) Adjustable  (6) Door Shelves|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:64|Dimensions Bins:(48)   in: 4 x 7 x 3    (16)   in: 8 x 15 x 7 
2887463,DC36-48-4S6DS-1795,,Model:DC36-48-4S6DS-1795|Weight:427 lbs. / 194 kgs. |Shelves:(4) Adjustable|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:48|Dimensions Bins:(48)   in: 4 x 5 x 3 
2887475,DC48-128-4S-5295,,Model:DC48-128-4S-5295|Weight:516 lbs. / 234 kgs.|Shelves:(4) Adjustable|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:128|Dimensions Bins:(128)   in: 4 x 5 x 3 
2887487,DC48-842S6DS-5295,,Model:DC48-842S6DS-5295|Weight:543 lbs. / 246 kgs.|Shelves:(2) Adjustable  (6) Door Shelves|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:84|Dimensions Bins:(64)   in: 4 x 7 x 3   (20)   in: 8 x 15 x 7 
2887471,DC48-114-6DS-1795,,Model:DC48-114-6DS-1795|Weight:550 lbs. / 250 kgs.|Shelves:(6) Door Shelves|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:114|Dimensions Bins:(72)  in: 4 x 7 x 3  (24)  in: 6 x 11 x 5  (12)  in: 8 x 15 x 7  (6)   in: 16 x 15 x 7
2887495,DCBDLP584RDR-1795,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers ","Model:DCBDLP584RDR-1795|Weight:547 lbs. / 248 kgs.|Drawers:4|Shelves:2 - Shelves (1 Adjustable)  12 - Door Shelves|Capacity:Shelf Capacity: 700 lbs. / 318 kgs.|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:58|Material:14 Gauge|Colors:Durable, textured, gray powder coat finish"
2887499,DCBDLP694RDR-5295,,Model:DCBDLP694RDR-5295|Weight:579 lbs. / 263 kgs.|Drawers:4|Shelves:2 - Shelves (1 Adjustable)  12 - Door Shelves|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:69|Dimensions Bins:in:   (48) 4 x 5 x 3  (8) 6 x 11 x 5  (11) 8 x 15 x 7  (2) 16 x 15 x 7|Drawer Dimensions:in:  (2)   40-13/16 x 14 11/16 x 3  (1)  40-13/16 x 14 11/16 x 5  (1)  40-13/16 x 14 11/16 x 6
2887479,DC48-176-95,,Model:DC48-176-95|Weight:546 lbs. / 248 kgs.|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:176|Dimensions Bins:in:   (64) 4-3/16 x 5-7/16 x 3  (64) 4-3/16 x 7-7/16 x 3  (24) 5-1/2 x 11-3/8 x 5  (18) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7
2887483,DC48-724S6DS-1795,,Model:DC48-724S6DS-1795|Weight:525 lbs. / 238 kgs.|Shelves:(4) Adjustable  (6) Door Shelves|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:72|Dimensions Bins:(72)   in: 4 x 5 x 3 
2887491,DC-BDLP-132-95,,Model:DC-BDLP-132-95|Weight:546 lbs / 248 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Bins:132|Dimensions Bins:in:  (48) 4 x 5 x 3  (48) 4 x 7 x 3  (18) 6 x 11 x 5  (12) 8 x 15 x 7  (6) 16 x 15 x 7
2887519,DWBM-3060-BE-95,Lips up on 3 sides,"Model:DWBM-3060-BE-95|Weight:215 lbs. / 98 kgs.|Shelves:Bottom shelf: 500 lbs. / 227 kgs. capacity|Capacity:4,000 lbs. / 1814 kgs.|Dimensions Overall:in: 60 x 30 x 40|Colors:Durable, gray, textured powder coat paint"
2887507,DWB-3048-177-95,,Model:DWB-3048-177-95|Weight:228 lbs/ 104 kgs|Capacity:4000 lbs/ 1814 kgs|Dimensions Overall:in: 48 x 30 x 34  mm: 1219 x 762 x 864|Drawer Dimensions:in: 19-1/2 x 13-5/16 x 5  
2887515,DWB-3072-BE-PB-95,Heavy Duty Workbench with 72W x 24H Pegboard Back Panel ,Model:DWB-3072-BE-PB-95|Weight:280 lbs. / 127 kgs.|Drawers:Optional  #177-DRAWER-95  in: 14-5/16 x 19-13/16 x   6-3/16 |Shelves:Lower Shelf Capacity 500 lbs / 227 kgs|Capacity:4000 lbs. / 1814 kgs.|Dimensions Overall:in: 72 x 30 x 34   mm: 1829 x 762 x 864|Bins:-
2887503,DCBDLP724RDR-95,,Model:DCBDLP724RDR-95|Weight:612 lbs. / 278 kgs.|Drawers:4|Shelves:2 - Shelves (1 Adjustable)  12 - Door Shelves|Dimensions Overall:in: 48 x 24 x 72   mm: 1219 x 610 x 1829|Bins:72|Dimensions Bins:in:   (56) 4 x 5 x 3  (8) 6 x 11 x 5  (6) 8 x 15 x 7  (2) 16 x 15 x 7|Drawer Dimensions:in:  (2)   40-13/16 x 14 11/16 x 3  (1)  40-13/16 x 14 11/16 x 5  (1)  40-13/16 x 14 11/16 x 6
2887527,EAS-1836-95,Open Access Cart ,"Model:EAS-1836-95|Weight:88 lbs. / 40 kgs.|Shelves:2|Capacity:1200 lbs. / 544 kgs.|Dimensions Overall:in: 18 x 36 x 36  mm: 457 x 915 x 915|Colors:Durable, textured, gray powder coat finish "
2887455,BCT-2896-10K-95,8' length with 4 cradles,"Model:BCT-2896-10K-95|Weight:308 lbs. / 140 kgs.|Capacity:10000 lbs. / 4536 kgs.|Dimensions Overall:in: 28 x 96   mm: 711 x 2439|Colors:Durable, textured, gray powder coat finish"
2887443,AF-3048-PB-95,A-Frame truck with Pegboard on Both Sides,"Model:AF-3048-PB-95|Weight:226 lbs. / 103 kgs.|Dimensions Overall:in: 48 x 30 x 57   mm: 1219 x 762 x 1448|Carton Pk:1|Colors:Durable, textured, gray powder coat finish"
2887531,EGCC4-50,Horizontal Cylinder Storage Cabinet - Holds 4 Cylinders,"Model:EGCC4-50|Weight:142 lbs. / 65 kgs.|Dimensions Overall:in: 30 x 30 x 35  mm:762 x 762 x 889|Carton Pk:1|Material:1-1/2"" x 1/8"" angle iron frame. Solid 14 gauge steel top and bottom. Expanded metal sides, back, and door, for ventilation and visibility of contents.|Colors:Yellow powder coated finish is rust and acid resistant"
2887523,DWBM-3072-BE-95,Lips On 3 Sides ,"Model:DWBM-3072-BE-95|Weight:221 lbs. / 100 kgs.|Shelves:Bottom shelf: 500 lbs. / 227 kgs. capacity|Capacity:4,000 lbs. / 1814 kgs.|Dimensions Overall:in: 72 x 30 x 40|Colors:Durable, gray, textured powder coat paint"
2887555,EMDC-361872-95,,"Model:EMDC-361872-95|Weight:310 lbs. /141 kgs.|Shelves:4 Adjustable shelves with 900 lbs. / 408 kgs. capacity|Dimensions Overall:in: 36 x 18 x 72   mm: 915 x 457 x 1829|Colors:Durable, textured, gray powder coat finish"
2887539,EMDC-2602-BLP-2S-95,All Welded 16 Gauge Construction,"Model:EMDC-2602-BLP-2S-95|Weight:290 lbs. / 132 kgs.|Shelves:2 (adjustable)|Capacity:700 lbs. / 318 kgs.|Dimensions Overall:in: 36 x 18 x 72   mm: 915 x 457 x 1829|Colors:Durable, textured, gray powder coat finish"
2887551,EMDC-361872-18B-2S-95,Clearview Cabinets with Hook-On Bins® and Shelves,"Model:EMDC-361872-18B-2S-95|Weight:310 lbs. / 141 kgs.|Shelves:2|Capacity:Shelf Capacity: 900 lbs. / 408 kgs.|Dimensions Overall:in: 36 x 18 x 72  mm: 915 x 457 x 1829|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7"
2887559,EMDC36242S15B95,Clearview Cabinets with Hook-On Bins® and Shelves,"Model:EMDC36242S15B95|Weight:352 lbs. / 160 kgs. |Shelves:2|Capacity:Shelf Capacity: 900 lbs. / 408 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Colors:Durable, textured, gray powder coat finish|No of Bins:in:   (15) 5-1/2 x 11-3/8 x 5"
2887547,EMDC-361848-95,,"Model:EMDC-361848-95|Weight:194 lbs. / 88 kgs.|Shelves:2 Adjustable shelves with 900 lbs. /408 kgs. capacity|Dimensions Overall:in: 36 x 18 x 48   mm: 915 x 457 x 1219|Colors:Durable, textured, gray powder coat finish"
2887543,EMDC36182S15B95,Clearview Cabinets with Hook-On Bins® and Shelves,"Model:EMDC36182S15B95|Weight:318 lbs. / 144 kgs.|Shelves:2|Capacity:Shelf Capacity: 900 lbs. / 408 kgs.|Dimensions Overall:in: 36 x 18 x 72  mm: 915 x 457 x 1829|Colors:Durable, textured, gray powder coat finish|No of Bins:in:   (15) 5-1/2 x 11-3/8 x 5"
2887563,EMDC-362472-18B-2S-95,Clearview Cabinets with Hook-On Bins® and Shelves,"Model:EMDC-362472-18B-2S-95|Weight:388 lbs. / 176 kgs.|Shelves:2|Capacity:Shelf Capacity: 900 lbs. / 408 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7"
2887567,EMDC-362472-4S-95,,"Model:EMDC-362472-4S-95|Weight:388 lbs. / 176 kgs.|Shelves:4 Adjustable shelves with 900 lbs. / 408 kgs. capacity|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Colors:Durable, textured, gray powder coat finish"
2887575,EMDC-481872-42B-5295,Clearview Cabinets with Hook-On Bins®,"Model:EMDC-481872-42B-5295|Weight:350 lbs. / 159 kgs.|Dimensions Overall:in: 48 x 18 x 72  mm: 1219 x 457 x 1829|Material:14 Gauge Steel|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7"
2887579,EMDC-481872-6B-3S-95,Clearview Cabinets with Hook-On Bins® and Shelves,"Model:EMDC-481872-6B-3S-95|Weight:350 lbs. / 159 kgs.|Shelves:3|Capacity:Shelf Capacity: 700 lbs. / 318 kgs.|Dimensions Overall:in: 48 x 18 x 72  mm: 1219 x 457 x 1829|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (6) 16-3/4 x 14-5/8 x 7"
