id,catalog_number,add_descr,attributes
2887003,2500-138B-5295,16 Gauge Cabinets with Hook-On Bins,"Model:2500-138B-5295|Weight:364 lbs. / 165 kgs.|Dimensions Overall:in: 36 x 24 x 84  mm: 915 x 610 x 2134|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (48) 4-3/16 x 7-7/16 x 3  (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2886875,022-95,96 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:022-95|Weight:254 lbs | 115 kgs|Carton Pk:1|Material:Prime cold rolled steel|Interlocking and Welded Construction|Colors:Gray Powder Coat Finish|Depth:12 1/4 in | 311 mm|Height:62 1/2 in | 1588 mm|Width:34 1/8 in | 866 mm|Drawer Dimensions:0 in: 4-7/8 x 11-1/4 x 2-3/4  mm: 124 x 286 x 70
2887011,2501-BDLP-126-5295,16 Gauge Cabinets with Hook-On Bins,"Model:2501-BDLP-126-5295|Weight:354 lbs. / 161 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (48) 4-3/16 x 7-7/16 x 3  (12) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2887031,2502M-BLP-42-5295,Mobile Cabinet with Hook-On Bins ,"Model:2502M-BLP-42-5295|Weight:378 lbs. / 172 kgs.|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:16 Gauge Mobile Cabinet Bins|Colors:Durable, textured, gray powder coat finish|No of Bins:in:   (24) 6 x 11 x 5   (12) 8 x 15 x 7   (6) 16 x 15 x 7"
2887035,2504-4S-95,,"Model:2504-4S-95|Weight:511 lbs. / 232 kgs.|Shelves:4|Capacity:500 lbs. / 227 kgs. per shelf|Dimensions Overall:in: 48 x 24 x 84   mm: 1219 x 610 x 2134|Colors:Durable, textured, gray powder coat finish"
2887015,2501M-BLP-12-2S-95,Mobile Cabinet with Hook-On Bins and Shelves,"Model:2501M-BLP-12-2S-95|Weight:360 lbs. / 163 kgs.|Shelves:2|Capacity:Overall Capacity of 2,800 lbs. / 1,270 kgs.  Shelf Capacity of 500 lbs. / 227 kgs.|Dimensions Overall:in: 36 x 24 x 80  mm: 915 x 610 x 2032|Material:16 Gauge All Welded Steel|Colors:Durable, textured, gray powder coat finish|No of Bins:(12)   in: 8 x 15 x 7"
2887023,2502-186-1795,16 Gauge Cabinets with Hook-On Bins,"Model:2502-186-1795|Weight:394 lbs. / 179 kgs.|Dimensions Overall:in: 48 x 24 x 72  mm: 1219 x 610 x 1829|Dimensions Bins:in:  (48) 4-3/16 x 5-7/16 x 3  (96) 4-3/16 x 7-7/16 x 3  (24) 5-1/2 x 11-3/8 x 5  (12) 8-1/4 x 14-5/8 x 7  (6) 16-3/4 x 14-5/8 x 7|Colors:Durable, textured, gray powder coat finish"
2887043,2603-156B-95,16 Gauge Cabinets with Hook-On Bins,"Model:2603-156B-95|Weight:283 lbs. / 128 kgs.|Dimensions Overall:in: 36 x 18 x 84  mm: 915 x 457 x 2134|Dimensions Bins:in:  (96) 4-3/16 x 5-7/16 x 3  (60) 5-1/2 x 11-3/8 x 5|Colors:Durable, textured, gray powder coat finish"
2887039,2601-3S-95,,"Model:2601-3S-95|Weight:254 lbs. / 115 kgs.|Shelves:3|Capacity:700 lbs. / 318 kgs. per shelf|Dimensions Overall:in: 36 x 18 x 60   mm: 915 x 457 x 1524|Colors:Durable, textured, gray powder coat finish"
2887027,2502M-BLP-18-2S-1795,Mobile Cabinet with Hook-On Bins and Shelves,"Model:2502M-BLP-18-2S-1795|Weight:406 lbs. / 184 kgs|Shelves:2|Capacity:Overall Capacity of 2,800 lbs. / 1,270 kgs.  Shelf Capacity of 500 lbs. / 227 kgs.|Dimensions Overall:in: 48 x 24 x 80  mm: 1219 x 610 x 2032|Material:16 Gauge All Welded Steel|Colors:Durable, textured, gray powder coat finish|No of Bins:in:  (12) 8 x 15 x 7  (6) 16 x 15 x 7"
2887067,304-95-5.75/LEG,Rack base is available for use with models 302-95 and 303-95.,Model:304-95-5.75/LEG|Weight:11 lbs. / 5 kgs. |Dimensions Overall:in:   20-9/16 x 16-1/8 x 5-3/4  mm: 522 x 409 x 146|Material:Prime Cold Rolled Steel|Colors:Durable Gray Powder Coat Finish
2887075,3100-95,,"Model:3100-95|Weight:196 lbs. / 89 kgs.|Dimensions Overall:in: 36 x 24 x 37  mm: 915 x 610 x 940  * handle adds 6"" to width|Colors:Durable, textured, gray powder coat finish|Drawer Dimensions:N/A"
2887107,3500-138B-95,,Model:3500-138B-95|Weight:397 lbs. / 180 kgs.|Dimensions Overall:in: 36 x 24 x 84  mm: 915 x 610 x 2134|Bins:138|Dimensions Bins:in:   (48) 4 x 5 x 3  (48) 4 x 7 x 3  (24) 6 x 11 x 5  (12) 8 x 15 x 7   (6) 16 x 15 x 7
2887083,314-95,36 Opening Adjustable Parts Bin,Model:314-95|Weight:22 lbs. / 10 kgs.|Dimensions Overall:in: 23-3/4 x 4-3/4 x 23-3/4  mm: 603 x 121 x 603|Bins:6-36|Colors:Gray
2887099,3404-95,Stationary Workstation with 4 Drawers,"Model:3404-95|Weight:274 lbs. / 124 kgs.|Dimensions Overall:in: 48 x 24 x 36-1/4   mm: 1219 x 610 x 921  *width does not include 12"" vice grip shelf. (Vice not included)|Colors:Durable, textured, gray powder coat finish|No of Drawers:4|Drawer Dimensions:in: 24-7/8 x 19-5/16 x 4  mm: 632 x 491 x 102"
2887115,3501584RDR-5295,"36"" Wide Cabinet with 58 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers ","Model:3501584RDR-5295|Weight:486 lbs. / 221 kgs.|Drawers:4|Shelves:2 - Shelves (1 Adjustable)  12 - Door Shelves|Capacity:Shelf Capacity: 700 lbs. / 318 kgs.|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:58|Material:14 Gauge|Colors:Durable, textured, gray powder coat finish"
2887123,3501-BDLP-132-95,,Model:3501-BDLP-132-95|Weight:422 lbs. / 192 kgs.|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Bins:132|Dimensions Bins:in:  (48) 4 x 5 x 3  (48) 4 x 7 x 3  (18) 6 x 11 x 5  (12) 8 x 15 x 7  (6) 16 x 15 x 7
2887127,3501-DLP-60DR11-96-2S5295,36 Wide Small Parts Storage & Security Cabinet with 60 Jumbo Drawers & 96 Hook-On Bins%uFFFD,"Model:3501-DLP-60DR11-96-2S5295|Weight:532 lbs. /241 kgs.|Drawers:60|Shelves:2|Capacity:900 lbs. / 408 kgs. per shelf|Dimensions Overall:in: 36 x 24 x 72  mm: 915 x 610 x 1829|Bins:96|Dimensions Bins:in: 4 x 5 x 3   mm: 102 x 127 x 76|Material:Cabinet: All Welded 14 Gauge Construction  Drawers: All welded, Prime Cold Rolled Steel|Colors:Durable, textured, gray powder coat finish|No of Drawers:60|Drawer Dimensions:in:  (60) 5.375"" x 11.25"" x 3.5"" mm:  (60) 137 x 286 x 89"
2887111,3501524RDR-1795,"36"" Wide Cabinet with 52 Bins, 1 Shelf, 12 Door Shelves & 4 Drawers ","Model:3501524RDR-1795|Weight:482 lbs. / 219 kgs.|Drawers:4|Shelves:2 - Shelves (1 Adjustable)  12 - Door Shelves|Capacity:Shelf Capacity: 700 lbs. / 318 kgs.|Dimensions Overall:in: 36 x 24 x 72   mm: 915 x 610 x 1829|Bins:52|Material:14 Gauge|Colors:Durable, textured, gray powder coat finish"
