id,catalog_number,your price
2984316,1BN163LF,$ 6878.49 ea
2984308,625PF,$ 5241.60 ea
2984307,802X2X9-1/2,$ 5241.60 ea
2984306,E-80-9,$ 5340.00 ea
2984305,626PF-30,$ 5340.00 ea
2984300,4-245-08-048-001,$ 0.02 ea
2984299,80-1-1/2,$ 0.02 ea
2984296,186836,$ 4637.33 ea
2984295,E-1531-4BD,$ 4637.33 ea
2984293,189589,$ 4471.66 ea
2984292,P82045,$ 4428.97 ea
2984287,P75436,$ 4179.95 ea
2984284,PDB38T,$ 3882.02 ea
2984276,E1510-2AD-ES,$ 0.02 ea
2984275,80-8-1/8,$ 0.02 ea
2984265,179049LF,$ 2888.55 ea
2984264,PDB37S,$ 2789.01 ea
2984259,P85419,$ 2616.60 ea
2984258,P77513,$ 2547.10 ea
2984257,52-239-385-001,$ 2536.43 ea
2984256,PD40T,$ 2531.32 ea
2984255,104406LF,$ 2614.95 ea
2984254,172673LF,$ 2568.70 ea
2984251,P77509,$ 2440.38 ea
2984244,90-2AB-BF,$ 2387.70 ea
2984243,102228,$ 2386.94 ea
2984240,P90452,$ 2337.22 ea
2984239,105096LF,$ 2329.89 ea
2984238,105092LF,$ 2329.89 ea
2984237,P81981,$ 2305.20 EA
2984236,P81980,$ 2305.20 ea
2984241,60-620T,$ 2294.53 ea
2984235,E1510-2AD,$ 2294.53 ea
2984233,P78986,$ 2241.17 ea
2984232,P85441,$ 2198.48 ea
2984230,P50866,$ 2156.04 ea
2984229,E-1510-1.5AD,$ 2156.04 ea
2984227,185014LF,$ 1756.47 ea
2984226,172754LF,$ 2174.59 ea
2984225,SU62-4,$ 2087.44 ea
2984224,P57583,$ 2081.52 ea
2984223,172723LF,$ 2046.66 ea
2984220,P50872,$ 1981.48 ea
2984219,P85070,$ 1917.44 ea
2984218,P85466,$ 1906.77 ea
2984217,116550,$ 2032.04 ea
2984216,LD3AB,$ 1895.60 ea
2984215,DM0140,$ 1890.51 ea
2984214,P78928,$ 1878.31 ea
2984209,P85427,$ 1789.38 ea
2984204,P75797,$ 1739.57 ea
2984201,172671LF,$ 1735.76 ea
2984198,60-617T,$ 1685.45 ea
2984195,P50822,$ 1636.41 ea
2984190,60-B604S,$ 1671.47 ea
2984189,172705LF,$ 1568.06 ea
2984180,P42268,$ 1447.87 ea
2984177,60-614T,$ 1503.77 ea
2984176,1BN055LF,$ 1413.78 ea
2984175,P78525,$ 1398.06 ea
2984174,P50739,$ 1394.51 ea
2984171,185334LF,$ 1380.28 ea
2984170,102226,$ 1373.67 ea
2984167,117020,$ 1354.04 ea
2984160,P78523,$ 1277.11 ea
2984159,P53042,$ 1277.11 ea
2984156,P77166,$ 1255.77 ea
2984153,P75772,$ 1234.42 ea
2984150,P78280,$ 1270.00 ea
2984147,P50762,$ 1198.85 ea
2984144,2WF1018,$ 1183.09 ea
2984143,P57445,$ 1181.88 ea
2984138,P79027,$ 1152.60 ea
2984133,172667LF,$ 1134.82 ea
2984132,172744LF,$ 1134.82 ea
2984129,P53032,$ 1124.14 ea
2984124,XLB36-45,$ 1106.93 ea
2984117,60-611T,$ 1073.32 ea
2984116,P50748,$ 1070.78 ea
2984113,172756LF,$ 1064.94 ea
2984112,P90457,$ 1049.44 ea
2984111,P41730,$ 1040.76 ea
2984106,116502,$ 1006.24 ea
2984103,P51561,$ 988.96 ea
2984102,P49000,$ 988.96 ea
2984099,DM0119,$ 983.37 ea
2984098,179040LF,$ 973.84 ea
2984091,P85460,$ 928.49 ea
2984090,P50707,$ 928.49 ea
2984089,185260LF,$ 922.66 ea
2984088,172707LF,$ 894.44 ea
2984087,P81943,$ 611.88 ea
2984084,P75986,$ 892.91 ea
2984083,60-601S,$ 891.64 ea
2984082,P90456,$ 924.93 ea
2984081,P50716,$ 882.24 ea
2984076,189594,$ 857.34 ea
2984073,1AM008,$ 840.06 ea
2984072,P47952,$ 835.99 ea
2984065,DM0096,$ 796.61 ea
2984064,186828LF,$ 794.07 ea
2984057,1BL070,$ 740.39 ea
2984056,P81908,$ 739.94 ea
2984055,P57450,$ 732.83 ea
2984054,1BL063,$ 730.39 ea
2984053,102230,$ 727.05 ea
2984048,P57452,$ 690.14 ea
2984045,P61451,$ 672.35 ea
2984042,169230,$ 664.35 ea
2984041,1BL034,$ 662.52 ea
2984040,P85584,$ 661.68 ea
2984039,116491,$ 668.03 ea
2984032,P57440,$ 643.89 ea
2984031,P50652,$ 643.89 ea
2984028,P57580,$ 640.34 ea
2984019,102210,$ 576.63 ea
2984006,106192LF,$ 557.91 ea
2984005,DM0010,$ 545.05 ea
2984002,P77171,$ 530.06 ea
2984001,P56870,$ 530.06 ea
2983998,P85289,$ 515.83 ea
2983997,DM0060,$ 506.93 ea
2983994,1BL017LF,$ 502.16 ea
2983993,DM0029,$ 499.31 ea
2983982,P77204,$ 451.79 ea
2983981,1BL004LF,$ 443.80 ea
2983980,1BL008LF,$ 446.90 ea
2983979,P80913,$ 444.68 ea
2983978,P00431,$ 444.68 ea
2983977,HFT-110V,$ 443.09 ea
2983976,169224,$ 442.27 ea
2983975,P62876,$ 441.12 ea
2983974,P85286,$ 437.57 ea
2983971,P56750,$ 437.57 ea
2983970,185308LF,$ 435.15 ea
2983969,P2002451,$ 425.25 ea
2983968,1BL003LF,$ 424.77 ea
2983965,1BL013LF,$ 408.93 ea
2983962,P58536,$ 405.55 ea
2983957,101218LF,$ 390.21 ea
2983956,P56810,$ 387.76 ea
2983955,P78927,$ 384.20 ea
2983952,101216LF,$ 376.87 ea
2983951,LHB08100093,$ 372.26 ea
2983948,P82882,$ 345.58 ea
2983947,186827LF,$ 358.92 ea
2983944,1BL016,$ 346.00 ea
2983941,V51759,$ 335.16 ea
2983940,NBF-36,$ 325.11 ea
2983939,P82098,$ 330.84 1
2983936,118627LF,$ 323.32 ea
2983935,P77067,$ 320.17 ea
2983934,P58538,$ 320.17 ea
2983933,P76892,$ 316.61 ea
2983928,SC0711AV,$ 314.64 ea
2983927,P85086,$ 313.06 ea
2983920,1BL002,$ 297.23 ea
2983919,186863LF,$ 299.48 ea
2983918,106514,$ 323.34 ea
2983917,189166,$ 301.03 ea
2983912,118626LF,$ 291.71 ea
2983909,103402,$ 320.17 ea
2983908,V51760,$ 284.60 ea
2983907,P82878,$ 284.60 ea
2983906,P82877,$ 284.60 ea
2983905,P58541,$ 284.60 ea
2983904,1BL006,$ 283.49 ea
2983901,P5001814,$ 276.36 ea
2983894,P50650,$ 264.60 ea
2983893,1BL001,$ 260.27 ea
2983888,103252LF,$ 263.11 ea
2983887,DP0840,$ 255.38 ea
2983884,P78798,$ 249.02 ea
2983883,P62872,$ 241.91 ea
2983882,118665,$ 241.91 ea
2983881,DP3572,$ 240.13 ea
2983876,SC0311AV,$ 234.45 ea
2983875,P81904,$ 231.24 ea
2983862,103260LF,$ 221.90 ea
2983861,P07792,$ 220.56 ea
2983858,189105LF,$ 205.70 ea
2983857,A91276,$ 217.01 ea
2983856,189165LF,$ 174.70 ea
2983855,103261LF,$ 215.56 ea
2983854,M19628,$ 213.83 ea
2983853,52-121-998-803,$ 213.45 ea
2983848,107021,$ 203.28 ea
2983843,P77279,$ 199.22 ea
2983842,P57246,$ 206.33 ea
2983833,P90282,$ 181.43 ea
2983830,103350,$ 180.10 ea
2983829,CP-811-443-295,$ 174.32 ea
2983828,118675,$ 170.76 ea
2983824,118676,*CALL*
2983823,109501,*CALL*
2983821,189163,$ 161.99 ea
2983818,185337LF,$ 160.09 ea
2983819,P76149,$ 317.31 ea
2983817,SCS21V,$ 317.31 ea
2983813,F54200,$ 152.26 ea
2983810,117104LF,$ 148.15 ea
2983809,P85248,$ 145.86 ea
2983808,P76152,$ 145.86 ea
2983799,P76167,$ 135.19 ea
2983792,G3233018196,$ 130.21 ea
2983787,117103LF,$ 128.58 ea
2983786,118830,$ 128.07 ea
2983785,185024LF,$ 126.04 ea
2983784,V51756,$ 124.51 ea
2983781,A91560,$ 120.96 ea
2983778,189577LF,$ 117.60 ea
2983777,P61970,$ 117.40 ea
2983766,P45532,$ 109.37 ea
2983765,118436LF,$ 108.52 ea
2983762,CP-811-443-269,$ 120.96 ea
2983761,A91274,$ 106.73 ea
2983760,A91559,$ 106.02 ea
2983755,189161,$ 101.84 ea
2983748,109017,$ 95.55 ea
2983745,P82070,$ 93.92 ea
2983744,P75612,$ 93.92 ea
2983743,101219,$ 93.39 ea
2983740,185140LF,$ 91.07 ea
2983739,NRF-25,$ 91.04 ea
2983738,101238,$ 90.72 ea
2983735,109054,$ 88.13 ea
2983734,118668,$ 87.71 ea
2983733,109024,$ 85.75 ea
2983732,186499LF,$ 89.58 ea
2983731,A91273,$ 86.09 ea
2983730,A91244,$ 86.09 ea
2983721,118844LF,$ 78.78 ea
2983704,P75606,$ 71.86 ea
2983703,P77216,$ 71.15 ea
2983702,P03560,$ 71.15 ea
2983695,P78791,$ 66.88 ea
2983694,J94144,$ 66.88 ea
2983693,118855,$ 66.88 ea
2983692,118697,$ 66.17 ea
2983691,107019,$ 66.07 ea
2983690,117411LF,$ 65.97 ea
2983687,189128LF,$ 60.99 ea
2983682,113021,$ 57.18 ea
2983679,52-113-301-009,$ 61.60 ea
2983676,101231LF,$ 54.04 ea
2983673,110194LF,$ 58.33 ea
2983670,189035,$ 52.78 ea
2983669,V50769,$ 52.65 ea
2983668,A91272,$ 52.65 ea
2983667,V33001,$ 51.94 ea
2983660,101011LF,$ 47.17 ea
2983659,V32801,$ 45.54 ea
2983658,101226LF,$ 41.67 ea
2983657,118709,$ 44.60 ea
2983656,P80761,$ 43.41 ea
2983655,101017LF,$ 43.37 ea
2983652,101221LF,$ 43.11 ea
2983649,P85080,$ 40.56 ea
2983646,P81917,$ 38.42 ea
2983645,118431LF,$ 38.23 ea
2983644,107035,$ 38.04 ea
2983643,113202LF,$ 38.02 ea
2983638,P78729,$ 36.29 ea
2983637,UC-3/4S,$ 36.29 ea
2983636,DP0905,$ 36.21 ea
2983635,107034,$ 35.68 ea
2983634,189139,$ 34.45 ea
2983631,M75064,$ 33.09 ea
2983630,G81250,$ 32.73 ea
2983629,118706,$ 32.38 ea
2983628,P51230,$ 32.02 ea
2983627,113041,$ 32.02 ea
2983626,P76922,$ 31.67 ea
2983623,V29400,$ 31.31 ea
2983622,CP-753-383-021,$ 32.02 ea
2983621,118848,$ 31.67 ea
2983620,P5001092,$ 30.58 ea
2983619,189137,$ 30.24 ea
2983618,101014LF,$ 30.03 ea
2983613,M76042,$ 28.82 ea
2983612,P5001287,$ 28.23 ea
2983609,118228,$ 27.13 ea
2983608,V57795PK,$ 27.04 ea
2983607,118861,$ 26.69 ea
2983604,J92560,$ 25.26 ea
