id,catalog_number,your price
5025136,96083477,$ 1361.75 ea
5025135,96083455,$ 930.80 ea
5025134,96083388,$ 1257.10 ea
5025133,96083387,$ 1331.85 ea
5025132,96083365,$ 900.90 ea
5025131,96083656,$ 1240.85 ea
5025130,96083655,$ 1263.60 ea
5025129,96083634,$ 912.60 ea
5025128,96083566,$ 1210.95 ea
5025127,96083565,$ 1233.70 ea
5025126,96083544,$ 882.70 ea
5025125,96083476,$ 1200.55 ea
5025124,96083475,$ 1223.30 ea
5025123,96083454,$ 872.30 ea
5025122,96083386,$ 1170.65 ea
5025121,96083385,$ 1193.40 ea
5025120,96083364,$ 842.40 ea
5025119,96083654,$ 1181.70 ea
5025118,96083653,$ 1204.45 ea
5025117,96083633,$ 853.45 ea
5025116,96083564,$ 1151.80 ea
5025115,96083563,$ 1174.55 ea
5025114,96083543,$ 823.55 ea
5025113,96083474,$ 1137.50 ea
5025112,96083473,$ 1160.25 ea
5025111,96083453,$ 809.25 ea
5025110,96083384,$ 1107.60 ea
5025109,96083383,$ 1130.35 ea
5025108,96083363,$ 779.35 ea
5025107,96083652,$ 1107.60 ea
5025106,96083651,$ 1102.40 ea
5025105,96083632,$ 805.35 ea
5025104,96083562,$ 1077.70 ea
5025103,96083561,$ 1072.50 ea
5025102,96083542,$ 775.45 ea
5025101,96083472,$ 1064.70 ea
5025100,96083471,$ 1059.50 ea
5025099,96083452,$ 762.45 ea
5025098,96083382,$ 1034.80 ea
5025097,96083381,$ 1029.60 ea
5025096,96083362,$ 732.55 ea
5025095,96083684,$ 2781.35 ea
5025094,96083683,$ 3308.50 ea
5025093,96083648,$ 1952.60 ea
5025092,96083594,$ 2751.45 ea
5025091,96083593,$ 3278.60 ea
5025090,96083558,$ 1922.70 ea
5025089,96083682,$ 2691.00 ea
5025088,96083681,$ 3218.15 ea
5025087,96083647,$ 1862.25 ea
5025086,96083592,$ 2661.10 ea
5025085,96083591,$ 3188.25 ea
5025084,96083557,$ 1832.35 ea
5025083,96083680,$ 2530.45 ea
5025082,96083679,$ 3057.60 ea
5025081,96083646,$ 1701.70 ea
5025080,96083590,$ 2500.55 ea
5025079,96083589,$ 3027.70 ea
5025078,96083556,$ 1671.80 ea
5025077,96083650,$ 1081.60 ea
5025076,96083649,$ 1076.40 ea
5025075,96083631,$ 798.85 ea
5025074,96083560,$ 1051.70 ea
5025073,96083559,$ 1046.50 ea
5025072,96083541,$ 768.95 ea
5025071,96083470,$ 1039.35 ea
5025070,96083469,$ 1034.15 ea
5025069,96083451,$ 756.60 ea
5025068,96083380,$ 1009.45 ea
5025067,96083379,$ 1004.25 ea
5025066,96083361,$ 726.70 ea
5025065,96083645,$ 1610.70 ea
5025064,96083555,$ 1580.80 ea
5025063,96083676,$ 2132.65 ea
5025062,96083675,$ 2410.85 ea
5025061,96083644,$ 1522.95 ea
5025060,96083586,$ 2102.75 ea
5025059,96083585,$ 2380.95 ea
5025058,96083554,$ 1493.05 ea
5025057,96083674,$ 2070.90 ea
5025056,96083673,$ 2349.10 ea
5025055,96083643,$ 1461.20 ea
5025054,96083584,$ 2041.00 ea
5025053,96083583,$ 2319.20 ea
5025052,96083553,$ 1431.30 ea
5025051,96083494,$ 2028.65 ea
5025050,96083493,$ 2306.85 ea
5025049,96083463,$ 1418.95 ea
5025048,96083404,$ 1998.75 ea
5025047,96083403,$ 2276.95 ea
5025046,96083373,$ 1389.05 ea
5025045,96083672,$ 1990.95 ea
5025044,96083671,$ 2269.15 ea
5025043,96083642,$ 1381.25 ea
5025042,96083582,$ 1961.05 ea
5025041,96083581,$ 2239.25 ea
5025040,96083552,$ 1351.35 ea
5025039,96083492,$ 1947.40 ea
5025038,96083491,$ 2225.60 ea
5025037,96083462,$ 1337.70 ea
5025036,96083402,$ 1917.50 ea
5025035,96083401,$ 2195.70 ea
5025034,96083372,$ 1307.80 ea
5025033,96083670,$ 1787.50 ea
5025032,96083669,$ 1976.00 ea
5025031,96083641,$ 1310.40 ea
5025030,96083580,$ 1757.60 ea
5025029,96083579,$ 1946.10 ea
5025028,96083551,$ 1280.50 ea
5025027,96083490,$ 1743.95 ea
5025026,96083489,$ 1932.45 ea
5025025,96083461,$ 1266.85 ea
5025024,96083400,$ 1714.05 ea
5025023,96083399,$ 1902.55 ea
5025022,96083371,$ 1236.95 ea
5025021,96083668,$ 1725.75 ea
5025020,96083667,$ 1914.25 ea
5025019,96083640,$ 1248.65 ea
5025018,96083578,$ 1695.85 ea
5025017,96083577,$ 1884.35 ea
5025016,96083550,$ 1218.75 ea
5025015,96083488,$ 1679.60 ea
5025014,96083487,$ 1868.10 ea
5025013,96083460,$ 1202.50 ea
5025012,96083398,$ 1649.70 ea
5025011,96083397,$ 1838.20 ea
5025010,96083370,$ 1172.60 ea
5025009,96083666,$ 1658.80 ea
5025008,96083665,$ 1847.30 ea
5025007,96083639,$ 1181.70 ea
5025006,96083576,$ 1628.90 ea
5025005,96083575,$ 1817.40 ea
5025004,96083549,$ 1151.80 ea
5025003,96083486,$ 1613.95 ea
5025002,96083485,$ 1802.45 ea
5025001,96083459,$ 1136.85 ea
5025000,96083396,$ 1584.05 ea
5024999,96083395,$ 1772.55 ea
5024998,96083369,$ 1106.95 ea
5024997,96081510,$ 1310.40 ea
5024996,96081509,$ 1333.15 ea
5024995,96081483,$ 982.15 ea
5024994,96081415,$ 1280.50 ea
5024993,96081414,$ 1303.25 ea
5024992,96081388,$ 952.25 ea
5024991,96081320,$ 1266.85 ea
5024990,96081319,$ 1289.60 ea
5024989,96081293,$ 938.60 ea
5024988,96081225,$ 1236.95 ea
5024987,96081224,$ 1259.70 ea
5024986,96081198,$ 908.70 ea
5024985,96081508,$ 1240.85 ea
5024984,96081507,$ 1235.65 ea
5024983,96081482,$ 938.60 ea
5024982,96081413,$ 1210.95 ea
5024981,96081412,$ 1205.75 ea
5024980,96081387,$ 908.70 ea
5024979,96081318,$ 1199.25 ea
5024978,96081317,$ 1194.05 ea
5024977,96081292,$ 897.00 ea
5024976,96081223,$ 1169.35 ea
5024975,96081222,$ 1164.15 ea
5024974,96081197,$ 867.10 ea
5024973,96081506,$ 1191.45 ea
